NAME|XCORD|YCORD|ADDR
야탑 클라스타워|37.4108267|127.1276577|경기도 성남시 분당구 성남대로916번길 11 (야탑동) 
원주 스마트주차장|37.3431937|127.9532889|강원도 원주시 개봉길 29-1 (개운동) 
남양주 SG타워 주차장|37.6653146|127.1066408|경기도 남양주시 덕송1로55번길 6 (별내동) 
청주 에이스마트|36.649684|127.4563825|충청북도 청주시 흥덕구 백봉로 207 (봉명동) 
하남 센트럴파크1|37.56568|127.1782194|경기도 하남시 미사강변중앙로 223 (망월동) 
안양 메쎄 포스빌|37.3985363|126.9176406|경기도 안양시 만안구 안양로 303 (안양동) 
김천신협 대신지점|36.1345729|128.1148348|경상북도 김천시 부거리길 4 (신음동) 
인천 연수주차장|37.4139771|126.6752252|인천광역시 연수구 용담로118번길 11 (연수동) 
송도S타워|37.386788|126.6337102|인천광역시 연수구 테크노파크로111번길 8 (송도동) 
역삼 서원빌딩|37.5004447|127.0271214|서울특별시 강남구 언주로85길 7 (역삼동) 
목포 후레시프라자|34.8005677|126.4211593|전라남도 목포시 비파로43번길 37 (상동) 
대치동 세일주차장|37.5087929|127.0634873|서울특별시 강남구 테헤란로108길 8 (대치동) 
드림마트원|37.4858711|126.8893415|서울특별시 구로구 디지털로31길 61 (구로동) 
평택 지제종합상가|37.0186902|127.0473963|경기도 평택시 남북대로 260 (지제동) 
안동 후레쉬마트|36.5595193|128.692641|경상북도 안동시 옥서3길 15 (옥동) 
LG베스트샵 구산점|35.249062|128.8665984|경상남도 김해시 구산로5번길 1 (구산동) 
농협은행 함암군지부|35.537561|129.3036881|울산광역시 남구 중앙로 202 (신정동) 
농협은행 함암군지부|35.2775694|128.4018649|경상남도 함안군 가야읍 가야로 25 
농협은행 성남동지점|35.5564272|129.3184977|울산광역시 중구 새즈믄해거리 28 (성남동) 
배곧로얄테크노1차|37.3959351|126.7088421|경기도 시흥시 서울대학로 59-21 (정왕동) 
세신비젼프라자|37.5279765|126.8684142|서울특별시 양천구 목동서로 213 (목동) 
배곧로얄팰리스9차|37.4709353|126.7298091|경기도 시흥시 서울대학로264번길 22 (정왕동) 
김해 율하CGV주차장|35.1729078|128.8048989|경상남도 김해시 율하2로 111 (율하동) 
김천 율곡스퀘어 더 테라스|36.1180415|128.179937|경상북도 김천시 혁신3로 35 (율곡동) 
채움병원|36.0461653|129.3679553|경상북도 포항시 북구 동빈로 104-2 (동빈1가) 
안양 친목주차장|37.4068436|126.8785867|경기도 안양시 만안구 오리로34번길 17-21 (박달동) 
