NAME|ID|BRANCH|NEW_ADDR|DEATAIL_ADDR|TELL|XCORD|YCORD
아리따움|11071058|중화역점|서울특별시 중랑구 봉화산로 49, 1층|(중화동)|024370271|127.0799965|37.6017142
아리따움|11007855|중랑 신내점|서울시 중랑구 봉화산로 194 신아타운 122호| (신내1동 666번지)|0234222500|127.099538|37.605882
아리따움|11008448|약수역뷰티플데이점|서울 중구 다산로 124|(신당동)|0222341525|127.0109545|37.5547328
아리따움|11082290|경희대점|서울특별시 동대문구|경희대로 22(회기동,1층)|029620150|127.052845|37.593694
아리따움|11007451|동대문역점|서울시 종로구 종로|313 (창신동)|027446767|127.012497|37.572253
아리따움|11061707|분당 야탑광장점|경기도 성남시 분당구 성남대로 926번길|6, 1층 104호(야탑동, 대덕프라자)|0317076747|127.129867|37.412171
아리따움|11008519|성남 도촌점|경기 성남시 중원구 도촌남로 27|(도촌동)|0317552393|127.1507026|37.4145401
아리따움|11007387|성신 로데오|서울 성북구 동소문로22길 47|(동선동1가)|029243805|127.0184364|37.5910224
아리따움|11009147|분당 야탑점|경기 성남시 분당구 야탑로 72|에이스 주차장빌딩 1-02호 (야탑동)|0317813107|127.126807|37.409548
아리따움|11067950|화랑대역점|서울특별시 노원구 노원로 1길 67|108호(공릉동,대덕프라자)|029094992|127.083575|37.62102
아리따움|11058461|성신여대역점|서울특별시 성북구 동소문로 116|115번지 1층 104호|029213805|127.017932|37.59311
아리따움|11065437|이수태평점|서울특별시 동작구 동작대로 115|태평백호점 1층|025964335|126.981436|37.486713
아리따움|11007866|이수점|서울 동작구 동작대로29길 25|(사당동)|025321174|126.9804999|37.4879506
아리따움|11007426|분당 이매점|경기 성남시 분당구 판교로 432|(이매동)|0317083343|127.1216941|37.4051171
아리따움|11007311|한성대|서울 성북구 동소문로 9-2|(동소문동1가)|027413954|127.007227|37.5891868
아리따움|11040023|회현지하점|서울 중구 소공로 58|회현지하상가 다-1,2호|027558165|126.982162|37.56037
아리따움|11008263|명동대로점(씨엘로)|서울 중구 명동3길 2|(명동1가)|023182300|126.9835068|37.5637857
아리따움|11079883|정릉점|서울 성북구 정릉로 324|(정릉동, 102호)|029429777|127.019119|37.602316
아리따움|11007362|광운대역점|서울 노원구 석계로 98-1|(월계동)|029438886|127.0610773|37.6233217
아리따움|11069013|공릉역점|서울특별시 노원구 동일로 192길 87|(공릉동)|029718040|127.07756|37.627662
아리따움|11009220|노원 공릉|서울 노원구 동일로197길 11|1층 103호 (공릉동,공삼빌딩)|029731405|127.070629|37.628566
아리따움|11076596|구리 갈매점|경기도 구리시 갈매동 C동 154호|(구리갈매보금자리주택지구 S2BL|0315297420|127.11573|37.634518
아리따움|11008136|미아 소원점|서울 강북구 도봉로 63|(미아동)|029844980|127.0296486|37.6147407
