BRANCH|SERVICENM|TELL|ADDR|XCORD|YCORD
동부모터스|종합서비스|0220432266|서울특별시 송파구 송이로 149, 동부모터스 (가락동)|127.1266389|37.4908583
수서광평자동차|종합서비스|0222260167|서울특별시 강남구 밤고개로5길 9 (수서동)|127.1056417|37.4837194
가락점 기아오토큐|전문서비스|024023286|서울특별시 송파구 동남로18길 41-1 (가락동)|127.136198|37.490249
가리봉점 기아오토큐|전문서비스|028692220|서울특별시 구로구 남부순환로105길 80  가리봉동|126.8905056|37.4775583
가좌점 기아오토큐|전문서비스|023048585|서울특별시 서대문구 증가로 251  북가좌동|126.914024|37.580593
갈현점|전문서비스|023560652|서울특별시 은평구 서오릉로 221  구산동|126.911517|37.611925
강서서비스센터|직영서비스센터|0226358585|서울특별시 강서구 양천로 542 (등촌동)|126.8613281|37.5556613
공덕점 기아오토큐|전문서비스|027122747|서울특별시 마포구 마포대로14길 26 (공덕동)|126.9590682|37.5452019
공릉점 기아오토큐|전문서비스|029782523|서울특별시 노원구  동일로173가길 112|127.15158055555555|37.55481666666667
구로북부점 기아오토큐|전문서비스|028396157|서울특별시 구로구 새말로 77  구로동|126.890835|37.502218
남가좌점 기아오토큐|전문서비스|023763888|서울특별시 서대문구 모래내로 257  남가좌동|126.9290306|37.5735861
대림점 기아오토큐|전문서비스|028475008|서울특별시 영등포구 대림로 229  대림동|126.899232|37.498506
대조점 기아오토큐|전문서비스|023828585|서울 은평구 대조동 222-20|126.919819|37.61051
독산북부점 기아오토큐|전문서비스|028521880|서울특별시 금천구 시흥대로153길 15  독산동|126.8997556|37.4740667
등촌점 기아오토큐|전문서비스|0236621374|서울 강서구  등촌1동 633-1~3|126.8681778|37.5517333
망우점|전문서비스|024396636|서울특별시 중랑구 망우로 492  망우동, 기아모터스|127.1084333|37.5976417
명동점 기아오토큐|전문서비스|0222755998|서울특별시 중구 삼일대로2길 90  주자동|126.9917556|37.5581444
미아점 기아오토큐|전문서비스|029819922|서울특별시 강북구 삼양로 98  미아동|127.024315|37.609809
반포점 기아오토큐|전문서비스|025938204|서울특별시 서초구 사평대로 72 (반포동)|126.9946746|37.4951274
사직점 기아오토큐|전문서비스|027305500|서울특별시 종로구 사직로 57-1  사직동|126.9680278|37.5714722
서초중부점기아오토큐|전문서비스|025232654|서울 서초구 효령로 356 (서초동 1438-1,10,11)|127.0247497|37.4837949
수유북부점 기아오토큐|전문서비스|029921210|서울특별시 강북구 인수봉로 296, 기아자동차오토큐수유북부점 (수유동)|127.01305|37.642408
신내점 기아오토큐|전문서비스|029498272|서울특별시 중랑구 숙선옹주로5길 1  묵동|127.0827556|37.6118194
신당중부점 기아오토큐|전문서비스|0222388490|서울특별시 중구 동호로 198  신당동|127.0123028|37.5529528
신림서부점기아오토큐|전문서비스|028378208|서울특별시 관악구 조원로 85  신림동, 글로리아빌딩|126.9137472|37.4817111
신림점 기아 오토큐|전문서비스|028396677|서울특별시 관악구 남부순환로 1553  신림동|126.9251944|37.4808944
신수점 기아오토큐|전문서비스|027152777|서울특별시 마포구 독막로 193  신수동|126.9374639|37.5447778
신월남부점 기아오토큐|전문서비스|0226941232|서울특별시 양천구 신월로 216  신월동|126.8482361|37.5183722
쌍문점 기아오토큐|전문서비스|029952523|서울특별시 도봉구 우이천로 294-1 (쌍문동)|127.032195|37.641221
안암점 기아오토큐|전문서비스|029139999|서울특별시 성북구 안암로 33 (안암동4가 29-1) 안암동4가|127.0281295|37.5777769
역촌점|전문서비스|023563096|서울특별시 은평구 진흥로 41  역촌동, 역촌동수리점|126.9217222|37.5981917
연희점 기아오토큐|전문서비스|023248280|서울특별시 서대문구 연희로 168, 기아오토큐 연희점 (연희동)|126.937239|37.569288
옥수점 기아오토큐|전문서비스|0222997218|서울특별시 성동구 독서당로 214 (옥수동)|127.0166854|37.5407446
용강점 기아오토큐|전문서비스|027039118|서울특별시 마포구  토정로 252|126.9403991|37.5404943
잠실점 기아오토큐|전문서비스|024120290|서울특별시 송파구 도곡로62길 5 (잠실동)|127.079478|37.50149
전농점 기아오토큐|전문서비스|0222428573|서울특별시 동대문구 전농로29길 93-12  전농동|127.058789|37.576179
정릉점 기아오토큐|전문서비스|029182200|서울특별시 성북구 솔샘로 41  정릉동|127.007212|37.608593
중계점|전문서비스|029330004|서울특별시 노원구 덕릉로77길 6  중계동|127.0759887|37.6522262
중곡점 기아오토큐|전문서비스|024530915|서울특별시 광진구 긴고랑로 79 (중곡동)|127.086713|37.55841
청량리점 기아오토큐|전문서비스|0222131421|서울특별시 동대문구 제기로 147 (청량리동 38-2 외2필지)|127.0513305|37.5836264
하계점 기아오토큐|전문서비스|029798581|서울특별시 노원구 공릉로62길 25  하계동|127.073987|37.633598
화곡점 기아오토큐|전문서비스|0226955700|서울특별시 강서구 국회대로7길 149  화곡동, 기아자동차큐서비스|126.8545837|37.5261332
애니모터스|종합서비스|024618585|서울특별시 성동구 아차산로13길 48  (성수동2가)|127.0647917|37.5440056
한독자동차정비|종합서비스|029058585|서울특별시 도봉구 도봉로 618 (창동)|127.0438232|37.6567506
가양점 기아오토큐|전문서비스|0236618408|서울특별시 강서구 허준로 78  가양동, 기아자동차공업사|126.8518583|37.5651861
개봉점 기아오토큐|전문서비스|0236663636|서울특별시 구로구 개봉로 11  개봉동|126.858068|37.483916
공단써비스센터|종합서비스|028641311|서울특별시 구로구 구로동로 2  가리봉동, 현대자동차AS센타|126.8892611|37.4789583
공항점 기아오토큐|전문서비스|0226661259|서울특별시 강서구 송정로 24  공항동, 기아자동차큐서비스|126.8141639|37.5545694
구로점|전문서비스|0220691900|서울특별시 구로구 구로중앙로40길 32 (신도림동)|126.8777542|37.5002564
구의점 기아오토큐|전문서비스|024539998|서울특별시 광진구 광나루로 512 (구의동)|127.0884111|37.5419778
길동점 기아오토큐|전문서비스|024748585|서울특별시 강동구 양재대로 1523 (천호동)|127.14329|37.5389044
내발산점기아오토큐|전문서비스|0236639337|서울특별시 강서구 강서로 312, 기아모터스 (내발산동)|126.838554|37.549602
논현점 기아오토큐|전문서비스|025547110|서울특별시 강남구 선릉로131길 26 (논현동)|127.0409944|37.5146139
대림씨에스㈜|종합서비스|029918585|서울특별시 도봉구 도봉로140길 32 (창동)|127.046183|37.658082
대방점|전문서비스|028248122|서울특별시 동작구 상도로 19  대방동, 기아자동차서비스센타|126.924643|37.497209
대성자동차정비|종합서비스|028530300|서울특별시 금천구 벚꽃로 150 (독산동)|126.8914611|37.4678722
대일차사랑자동차|종합서비스|024377979|서울특별시 중랑구 중랑천로14길 24 (중화동)|127.0763959|37.5908584
대치점|전문서비스|025588581|서울특별시 강남구 역삼로 559 (대치동)|127.066618|37.502517
독립문점 기아오토큐|전문서비스|027224849|서울특별시 종로구 통일로 272  무악동|126.958491|37.573208
면목남부점기아오토큐|전문서비스|024962580|서울특별시 중랑구 동일로 604  면목동|127.082111|37.581432
면목점 기아오토큐|전문서비스|024338585|서울특별시 중랑구 봉우재로 74  면목동, 기아자동차서비스|127.0833361|37.5885028
방배점 기아오토큐|전문서비스|025968585|서울특별시 서초구 서초대로 77 (방배동)|126.99293|37.484185
번동점|전문서비스|029858285|서울특별시 강북구 월계로 201 (번동)|127.0481262|37.6191993
불광점 기아오토큐|전문서비스|023889788|서울특별시 은평구 연서로 328 (불광동 105-1) 불광동|126.9305725|37.6217028
삼전점|전문서비스|024125407|서울특별시 송파구 삼전로 44  삼전동, 덕원빌딩|127.088931|37.499952
상계점 기아오토큐|전문서비스|029378585|서울 노원구 노원로 472|127.0677795|37.6556516
상도점 기아오토큐|전문서비스|028171188|서울특별시 관악구 양녕로16길 4 (봉천동)|126.948143|37.4868539
상신정비공업|종합서비스|028025551|서울특별시 금천구 시흥대로 287  시흥동|126.9007336|37.4561493
서부역점 기아오토큐|전문서비스|027143400|서울특별시 용산구 청파로 351  서계동|126.9713333|37.5481083
서빙고점 기아오토큐|전문서비스|027498887|서울 용산구 서빙고로 305|126.999625|37.5187028
서초남부점 기아오토큐|전문서비스|025220427|서울특별시 서초구 서초대로42길 70 (서초동)|127.0118667|37.4862361
서초점 기아오토큐|전문서비스|025687001|서울특별시 서초구 사임당로 90 (서초동)|127.0218472|37.486925
성내점 기아오토큐|전문서비스|024084955|서울특별시 강동구 강동대로 241 (성내동) 세기빌딩|127.1349167|37.519725
성수남부점 기아오토큐|전문서비스|024623375|서울특별시 성동구 성수일로 57 (성수동1가)|127.050929|37.543773
송일자동차공업|종합서비스|024041193|서울특별시 송파구 문정로4길 25 (문정동)|127.1286087|37.4808457
신길남부점기아오토큐|전문서비스|028415582|서울특별시 영등포구 도림로 230  신길동|126.907194|37.496294
신당점 기아오토큐|전문서비스|0222318582|서울특별시 중구 다산로40길 15 1층 신당동, 국일빌딩|127.0189806|37.5612222
신월점 기아오토큐|전문서비스|0226088588|서울특별시 양천구 남부순환로 420  신월동, 기아빌딩|126.8338778|37.5273944
