##NAME|SUBNAME|TELNUM|NEWADDR|HOMEPAGE@@도서관
강북문화정보도서관|||서울특별시 강북구 오현로 145|http://www.gangbuklib.seoul.kr/
강서구립/가양도서관|||서울특별시 강서구 양천로61길 101(가양동)|http://lib.gangseo.seoul.kr/
강서구립/곰달래도서관|||서울특별시 강서구 강서로5길 50|http://lib.gangseo.seoul.kr/index.jsp
강서구립꿈꾸는어린이도서관|||서울특별시 강서구 공항대로 615|http://lib.gangseo.seoul.kr/
강서구립등빛도서관|||서울특별시 강서구 강서로 62길 48|http://lib.gangseo.seoul.kr/
강서구립우장산숲속도서관|||서울특별시 강서구  우현로34|http://lib.gangseo.seoul.kr/
강서구립푸른들청소년도서관|||서울특별시 강서구 강서로45 다길 71(화곡3동)|http://lib.gangseo.seoul.kr/index.jsp
강서영어도서관|||서울특별시 강서구 곰달래로57가 길26|http://blog.naver.com/gangseoelib
관악문화관도서관|||서울특별시 관악구 신림로3길 35(대학동 209-1)|http://www.gwanakcullib.seoul.kr
광진정보도서관|||서울특별시 광진구 아차산로 78길 90(광장동)|http://www.gwangjinlib.seoul.kr/
구립구산동도서관마을|||서울시 은평구 연서로 13길 29-23(구산동)|http://www.gsvlib.or.kr/
금천구립/금나래도서관|||서울특별시 금천구 시흥대로 73길 70(시흥동 1020)|http://geumcheonlib.seoul.kr/doc_gc4/
금천구립가산정보도서관|||서울특별시 금천구 가산로 5길 43(가산동 235-3)|http://geumcheonlib.seoul.kr/doc_gc2
금천구립독산도서관|||서울특별시 금천구 독산로54길 114|http://www.geumcheonlib.seoul.kr/
금천구립시흥도서관|||서울특별시 금천구 금하로 764(시흥동)|http://geumcheonlib.seoul.kr/index.do
내를건너서숲으로도서관|||서울특별시 은평구 증산로 17길 50|http://www.nslib.or.kr
노원어린이도서관|||서울특별시 노원구 동일로 204길 13|http://www.nowonilib.kr/
노원정보도서관|||서울특별시 노원구 노원로34길 43 (상계동)|http://www.nowonlib.seoul.kr/
대림정보문화도서관|||서울특별시 영등포구 도신로 27(대림동 608-2)|http://www.dllib.or.kr/index.jsp
도곡정보문화도서관|||서울특별시 강남구 도곡로 18길57(도곡동)|http://dogoklib.gangnam.go.kr/
도봉문화정보도서관|||서울특별시 도봉구 덕릉로 315|http://dobonglib.seoul.kr/
도봉어린이문화정보도서관|||서울특별시 도봉구 노해로 69길 151(창동)|http://www.kidlib.dobong.kr/
동대문구답십리도서관|||서울특별시 동대문구 서울시립대로4길 75|http://www.l4d.or.kr/homepage/s.index.php?libCho=MF
동대문구정보화도서관|||서울특별시 동대문구 회기로10길 60 (청량리동)|http://www.L4D.or.kr
동대문구휘경어린이도서관|||서울특별시 동대문구 망우로18가길 38(휘경동)|http://www.l4d.or.kr/homepage/s.index.php?libCho=MJ
마포구립서강도서관|||서울특별시 마포구 독막로 165 (서강동주민센터)|http://sglib.mapo.go.kr
문래정보문화도서관|||서울특별시 영등포구 문래로20길 49 (문래동3가 98)|http://www.mllib.or.kr
상계문화정보도서관|||서울특별시 노원구 동일로243길 57 (상계동)|http://www.sglib.kr/
서구어린이도서관|||대전광역시 서구 정림동로 25|http://www.seogu.go.kr/learming/childlib.index.do
서울도서관|||서울특별시 중구 세종대로 110|http://lib.seoul.go.kr/
서울특별시교육청강남도서관|||서울특별시 강남구 선릉로116길 45|http://gnlib.sen.go.kr
서울특별시교육청강동도서관|||서울특별시 강동구 양재대로116길 57|http://gdlib.sen.go.kr/gdlib_index.jsp
서울특별시교육청강서도서관|||서울특별시 강서구 등촌로51나길 29|http://gslib.sen.go.kr/gslib_index.jsp
서울특별시교육청개포도서관|||서울특별시 강남구 선릉로4길 30|http://gplib.sen.go.kr
서울특별시교육청고덕평생학습관|||서울특별시 강동구 고덕로 295|http://gdllc.sen.go.kr
서울특별시교육청고척도서관|||서울특별시 구로구 고척로45길 31|http://gclib.sen.go.kr
서울특별시교육청구로도서관|||서울특별시 구로구 공원로 15|http://grlib.sen.go.kr
서울특별시교육청남산도서관|||서울특별시 용산구 후암동 30-84|http://nslib.sen.go.kr
서울특별시교육청노원평생학습관|||서울특별시 노원구 중계3동 508|http://nwllc.sen.go.kr
