##NAME|SUBNAME|TELNUM|NEWADDR|ETCADDR|TYPE|SINCE|WEBSITE@@작은도서관
(사)원주자유시장작은도서관|||강원도 원주시 자유시장길 12 자유시장2층40-6호 고객쉼터 작은도서관||사립|2010|
YW Vision 도서관|||강원도 영월군 중앙1로 32 35||사립|2014|
갑천면 구리봉작은도서관|||강원도 횡성군 갑천면 청정로매일5길 2,  구리봉작은도서관||공립|2015|
강릉 영어 작은도서관|||강원 강릉시 교동 822||공립|2009|
강릉금호어울림 작은도서관|||강원 강릉시 입암동 331번지||사립|2008|
강릉더샵작은도서관|||강원도 강릉시 입암로 29, (입암동) 11||사립|2015|
강림면 치악산 작은도서관|||강원도 횡성군 강림시장2길 8 치악산 작은도서관||공립|2012|
개운동작은도서관|||강원도 원주시 행구로 40, (개운동) 개운동사무소||공립|2014|
고맙습니다풀이음작은도서관|||강원도 속초시 미시령로3337번길 6-15(속초시 작은도서관) 풀이음작은도서관||공립|2013|
공근면 금계 작은도서관|||강원도 횡성군 학담시장길 11 금계작은도서관||공립|2009|
과학산업작은도서관|||강원도 강릉시 과학단지로 106-11, (대전동) 강릉과학산업진흥원||사립|2012|
관아 작은도서관|||강원도 강릉시 경강로 2045(칠사당) 38-1번지||공립|2011|
구미마을도서관|||강원도 동해시 삼화로 55, (이로동)||사립|2011|
글여울도서관|||강원도 동해시 선돌길 10, (구미동) 해오름교회||사립|2007|
길운작은도서관|||강원 정선군 신동읍 조동1길 157||사립|2011|
꾸러기어린이도서관|||강원도 춘천시 백령로 214 2층||사립|2005|
꿈꾸는 도서관|||강원도 원주시 우산초교길 78, (우산동) .||사립|2012|
꿈나리도서관|||강원도 춘천시 금강로 68-6, 춘천동부교회 (조양동) 6층||사립|2015|
꿈너머꿈|||강원 춘천시 석사동 866 퇴계(5)주공아파트 관리사무소||사립|2008|
꿈사랑작은도서관|||강원도 원주시 송계1길 29, (학성동) 꿈사랑교회||사립|2016|
꿈여울 작은도서관|||강원도 평창군 미탄면 새터길 24,  꿈여울 작은도서관||공립|2015|
꿈을 파는 작은도서관|||강원도 정선군 사북6길 15-5(충만한교회) 꿈을 파는 작은도서관||사립|2014|
꿈을담은도서관|||강원 영월군 영월 팔괴로 41||사립|2012|
꿈을심어주는마을문고|||강원 태백시 상장동 학마을길 101||사립|2003|
꿈을이루는도서관|||강원 삼척시 하장면 광동리 77-1번지||사립|2011|
꿈을주는작은도서관|||강원도 원주시 문막읍 원문로 1821,  문막감리교회 내 꿈을주는작은도서관||사립|2011|
꿈쟁이문고|||강원 강릉시 주문진읍 신리대동길 31||사립|2005|
남산작은도서관|||강원 강릉시 내곡동 123-8||공립|2010|
남양 작은도서관|||강원도 삼척시 중앙시장1길 18 2층||공립|2013|
너울문화사랑방|||강원도 원주시 남원로 612-9||사립|2005|
노엘문고|||강원 정선군 임계면 송계10길 17||사립|2002|
눈마을작은도서관|||강원 평창군 대관령면 대관령면 대관령로 81||사립|2003|
느릅마을작은도서관|||강원 화천군 간동면 유촌리 552-1||사립|2011|
느티나무도서관|||강원 원주시 태장2동 546-47, 태장성결교회 1층||사립|2005|
늘푸른문고|||강원 삼척시 정상동 460-7번지||사립|2006|
다니엘 작은도서관|||강원도 정선군 고한2길 56(하늘문감리교회) 다니엘 작은도서관||사립|2014|
다솔도서관|||강원 태백시 구문소동 방터골2길 19||사립|2011|
단계은행 작은도서관|||강원 원주시 단계동 806번지||사립|2010|
단구작은도서관|||강원도 원주시 단구초교길 6-28, (단구동) 1층||사립|2016|
달팽이도서관|||강원 춘천시 석사동 822 퇴계주공4단지아파트 관리사무소2층||사립|2010|
대우이안강릉타운작은도서관|||강원 강릉시 입암동 210번지 이안아파트 관리사무소2층||사립|2008|
대포마을문고|||강원도 속초시 설악산로4번길 135, (대포동)||사립|2007|
동네작은도서관이음|||강원도 춘천시 벌말길47번길 4, (석사동) 1층||사립|2015|
동성마을문고|||강원도 동해시 전천로 107, (이도동) 동성교회||사립|2004|
동점마을도서관|||강원 태백시 구문소동 방터골1길 13-20||사립|2001|
동해문화커뮤니티센터|||강원도 동해시 부곡3길 22, (부곡동, 삼정아파트) 상가층 1호(삼정@1차 가동203호)||사립|2011|
동호동새힘새마을문고|||강원도 동해시 발한로 109-1, (발한동) 장수건강원(새힘교회)||사립|2009|
두란노어린이도서관|||강원도 홍천군 남산마을길4길 2 두란노어린이도서관||사립|2005|
두산위브|||강원 원주시 흥업면 흥업리 1827번지||사립|2009|
뒤뚜르어린이도서관|||강원도 춘천시 세실로208번길 8-5, (후평동) 875-12번지||사립|2008|
드림작은도서관|||강원도 고성군 간성읍 수성로 115-43,  고성청소년수련관||사립|2015|
등대작은도서관|||강원도 동해시 논골길 78, (묵호진동) 묵호동주민센터 2층||공립|2010|
뜨란채도서관|||강원 춘천시 퇴계동 뜨란채아파트 1007동 1층||사립|2008|
로고스작은도서관|||강원도 원주시 관설안길 10, (관설동) 1층||사립|2016|
로뎀나무문고|||강원 춘천시 퇴계동 11지구 24블럭 5롯트(춘천사랑의교회내)||사립|2005|
로하스강릉작은도서관|||강원 강릉시 홍제동 1001번지||공립|2008|
마리서사작은도서관|||강원 인제군 인제읍 인제로156번길 50||공립|2013|
마실작은도서관|||강원도 강릉시 현내중길 23 (옥계면)||사립|2013|
마음이머무는작은도서관|||강원도 고성군 죽왕면 구성길 278,  고성문화마을||사립|2015|
만나문고|||강원도 동해시 해안로 447, (부곡동) 동해만나감리교회(부곡동5-97)||사립|2007|
매봉힐링쉼터작은도서관|||강원도 원주시 신림면 창촌길 132,||사립|2016|
명륜나눔도서관|||강원 원주시 명륜2동 705번지||사립|2008|
모퉁이 휴게실과 책 읽는 방|||강원도 강릉시 강릉대로 33, (홍제동) 강릉시의회||사립|2012|
무릉작은도서관|||강원도 동해시 무릉1길 4, (이로동) (무릉복지회관 내 3층)||공립|2009|
무실1단지작은도서관|||강원도 원주시 시청로 68, (무실동, 무실주공1단지아파트)  주택관리공단 원주무실1관리소||사립|2015|
무실이편한 문고|||강원 원주시 무실동 만대로 89||사립|2009|
무실작은도서관|||강원도 원주시 송삼길 20-1, (무실동) (성도교회)||사립|2016|
무지개 작은도서관|||강원도 정선군 북평8길 28-42 무지개 작은도서관||사립|2014|
묵호동새마을문고|||강원도 동해시 일출로 20-4, (발한동) (새묵호교회)||사립|2009|
문래문고|||강원도 정선군 백두대간로 309-4 문래문고||사립|2004|
문화작은도서관|||강원 강릉시 홍제동 15-2번지||공립|2010|
미동문고|||강원 태백시 삼수동 역둔원동로 1470-9||사립|1991|
미래작은도서관|||강원 원주시 관설동 1716-3||사립|2010|
미로지역 행복도서관|||강원도 삼척시 강원남부로 4039(미로교회) 미로교회||사립|2013|
민들레도서관|||강원 원주시 판부면 서곡리 446 포스코더샵아파트 민들레도서관||사립|2010|
민토|||강원도 원주시 송림길 33 (단계동 794-14 지역아동센터에서도 운영)||사립|2009|
반곡벽산블루밍도서관|||강원 원주시 반곡동 1800번지||사립|2010|
