CATElv1,CATElv2,CATElv3,CATEID,중복,NAMECHK,TYPE,cate_icon_v3_ID,cate_icon_v3,cate_icon_v3_t,cate_icon_v4_ID,cate_icon_v4,cate_icon_v4_t,cate_icon_v5_ID,cate_icon_v5,cate_icon_v5_t
음식점/카페/주점,0,0,1,0,0,1,1,패밀리레스토랑,패밀리레스토랑_t,1,poi_restaurant_icon,poi_restaurant_icon_t,1,poi_restaurant_icon,poi_restaurant_icon_t
음식점/카페/주점,패밀리레스토랑,0,101,0,0,2,1,패밀리레스토랑,패밀리레스토랑_t,1,poi_restaurant_icon,poi_restaurant_icon_t,1,poi_restaurant_icon,poi_restaurant_icon_t
음식점/카페/주점,패밀리레스토랑,아웃백스테이크하우스,10101,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패밀리레스토랑,T.G.I.프라이데이스,10102,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패밀리레스토랑,빕스,10103,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패밀리레스토랑,보노보노,10104,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패밀리레스토랑,무스쿠스,10105,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패밀리레스토랑,세븐스프링스,10106,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패밀리레스토랑,한스델리,10107,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패밀리레스토랑,기타,10108,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,0,102,0,0,2,15,패스트푸드,패스트푸드_t,15,poi_fastfood_icon,poi_fastfood_icon_t,15,poi_fastfood_icon,poi_fastfood_icon_t
음식점/카페/주점,패스트푸드,맥도날드,10201,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,롯데리아,10202,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,KFC,10203,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,파파이스,10204,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,버거킹,10205,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,배스킨라빈스31,10206,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,던킨도너츠,10207,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,피자헛,10208,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,미스터피자,10209,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,도미노피자,10210,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,파파존스피자,10211,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,더후라이팬,10212,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,맘스터치,10213,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,한솥도시락,10214,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,나뚜루,10215,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,굽네치킨,10216,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,교촌치킨,10217,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,치킨,10218,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,피자,10219,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,햄버거/도너츠/샌드위치,10220,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,아이스크림,10221,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,도시락,10222,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,패스트푸드,기타,10223,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,0,103,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,일반한식,10301,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,한정식,10302,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,삼겹살,10303,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,갈비/불고기,10304,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,생고기/등심,10305,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,닭/오리구이,10306,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,곱창/양구이,10307,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,족발/보쌈,10308,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,냉면,10309,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,국수전문,10310,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,찌개/탕전문,10311,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,해물요리,10312,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,죽전문,10313,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,샤브샤브,10314,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,철판요리,10315,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,분식,10316,0,0,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,놀부보쌈,10317,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,원할머니보쌈,10318,0,1,0,0,0,0,0,0,0,0,0,0
음식점/카페/주점,한식,떡집,10319,0,0,0,0,0,0,0,0,0,0,0,0
