##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|XCOORD|YCOORD@@ING생명
오렌지라이프|서초지점|BO|1052|0220511858|서울 강남구 테헤란로 318 17층 서초지점(역삼동, 오렌지타워)|127.04607013592483|37.503172256554336
오렌지라이프|선두지점|BO|7076|0221715821|서울 중구 서소문로 38 9층 (중림동,센트럴타워)|126.967027927763|37.5609163986134
오렌지라이프|성장지점|BO|7188|0220518861|서울 강남구 테헤란로 223 7층 (역삼동,큰길타워빌딩)|127.046050|37.503166
오렌지라이프|세계로지점|BO|1068|025666304|서울 강남구 테헤란로 201 11층 (역삼동,아주빌딩)|127.03717999383497|37.50131210930524
오렌지라이프|세종지점|BO|1033|027568601|서울 중구 세종대로7길 37 8층 세종지점(순화동, 오렌지센터)|126.972487869884|37.560752013737
오렌지라이프|솔담지점|BO|5013|027570030|서울 중구 서소문로11길 19 6층 (정동,배재정동빌딩)|126.972421|37.563575
오렌지라이프|승리지점|BO|7167|025532341|서울 강남구 테헤란로 318 10층 A 승리지점(역삼동, 오렌지타워)|127.046023|37.503260
오렌지라이프|신문로지점|BO|3015|027710021|서울 중구 서소문로 50 9층 신문로지점 (중림동,CENTRALPLACE)|126.972487869884|37.560752013737
오렌지라이프|신사지점|BO|7170|0220510630|서울 강남구 테헤란로 201 16층 신사지점 (역삼동,아주빌딩)|127.046055|37.503233
오렌지라이프|안국지점|BO|3012|0221715912|서울 중구 서소문로 38 9층 (중림동,센트럴타워)|126.966894|37.560916
오렌지라이프|여의도지점|BO|1038|023188432|서울 중구 세종대로7길 37 6층 여의도지점(순화동, 오렌지센터)|126.972459|37.560812
오렌지라이프|역삼지점|BO|7164|025015688|서울 강남구 테헤란로 318 6층 역삼지점(역삼동, 오렌지타워)|127.04607013592483|37.503172256554336
오렌지라이프|이글스지점|BO|7176|027789661|서울 강남구 테헤란로 318 18층 이글스지점 (역삼동, Orange Tower)|127.037120|37.501423
오렌지라이프|종로지점|BO|5017|027780065|서울 중구 세종대로7길 37 5층 종로지점(순화동, 오렌지센터)|126.972454|37.560726
오렌지라이프|중앙지점|BO|1012|025018723|서울 강남구 테헤란로 201 8층 중앙지점 (역삼동,아주빌딩)|127.037152|37.501593
오렌지라이프|청담지점|BO|7087|025680017|서울 강남구 테헤란로 318 14층 청담지점(역삼동, 오렌지타워)|127.04607013592483|37.503172256554336
오렌지라이프|태양지점|BO|7103|0234524002|서울 강남구 테헤란로 318 21층 태양지점(역삼동, 오렌지타워)|127.04607013592483|37.503172256554336
오렌지라이프|테헤란지점|BO|7161|0234533057|서울 강남구 테헤란로 318 13층 테헤란지점(역삼동, 오렌지타워)|127.04607013592483|37.503172256554336
오렌지라이프|필승지점|BO|7163|0234531556|서울 강남구 테헤란로 318 21층 필승지점(역삼동, 오렌지타워)|127.046037|37.503146
오렌지라이프|하늘지점|BO|7127|025526470|서울 강남구 테헤란로 318 19층 하늘지점(역삼동, 오렌지타워)|127.04607013592483|37.503172256554336
오렌지라이프|한결지점|BO|1046|0234526543|서울 강남구 테헤란로 318 24층 한결지점 (역삼동,오렌지타워)|127.03717999383497|37.50131210930524
오렌지라이프|한길지점|BO|1039|0234535601|서울 강남구 테헤란로 318 8층 한길지점(역삼동, 오렌지타워)|127.04607013592483|37.503172256554336
오렌지라이프|한남지점|BO|7173|025668772|서울 강남구 테헤란로 223 10층 (역삼동,큰길타워빌딩)|127.040695|37.502363
오렌지라이프|한별지점|BO|7169|0220510622|서울 강남구 테헤란로 318 15층 한별지점(역삼동, 오렌지타워)|127.04607013592483|37.503172256554336
오렌지라이프|한신지점|BO|7195|0234541973|서울 강남구 테헤란로 318 24층 B 한신지점 (역삼동, 오렌지타워)|127.045998|37.503108
오렌지라이프|행복한지점|BO|7091|025222941|서울 강남구 테헤란로 318 22층 A 행복한지점(역삼동, 오렌지타워)|127.04607013592483|37.503172256554336
오렌지라이프|화랑지점|BO|3011|027560671|서울 강남구 테헤란로 318 5층 화랑지점 (역삼동,오렌지타워)|126.972454|37.560726
