##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@SC제일은행
SC제일은행|강릉지점|917252|1185327|SC제일은행||강원도 강릉시 임영로 113|강원도 강릉시 성내동 20-3|||||||SC제일은행 강릉지점|(성내동 20-3)|||40103
SC제일은행|강릉지원출장소|913353|1194540|SC제일은행||강원도 강릉시 동해대로 3288-18|강원도 강릉시 난곡동 117-1|||||||SC제일은행 강릉지원출장소|(난곡동 117-1)|||40103
SC제일은행|원주지점|710750|1070412|SC제일은행||강원도 원주시 중앙로 88|강원도 원주시 중앙동 143|||||||SC제일은행 원주지점|(중앙동 143)|||40103
SC제일은행|원주지원출장소|708427|1072082|SC제일은행||강원도 원주시 시청로 149|강원도 원주시 무실동 1800|||||||SC제일은행 원주지원출장소|(무실동 1800)|||40103
SC제일은행|춘천지점|660150|1217588|SC제일은행||강원도 춘천시 중앙로 45|강원도 춘천시 중앙로1가 80|||||||SC제일은행 춘천지점|(중앙로1가 80)|||40103
SC제일은행|춘천지방법원출장소|661658|1213762|SC제일은행||강원도 춘천시 공지로 284|강원도 춘천시 효자2동 356|||||||SC제일은행 춘천지방법원출장소|(효자2동 356)|||40103
SC제일은행|NHN/판교/뱅크샵플러스지점|523048|1083803|SC제일은행||경기도 성남시 대왕판교로645번길 16|경기도 성남시 분당구 삼평동 629|||||||SC제일은행 NHN/판교/뱅크샵플러스지점|(분당구 삼평동 629)|||40103
SC제일은행|과천지점|498192|1091623|SC제일은행||경기도 과천시 새술막길 39|경기도 과천시 중앙동 41-1|||||||SC제일은행 과천지점|(중앙동 41-1)|||40103
SC제일은행|광명지점|472680|1100116|SC제일은행||경기도 광명시 오리로 657|경기도 광명시 하안동 302-8|||||||SC제일은행 광명지점|(하안동 302-8)|||40103
SC제일은행|구리지점|530180|1139109|SC제일은행||경기도 구리시 경춘로 192|경기도 구리시 수택동 370-1|||||||SC제일은행 구리지점|(수택동 370-1)|||40103
SC제일은행|구성지점|526582|1054060|SC제일은행||경기도 용인시 기흥구 구성로 98|경기도 용인시 기흥구 언남동 414-5|||||||SC제일은행 구성지점|(언남동 414-5)|||40103
SC제일은행|기아자동차소하리출장소|475860|1094058|SC제일은행||경기도 광명시 기아로 113|경기도 광명시 소하동 781-1|||||||SC제일은행 기아자동차소하리출장소|(소하동 781-1)|||40103
SC제일은행|기아자동차화성출장소|450212|981664|SC제일은행||경기도 화성군 기아자동차로 95|경기도 화성군 우정면 이화리 1122|||||||SC제일은행 기아자동차화성출장소|(우정면 이화리 1122)|||40103
SC제일은행|기아자동차화성중앙출장소|447082|982975|SC제일은행|||경기도 화성시 우정읍 매향리 |||||||SC제일은행 기아자동차화성중앙출장소||||40103
SC제일은행|김포지점|436484|1145697|SC제일은행||경기도 김포시 북변중로 23|경기도 김포시 북변동 859|||||||SC제일은행 김포지점|(북변동 859)|||40103
SC제일은행|백석역지점|453132|1151016|SC제일은행||경기도 고양시 일산구 중앙로 1047|경기도 고양시 일산구 백석동 1331|||||||SC제일은행 백석역지점|(백석동 1331)|||40103
SC제일은행|부천지점|452549|1109913|SC제일은행||경기도 부천시 원미구 부천로 120|경기도 부천시 원미구 원미동 111-1|||||||SC제일은행 부천지점|(원미동 111-1)|||40103
SC제일은행|분당지점|528355|1078376|SC제일은행||경기도 성남시 분당구 중앙공원로39번길 7|경기도 성남시 분당구 서현동 89-7|||||||SC제일은행 분당지점|(서현동 89-7)|||40103
SC제일은행|분당중앙지점|525654|1077550|SC제일은행||경기도 성남시 분당구 황새울로258번길 41|경기도 성남시 분당구 수내동 6-8|||||||SC제일은행 분당중앙지점|(수내동 6-8)|||40103
SC제일은행|산본지점|484900|1071863|SC제일은행||경기도 군포시 번영로 489|경기도 군포시 산본동 1142-7|||||||SC제일은행 산본지점|(산본동 1142-7)|||40103
SC제일은행|서수원지점|500842|1049844|SC제일은행||경기도 수원시 팔달구 동말로 88|경기도 수원시 팔달구 고등동 6-2|||||||SC제일은행 서수원지점|(고등동 6-2)|||40103
SC제일은행|성남지점|528921|1094885|SC제일은행||경기도 성남시 수정구 수정로 93|경기도 성남시 수정구 태평동 6447|||||||SC제일은행 성남지점|(태평동 6447)|||40103
SC제일은행|수원지점|503797|1049651|SC제일은행||경기도 수원시 팔달구 정조로 782|경기도 수원시 팔달구 팔달로2가 47-12|||||||SC제일은행 수원지점|(팔달로2가 47-12)|||40103
SC제일은행|수원중부대로지점|509466|1048785|SC제일은행||경기도 수원시 영통구 중부대로 248|경기도 수원시 영통구 매탄동 153-35|||||||SC제일은행 수원중부대로지점|(매탄동 153-35)|||40103
SC제일은행|수원중앙지점|506886|1044867|SC제일은행||경기도 수원시 권선구 권광로 149|경기도 수원시 권선구 권선동 1023-1|||||||SC제일은행 수원중앙지점|(권선동 1023-1)|||40103
SC제일은행|수지지점|520919|1061891|SC제일은행||경기도 용인시 수지구 풍덕천로 110|경기도 용인시 수지구 풍덕천2동 1080-3|||||||SC제일은행 수지지점|(풍덕천2동 1080-3)|||40103
SC제일은행|수지성복지점|515977|1060273|SC제일은행||경기도 용인시 수지구 성복2로 126|경기도 용인시 수지구 성복동 726|||||||SC제일은행 수지성복지점|(성복동 726번지)|||40103
SC제일은행|시화공단지점|441215|1068326|SC제일은행||경기도 시흥시 중심상가로 178|경기도 시흥시 정왕동 1740-1|||||||SC제일은행 시화공단지점|(정왕동 1740-1)|||40103
SC제일은행|아주대학교출장소|510055|1051221|SC제일은행|||경기도 수원시 영통구 원천동 산5|||||||SC제일은행 아주대학교출장소||||40103
SC제일은행|안산지점|463405|1060988|SC제일은행||경기도 안산시 고잔로 76|경기도 안산시 고잔동 533-3|||||||SC제일은행 안산지점|(고잔동 533-3)|||40103
SC제일은행|안양지점|482522|1083085|SC제일은행||경기도 안양시 만안구 안양로 297|경기도 안양시 만안구 안양4동 676-214|||||||SC제일은행 안양지점|(안양4동 676-214)|||40103
SC제일은행|야탑역지점|528565|1087321|SC제일은행||경기도 성남시 장미로 78|경기도 성남시 야탑동 360-1|||||||SC제일은행 야탑역지점|(야탑동 360-1)|||40103
SC제일은행|엘지전자출장소|519553|1006672|SC제일은행||경기도 평택시 엘지로 222|경기도 평택시 진위면 청호리 19-1|||||||SC제일은행 엘지전자출장소|(직원전용) (진위면 청호리 19-1)|||40103
SC제일은행|영통지점|516558|1043573|SC제일은행||경기도 수원시 영통구 봉영로 1623|경기도 수원시 영통구 영통동 958-1|||||||SC제일은행 영통지점|(영통동 958-1)|||40103
SC제일은행|용인지점|545346|1037746|SC제일은행||경기도 용인시 처인구 금령로 72|경기도 용인시 처인구 김량장동 296-7|||||||SC제일은행 용인지점|(김량장동 296-7)|||40103
SC제일은행|용인보라지점|526598|1043038|SC제일은행||경기도 용인시 기흥구 사은로126번길 25|경기도 용인시 기흥구 보라동 555|||||||SC제일은행 용인보라지점|(보라동 555)|||40103
SC제일은행|의정부지점|511460|1177413|SC제일은행||경기도 의정부 태평로 66|경기도 의정부 의정부동 126-10|||||||SC제일은행 의정부지점|(의정부동 126-10)|||40103
SC제일은행|이마트/광교/뱅크데스크지점|510404|1054795|SC제일은행||경기도 수원시 영통구 광교로 191|경기도 수원시 영통구 이의동 1240|||||||SC제일은행 이마트/광교/뱅크데스크지점|(이의동 1240)|||40103
SC제일은행|이마트/광명소하/뱅크데스크지점|474478|1096486|SC제일은행||경기도 광명시 소하로 97|경기도 광명시 소하동 1339-3|||||||SC제일은행 이마트/광명소하/뱅크데스크지점|(소하동 1339-3)|||40103
SC제일은행|이마트/김포한강/뱅크데스크지점|417989|1151502|SC제일은행||경기도 김포시 김포한강7로 71||||||||SC제일은행 이마트/김포한강/뱅크데스크지점|( )|||40103
SC제일은행|이마트/다산/뱅크데스크지점|535279|1141441|SC제일은행||경기도 남양주시 도농로 24|경기도 남양주시 도농동 1-29|||||||SC제일은행 이마트/다산/뱅크데스크지점|(도농동 1-29)|||40103
SC제일은행|이마트/동탄/뱅크샵지점|517720|1032016|SC제일은행||경기도 화성시 동탄중앙로 376|경기도 화성시 석우동 44|||||||SC제일은행 이마트/동탄/뱅크샵지점|(석우동 44)|||40103
SC제일은행|이마트/서수원/뱅크샵지점|493320|1050984|SC제일은행||경기도 수원시 권선구 수인로 291|경기도 수원시 권선구 구운동 925|||||||SC제일은행 이마트/서수원/뱅크샵지점|(구운동 925)|||40103
SC제일은행|이마트/수지/뱅크데스크지점|518463|1061246|SC제일은행||경기도 용인시 수지구 수지로 203|경기도 용인시 수지구 신봉동 909|||||||SC제일은행 이마트/수지/뱅크데스크지점|(신봉동 909)|||40103
SC제일은행|이마트/의정부/뱅크데스크지점|522592|1178735|SC제일은행||경기도 의정부시 민락로 210|경기도 의정부시 민락동 849|||||||SC제일은행 이마트/의정부/뱅크데스크지점|(민락동 849)|||40103
SC제일은행|이마트/죽전/뱅크샵지점|524395|1062826|SC제일은행||경기도 용인시 포은대로 552|경기도 용인시 수지구 죽전동 1282|||||||SC제일은행 이마트/죽전/뱅크샵지점|(수지구 죽전동 1282)|||40103
SC제일은행|이마트/파주운정/뱅크데스크지점|443785|1169696|SC제일은행||경기도 파주시 한울로 123|경기도 파주시 동패동 58|||||||SC제일은행 이마트/파주운정/뱅크데스크지점|(동패동 58)|||40103
SC제일은행|이마트/풍산/뱅크데스크지점|453082|1159540|SC제일은행||경기도 고양시 무궁화로 237|경기도 고양시 일산동구 중산동 1809|||||||SC제일은행 이마트/풍산/뱅크데스크지점|(일산동구 중산동 1809)|||40103
SC제일은행|이마트/하남/뱅크데스크지점|545399|1125914|SC제일은행||경기도 하남시 덕풍서로 70|경기도 하남시 덕풍동 736|||||||SC제일은행 이마트/하남/뱅크데스크지점|(덕풍동 736)|||40103
SC제일은행|이마트/화정/뱅크데스크지점|463239|1148094|SC제일은행||경기도 고양시 덕양구 백양로 79|경기도 고양시 덕양구 화정동 976|||||||SC제일은행 이마트/화정/뱅크데스크지점|(화정동 976)|||40103
SC제일은행|이천지점|599048|1049424|SC제일은행||경기도 이천시 이섭대천로 1187|경기도 이천시 중리동 228-3|||||||SC제일은행 이천지점|(중리동 228-3)|||40103
SC제일은행|일산지점|448039|1157974|SC제일은행||경기도 고양시 일산구 중앙로 1391|경기도 고양시 일산구 주엽동 83|||||||SC제일은행 일산지점|(주엽동 83)|||40103
SC제일은행|중동지점|450135|1111672|SC제일은행||경기도 부천시 원미구 중동로248번길 105|경기도 부천시 원미구 중동 1138-1|||||||SC제일은행 중동지점|(중동 1138-1)|||40103
SC제일은행|중산지점|451349|1163239|SC제일은행||경기도 고양시 일산동구 탄중로 421|경기도 고양시 일산동구 중산동 1580-1|||||||SC제일은행 중산지점|(중산동 1580-1)|||40103
SC제일은행|진건지점|539336|1154876|SC제일은행||경기도 남양주시 진건오남로 71|경기도 남양주시 진건면 용정리 778-9|||||||SC제일은행 진건지점|(진건면 용정리 778-9)|||40103
SC제일은행|천천동지점|496150|1055060|SC제일은행||경기도 수원시 장안구 덕영대로535번길 46|경기도 수원시 장안구 천천동 524-4|||||||SC제일은행 천천동지점|(천천동 524-4)|||40103
SC제일은행|철산타운지점|471008|1103039|SC제일은행||경기도 광명시 광덕산로 5|경기도 광명시 철산3동 373|||||||SC제일은행 철산타운지점|(철산3동 373)|||40103
SC제일은행|평촌지점|490000|1081310|SC제일은행||경기도 안양시 시민대로 214|경기도 안양시 호계동 1043-1|||||||SC제일은행 평촌지점|(호계동 1043-1)|||40103
SC제일은행|평택지점|522521|970425|SC제일은행||경기도 평택시 평택4로 52|경기도 평택시 비전동 761|||||||SC제일은행 평택지점|(비전동 761)|||40103
SC제일은행|현대의왕연구소점지점|489054|1062933|SC제일은행||경기도 의왕시 철도박물관로 37|경기도 의왕시 삼동 460-113|||||||SC제일은행 현대의왕연구소점지점|(삼동 460-113)|||40103
SC제일은행|호계동지점|490139|1077091|SC제일은행||경기도 안양시 동안구 경수대로 609|경기도 안양시 동안구 호계2동 943-2|||||||SC제일은행 호계동지점|(호계2동 943-2)|||40103
SC제일은행|화성병점지점|509831|1032166|SC제일은행||경기도 화성시 효행로 1072|경기도 화성시 병점동 844-7|||||||SC제일은행 화성병점지점|(병점동 844-7)|||40103
SC제일은행|화정역지점|462686|1148368|SC제일은행||경기도 고양시 덕양구 화중로 72|경기도 고양시 덕양구 화정동 970-2|||||||SC제일은행 화정역지점|(화정동 970-2)|||40103
SC제일은행|거제지점|870915|389961|SC제일은행||경상남도 거제시 거제중앙로 1916|경상남도 거제시 고현동 961-32|||||||SC제일은행 거제지점|(고현동 961-32)|||40103
SC제일은행|구미지점|802441|730610|SC제일은행||경상북도 구미시 백산로 94|경상북도 구미시 송정동 46-2|||||||SC제일은행 구미지점|(송정동 46-2)|||40103
SC제일은행|김해지점|928937|485434|SC제일은행||경상남도 김해시 호계로 437|경상남도 김해시 부원동 611-6|||||||SC제일은행 김해지점|(부원동 611-6)|||40103
SC제일은행|김해시법원출장소|925189|489396|SC제일은행|||경상남도 김해시 내동 1071-1|||||||SC제일은행 김해시법원출장소||||40103
SC제일은행|마산지점|858547|477442|SC제일은행||경상남도 창원시 마산 합포구 창동거리길 58|경상남도 창원시 마산 합포구 남성동 142-3|||||||SC제일은행 마산지점|(남성동 142-3)|||40103
SC제일은행|상주지점|760758|812030|SC제일은행||경상북도 상주시 중앙로 224|경상북도 상주시 성하동 10-1|||||||SC제일은행 상주지점|(성하동 10-1)|||40103
SC제일은행|상주지방법원출장소|758619|815312|SC제일은행||경상북도 상주시 북천로 17-9|경상북도 상주시 만산동 652-2|||||||SC제일은행 상주지방법원출장소|(만산동 652-2)|||40103
SC제일은행|창원지점|882785|482844|SC제일은행||경상남도 창원시 성산구 상남로 107|경상남도 창원시 성산구 상남동 77-2|||||||SC제일은행 창원지점|(상남동 77-2)|||40103
SC제일은행|창원지방법원출장소|887159|483289|SC제일은행||경상남도 창원시 창이대로 681|경상남도 창원시 성산구 사파동 1|||||||SC제일은행 창원지방법원출장소|(성산구 사파동 1)|||40103
SC제일은행|통영지원출장소|830499|382668|SC제일은행||경상남도 통영시 동달안길 67|경상남도 통영시 용남면 동달리 857|||||||SC제일은행 통영지원출장소|(용남면 동달리 857)|||40103
SC제일은행|포항지점|1032931|710782|SC제일은행||경상북도 포항시 북구 죽도로 42|경상북도 포항시 북구 죽도동 44-1|||||||SC제일은행 포항지점|(죽도동 44-1)|||40103
SC제일은행|광주지점|480934|459113|SC제일은행||광주광역시 동구 금남로 224|광주광역시 동구 금남로3가 9-2|||||||SC제일은행 광주지점|(금남로3가 9-2)|||40103
SC제일은행|상무지점|465362|460756|SC제일은행||광주광역시 서구 치평로 86|광주광역시 서구 치평동 1184|||||||SC제일은행 상무지점|(치평동 1184)|||40103
SC제일은행|대구지점|860329|662707|SC제일은행||대구광역시 중구 경상감영길 155|대구광역시 중구 동성로1가 16|||||||SC제일은행 대구지점|(동성로1가 16)|||40103
SC제일은행|대구신세계점/뱅크샵지점|867859|664309|SC제일은행||대구광역시 동구 동부로 149|대구광역시 동구 신천동 1506|||||||SC제일은행 대구신세계점/뱅크샵지점|(신천동 1506)|||40103
SC제일은행|범어동지점|870034|656869|SC제일은행||대구광역시 수성구 청호로 377|대구광역시 수성구 범어4동 331-1|||||||SC제일은행 범어동지점|(범어4동 331-1)|||40103
SC제일은행|성서지점|841191|657582|SC제일은행||대구광역시 달서구 이곡공원로 32|대구광역시 달서구 이곡동 1248-3|||||||SC제일은행 성서지점|(이곡동 1248-3)|||40103
SC제일은행|원대동지점|855114|667042|SC제일은행||대구광역시 북구 팔달로 209|대구광역시 북구 노원2가 292-2|||||||SC제일은행 원대동지점|(노원2가 292-2)|||40103
SC제일은행|죽전동지점|848398|656945|SC제일은행||대구광역시 달서구 달구벌대로 1611|대구광역시 달서구 감삼동 68-7|||||||SC제일은행 죽전동지점|(감삼동 68-7)|||40103
SC제일은행|침산동지점|860687|666729|SC제일은행||대구광역시 북구 침산남로 201|대구광역시 북구 침산2동 13-54|||||||SC제일은행 침산동지점|(침산2동 13-54)|||40103
SC제일은행|대전지점|596524|786852|SC제일은행||대전광역시 동구 중앙로 186|대전광역시 동구 중동 27-9|||||||SC제일은행 대전지점|(중동 27-9)|||40103
SC제일은행|둔산지점|585839|793439|SC제일은행||대전광역시 서구 둔산서로 79|대전광역시 서구 둔산동 1299|||||||SC제일은행 둔산지점|(둔산동 1299)|||40103
SC제일은행|둔산중앙지점|587474|792447|SC제일은행||대전광역시 서구 문예로 39|대전광역시 서구 둔산1동 1499|||||||SC제일은행 둔산중앙지점|(둔산1동 1499)|||40103
SC제일은행|서대전지점|588096|784202|SC제일은행||대전광역시 중구 태평로 35|대전광역시 중구 태평2동 551|||||||SC제일은행 서대전지점|(태평2동 551)|||40103
SC제일은행|대연동지점|977412|460262|SC제일은행||부산광역시 남구 수영로 260|부산광역시 남구 대연1동 327-12|||||||SC제일은행 대연동지점|(대연1동 327-12)|||40103
SC제일은행|덕천동지점|958699|481276|SC제일은행||부산광역시 북구 만덕대로90번길 13|부산광역시 북구 덕천동 388-1|||||||SC제일은행 덕천동지점|(덕천동 388-1)|||40103
SC제일은행|범일동지점|969548|461429|SC제일은행||부산광역시 동구 조방로 39||||||||SC제일은행 범일동지점|( )|||40103
SC제일은행|벡스코지점|985423|469611|SC제일은행||부산광역시 해운대구 센텀남대로 50|부산광역시 해운대구 우동 1519|||||||SC제일은행 벡스코지점|(우동 1519)|||40103
SC제일은행|부산지점|963837|451042|SC제일은행||부산광역시 중구 대청로 135|부산광역시 중구 중앙동3가 18-1|||||||SC제일은행 부산지점|(중앙동3가 18-1)|||40103
SC제일은행|부산/베네시티지점|989759|466929|SC제일은행||부산광역시 해운대구 해운대해변로 163|부산광역시 해운대구 우1동 1432|||||||SC제일은행 부산/베네시티지점|(우1동 1432)|||40103
SC제일은행|부산역지점|964701|453796|SC제일은행||부산광역시 동구 중앙대로 176|부산광역시 동구 초량동 1211-1|||||||SC제일은행 부산역지점|(초량동 1211-1)|||40103
SC제일은행|부전동지점|969142|465504|SC제일은행||부산광역시 부산진구 중앙대로 694||||||||SC제일은행 부전동지점|( )|||40103
SC제일은행|신세계/센텀시티/뱅크샵지점|985042|469765|SC제일은행||부산 해운대구 센텀남대로 35|부산 해운대구 우동 1495|||||||SC제일은행 신세계/센텀시티/뱅크샵지점|(우동 1495)|||40103
SC제일은행|연산동지점|974700|475009|SC제일은행||부산광역시 연제구 반송로 41|부산광역시 연제구 연산1동 584-16|||||||SC제일은행 연산동지점|(연산1동 584-16)|||40103
SC제일은행|온천동출장소|973416|483415|SC제일은행||부산광역시 동래구 금강공원로 42|부산광역시 동래구 온천동 210-83|||||||SC제일은행 온천동출장소|(온천동 210-83)|||40103
SC제일은행|장림동지점|950770|443481|SC제일은행||부산광역시 사하구 다대로 288|부산광역시 사하구 장림동 282|||||||SC제일은행 장림동지점|(장림동 282)|||40103
SC제일은행|창선동지점|962327|449940|SC제일은행||부산광역시 중구 중구로 16-1|부산광역시 중구 창선동2가 45-7|||||||SC제일은행 창선동지점|(창선동2가 45-7)|||40103
SC제일은행|초읍동지점|966664|471125|SC제일은행||부산광역시 부산진구 새싹로 212|부산광역시 부산진구 초읍동 268-4|||||||SC제일은행 초읍동지점|(초읍동 268-4)|||40103
SC제일은행|가락중앙지점|526138|1110290|SC제일은행||서울특별시 송파구 중대로9길 39|서울특별시 송파구 가락동 88-3|||||||SC제일은행 가락중앙지점|(가락동 88-3)|||40103
SC제일은행|강남PB센터|511759|1108260|SC제일은행||서울특별시 강남구 남부순환로 2806|서울특별시 강남구 도곡동 467-12|||||||SC제일은행 강남PB센터|(도곡동 467-12)|||40103
SC제일은행|강남역지점|506102|1110964|SC제일은행||서울특별시 강남구 강남대로 406|서울특별시 강남구 역삼2동 820-9|||||||SC제일은행 강남역지점|(역삼2동 820-9)|||40103
SC제일은행|강남파이낸스지점|508140|1111294|SC제일은행||서울특별시 강남구 테헤란로 152|서울특별시 강남구 역삼1동 737|||||||SC제일은행 강남파이낸스지점|(역삼1동 737 강남파이낸스센터);강남파이낸스센터|||40103
SC제일은행|강동역지점|529522|1121043|SC제일은행||서울특별시 강동구 천호대로 1102|서울특별시 강동구 성내동 199-10|||||||SC제일은행 강동역지점|(성내동 199-10)|||40103
SC제일은행|개봉동지점|468160|1108168|SC제일은행||서울특별시 구로구 개봉로 33-1|서울특별시 구로구 개봉동 403-84|||||||SC제일은행 개봉동지점|(개봉동 403-84)|||40103
SC제일은행|공항동지점|458358|1128224|SC제일은행||서울특별시 강서구 공항대로 38|서울특별시 강서구 공항동 32-3|||||||SC제일은행 공항동지점|(공항동 32-3)|||40103
SC제일은행|광장동지점|520868|1122394|SC제일은행||서울특별시 광진구 구의강변로 106|서울특별시 광진구 구의3동 199-18|||||||SC제일은행 광장동지점|(구의3동 199-18)|||40103
SC제일은행|광화문지점|495146|1131006|SC제일은행||서울특별시 종로구 종로 1|서울특별시 종로구 종로1가 |||||||SC제일은행 광화문지점|(종로1가 )|||40103
SC제일은행|교대역지점|503747|1109702|SC제일은행||서울특별시 서초구 서초대로 324|서울특별시 서초구 서초동 1675-1|||||||SC제일은행 교대역지점|(서초동 1675-1)|||40103
SC제일은행|구로동지점|473003|1112664|SC제일은행||서울특별시 구로구 구로중앙로 212|서울특별시 구로구 구로동 612-14|||||||SC제일은행 구로동지점|(구로동 612-14)|||40103
SC제일은행|구로디지털지점|478036|1106432|SC제일은행||서울특별시 구로구 시흥대로 551|서울특별시 구로구 구로3동 1126-1|||||||SC제일은행 구로디지털지점|(구로3동 1126-1)|||40103
SC제일은행|구의동지점|518639|1122990|SC제일은행||서울특별시 광진구 자양로 164|서울특별시 광진구 구의2동 250-19|||||||SC제일은행 구의동지점|(구의2동 250-19)|||40103
SC제일은행|군자역지점|517274|1127177|SC제일은행||서울특별시 광진구 천호대로 540|서울특별시 광진구 군자동 473-19|||||||SC제일은행 군자역지점|(군자동 473-19)|||40103
