##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@신한은행
신한은행|나라사랑카드/제주발급소지점|||신한은행|0647237014||제주특별자치도 제주시 도남동 정부제주지방합동청사 제주지방병무청 |||||||나라사랑카드 제주발급소||||40105
신한은행|서귀포출장소|||신한은행|0647327930|제주 서귀포시 일주동로 8707||||||||서귀포(출)|(서귀동)|||40105
신한은행|신제주지점|||신한은행|0647451637|제주 제주시 연북로 36||||||||신제주|(노형동) 제이빌딩|||40105
신한은행|제주지점|||신한은행|0647525500|제주 제주시 중앙로 31||VIP||||||제주|(일도일동)|||40105
신한은행|제주공항출장소|||신한은행|0647473825|제주 제주시 공항로 2||||||||제주공항(출)|제주국제공항청사 (용담이동,제주국제공항)|||40105
신한은행|제주신화월드출장소|||신한은행|0649041000|제주특별자치도 서귀포시 안덕면 신화역사로304번길 38||||||||제주신화월드(출)|(서광리)|||40105
신한은행|제주중앙금융센터|||신한은행|0647577200|제주 제주시 중앙로 166||VIP||||||제주중앙금융센터|(이도일동)|||40105
신한은행|무거동지점|||신한은행|0522499977|울산 남구 대학로 138||VIP||||||무거동|(무거동,신정빌딩 1층)|||40105
신한은행|약사동지점|||신한은행|0522856500|울산 중구 번영로 487||VIP||||||약사동|(약사동)|||40105
신한은행|온산금융센터|||신한은행|0522370680|울산 울주군 온산읍 덕신로 217||VIP||||||온산금융센터||||40105
신한은행|울산지점|||신한은행|0522755700|울산 남구 삼산로 227||||||||울산|(달동)|||40105
신한은행|울산S-OIL출장소|||신한은행|0522381967|울산 울주군 온산읍 온산로 68||||||||울산S-OIL(출)|S-OIL (주) 온산공장 별관|||40105
신한은행|울산SK지점|||신한은행|0522082149|울산 남구 신여천로 2||||||||울산SK|SK울산정유공장 (고사동)|||40105
신한은행|울산기업금융센터|||신한은행|0522679386|울산 남구 삼산로 227||||||||울산기업금융센터|(달동)|||40105
신한은행|울산남지점|||신한은행|0522677111|울산 남구 월평로 50||VIP||||||울산남|(신정동)|||40105
신한은행|울산대학교병원출장소|||신한은행|0529147110|울산 동구 방어진순환도로 877||||||||울산대학교병원(출)|(전하동)|||40105
신한은행|울산법원지점|||신한은행|0522728193|울산 남구 법대로 55||VIP||||||울산법원|(옥동,울산지방법원)|||40105
신한은행|울산북금융센터|||신한은행|0522851323|울산 북구 신답로 48||VIP||||||울산북금융센터|프리지아상가 (상안동)|||40105
신한은행|울산성남동지점|||신한은행|0522463132||울산 중구 새즈믄해거리 10|VIP||||||울산성남동|(성남동)|||40105
신한은행|울산중앙금융센터|||신한은행|0522584582|울산 남구 삼산로 172||VIP||||||울산중앙금융센터|(달동)|||40105
신한은행|울산현대지점|||신한은행|0522354200|울산 동구 명덕로 10||VIP||||||울산현대|현대예술관 (서부동)|||40105
신한은행|전하동지점|||신한은행|0522329334|울산 동구 방어진순환도로 785||VIP||||||전하동|(전하동)|||40105
신한은행|가오동지점|||신한은행|0422860022|대전 동구 동구청로 95||VIP||||||가오동|2층 예시티 (가오동)|||40105
