BRANCH|ADDR|TELL|XCORD|YCORD
서울무용센터|서울특별시 서대문구 명지2길 14 (홍은동 304-1)|02-304-9100|126.9279506|37.5830149
남산예술센터|서울특별시 중구 소파로 138 (예장동 8-19)|02-758-2150|126.9882567|37.5587899
연희문학창작촌|서울특별시 서대문구 증가로 2길 6-7(연희동 203-1)|02-324-4600|126.9314168|37.5722490
남산창작센터|서울특별시 중구 퇴계로26가길 82|02-318-1741|126.9917109|37.5576254
서교예술실험센터|서울시 마포구 잔다리로 6길 33 (서교동 369-8)|02-333-0246|126.9209251|37.5524788
서울예술치유허브|서울특별시 성북구 회기로 3길 17(종암동 28-358) 서울예술치유허브|02-943-9300|127.0370885|37.5922479
시민청|서울특별시 중구 세종대로 110 서울시청|02-739-9922|126.9783708|37.5666470
신당창작아케이드|서울특별시 중구 마장로 87길 신당창작아케이드|02-2232-8833|127.0193592|37.5684789
문래예술공장|서울특별시 영등포구 경인로88길 5-4|02-2676-4300|126.9002002|37.5132962
서울연극센터|서울 종로구 창경궁로 253-1 어젤리아명륜(1) 2층|02-743-9333|127.00132417|37.5833809
금천예술공장|서울시 금천구 범안로15길 57(독산동) |02-807-4747 |126.8919147|37.4689241
잠실창작스튜디오|서울시 송파구 올림픽로25(잠실동10) 종합운동장 내 잠실창작스튜디오|02-423-6674|127.0748108|37.5161646
관악어린이창작놀이터|서울시 관악구 은천로 10길 3|02-871-7400|126.9408281|37.4858746
대학로연습실|서울특별시 종로구 동숭길 117 한석빌딩 1층|02-747-7805|127.0034718|37.5831767
서울거리예술창작센터|서울특별시 광진구 아차산로 710 (광장동 18-2)|02-3437-0099||
서서울예술교육센터|서울특별시 양천구 남부순환로 64길 2, 서서울예술교육센터|02-2697-2600|126.8323238|37.5281048
삼각산시민청|서울특별시 도봉구 삼양로 592(1동) / 서울특별시 강북구 삼양로 595(2동)|02-900-4300|127.0135631|37.6558908
삼일로창고극장|서울특별시 중구 삼일대로 9길 12|02-3789-9635|126.987885|37.563388
청년예술청|서울특별시 서대문구 경기대로 26-26, 지하2층|02-362-9756 ||
서울예술교육센터|서울시 용산구 서빙고로 17, 서울예술교육센터 &lt;업무시설  1층 / 공공시설 5층, 6층&gt; |02-3785-3199||
