INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
메가박스|12849802|메가박스 영통점|경기도 수원시 영통구 영통동 960-1|경기도 수원시 영통구 봉영로 1579 그랜드백화점|1544-0070|['문화,예술', '영화관']|127.0717762|37.2530766|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0710356, 'y': 37.2524694}]|[{'rep': True, 'x': 127.0720493, 'y': 37.2527135}]|None|None
메가박스|12172691|메가박스 수원|경기도 수원시 권선구 권선동 1189|경기도 수원시 권선구 경수대로 270 주차빌딩|1544-0070|['문화,예술', '영화관']|127.0199623|37.2513356|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0205833, 'y': 37.2496203}]|[{'rep': True, 'x': 127.019506, 'y': 37.250997}]|None|None
메가박스|1269584263|메가박스용인기흥|경기도 용인시 기흥구 고매동 889|경기도 용인시 기흥구 신고매로 59|1544-0070|['문화,예술', '영화관']|127.1142379|37.2236565|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.116299, 'y': 37.224361}, {'rep': False, 'x': 127.114226, 'y': 37.223005}]|[{'rep': True, 'x': 127.114777, 'y': 37.22316}]|None|None
메가박스|38500934|메가박스 일산벨라시타|경기도 고양시 일산동 백석동 1237|경기도 고양시 일산동 강송로 33|1544-0070|['문화,예술', '영화관']|126.7914420|37.6420500|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.7907702, 'y': 37.6429024}, {'rep': False, 'x': 126.7933369, 'y': 37.6411281}]|[{'rep': True, 'x': 126.7907702, 'y': 37.6429024}]|None|None
메가박스|37598524|메가박스안산중앙|경기도 안산시 단원구 고잔동 535-1|경기도 안산시 단원구 고잔2길 41|1544-0070|['문화,예술', '영화관']|126.8358454|37.3181262|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.8359057, 'y': 37.317707}]|[{'rep': True, 'x': 126.8356606, 'y': 37.3182545}, {'rep': False, 'x': 126.8356233, 'y': 37.3177344}]|None|None
메가박스|31353920|메가박스 백석|경기도 고양시 일산동구 백석동 1242|경기도 고양시 일산동구 중앙로 1036 베스트 고양터미널|1544-0070|['문화,예술', '영화관']|126.7899222|37.6438384|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.7905982, 'y': 37.6430493}]|[{'rep': True, 'x': 126.7887127, 'y': 37.642812}, {'rep': False, 'x': 126.7891566, 'y': 37.6437707}, {'rep': False, 'x': 126.7895455, 'y': 37.6440675}]|None|None
메가박스|20956019|메가박스 양주|경기도 양주시 광사동 651-1|경기도 양주시 고읍남로 6-6|1544-0070|['문화,예술', '영화관']|127.0801579|37.7962726|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0801281, 'y': 37.7959987}]|[{'rep': True, 'x': 127.0802015, 'y': 37.796355}, {'rep': False, 'x': 127.0799081, 'y': 37.7961358}]|None|None
메가박스|13460177|메가박스 동탄|경기도 화성시 반송동 93-2 동탄 시네스타 7층|경기도 화성시 동탄지성로 11 동탄SR GOLD PLAZA|1544-0070|['문화,예술', '영화관']|127.0728064|37.2045287|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0730468, 'y': 37.2043489}]|[{'rep': True, 'x': 127.0728974, 'y': 37.204712}]|None|None
메가박스|37182463|메가박스 인천논현|인천광역시 남동구 논현동 747-1|인천광역시 남동구 논고개로 61 라피에스타|1544-0070|['문화,예술', '영화관']|126.7276291|37.3976397|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.7270848, 'y': 37.3970991}]|[{'rep': True, 'x': 126.7276964, 'y': 37.3977074}]|None|None
메가박스|13502165|메가박스 킨텍스|경기도 고양시 일산서구 대화동 2602 레이킨스몰 3층|경기도 고양시 일산서구 호수로 817|1544-0070|['문화,예술', '영화관']|126.7521079|37.6678310|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.7504386, 'y': 37.66797}]|[{'rep': True, 'x': 126.752006, 'y': 37.6684138}]|None|None
메가박스|220259517|메가박스 시흥배곧점|경기도 시흥시 배곧동|경기도 시흥시 배곧3로 96|1544-0070|['문화,예술', '영화관']|126.7301485|37.3699929|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.7300641, 'y': 37.3696479}]|[{'rep': True, 'x': 126.7306322, 'y': 37.3699721}, {'rep': False, 'x': 126.7308362, 'y': 37.3696365}]|None|None
메가박스|12249548|메가박스 일산|경기도 고양시 일산서구 덕이동 9,10번지|경기도 고양시 일산서구 덕이로 20 덕이동양우씨네플렉스|1544-0070|['문화,예술', '영화관']|126.7569891|37.6894972|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.7573053, 'y': 37.6892498}]|[{'rep': True, 'x': 126.7570551, 'y': 37.6892851}]|None|None
메가박스|73395323|메가박스 파주운정|경기도 파주시 야당동 483-3 에스비프라자 3층|경기도 파주시 경의로 989|1544-0070|['문화,예술', '영화관']|126.7587977|37.7059041|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.759036, 'y': 37.7056752}]|[{'rep': True, 'x': 126.759036, 'y': 37.7056752}]|None|None
메가박스|35958879|메가박스 검단|인천광역시 서구 당하동 1098-5|인천광역시 서구 서곶로 788 STAR SPACE|1544-0070|['문화,예술', '영화관']|126.6755917|37.5880123|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.6752951, 'y': 37.5884886}]|[{'rep': True, 'x': 126.6749151, 'y': 37.5882337}, {'rep': False, 'x': 126.6755846, 'y': 37.5878172}]|None|None
메가박스|1940222852|메가박스 청라지젤|인천광역시 서구 청라동  796-12|인천광역시 서구 청라에메랄드로 99|1544-0070|['문화,예술', '영화관']|126.6560751|37.5334919|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.6563542, 'y': 37.5341223}]|[{'rep': True, 'x': 126.6563569, 'y': 37.5335649}]|None|매일 08:00~24:00 연중무휴
메가박스|36153195|메가박스 파주금촌|경기도 파주시 금촌동  329-158|경기도 파주시 중앙로 328|1544-0070|['문화,예술', '영화관']|126.7749176|37.7650000|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.7751475, 'y': 37.76487}]|[{'rep': True, 'x': 126.7743015, 'y': 37.7647562}]|None|None
메가박스|318325700|메가박스 송도|인천광역시 연수구 송도동 176-5 트리플 스트리트 D동 3~4층|인천광역시 연수구 송도과학로16번길 33-4|1544-0070|['문화,예술', '영화관']|126.6631004|37.3784423|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.6635297, 'y': 37.3788379}, {'rep': False, 'x': 126.6621708, 'y': 37.3784952}]|[{'rep': True, 'x': 126.6636624, 'y': 37.3781433}]|None|None
메가박스|11730330|메가박스 파주출판도시|경기도 파주시 문발동 510-1|경기도 파주시 문발로 220|1544-0070|['문화,예술', '영화관']|126.6876875|37.7138179|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.6873389, 'y': 37.7151667}]|[{'rep': True, 'x': 126.687722, 'y': 37.7143359}]|None|None
메가박스|1316119245|메가박스 김포한강신도시|경기도 김포시 구래동 6882-4 두원타워 8층||1544-0070|['문화,예술', '영화관']|126.6244666|37.6449210|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.624574, 'y': 37.645227}]|[{'rep': True, 'x': 126.624293, 'y': 37.645173}]|None|None
메가박스|1178927352|메가박스 영종|인천광역시 중구 운서동 3088-3|인천광역시 중구 영종대로 184 (운서동, 7층)|1544-0070|['문화,예술', '영화관']|126.4987335|37.4923213|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.4985, 'y': 37.492267}]|[{'rep': True, 'x': 126.498903, 'y': 37.492547}]|None|None
메가박스|1057653203|메가박스 안성스타필드|경기도 안성시 공도읍 진사리 354|경기도 안성시 공도읍 서동대로 3980|1544-0070|['문화,예술', '영화관']|127.1473860|36.9944180|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.147313, 'y': 36.996069}, {'rep': False, 'x': 127.145449, 'y': 36.995163}, {'rep': False, 'x': 127.146006, 'y': 36.993473}, {'rep': False, 'x': 127.148591, 'y': 36.993771}]|[{'rep': True, 'x': 127.148325, 'y': 36.995915}, {'rep': False, 'x': 127.146006, 'y': 36.993473}, {'rep': False, 'x': 127.148649, 'y': 36.994034}]|None|None
메가박스|303883594|메가박스 남춘천점|강원도 춘천시 온의동 587-8|강원도 춘천시 춘천로17번길 17|1544-0070|['문화,예술', '영화관']|127.7202322|37.8664529|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.720722, 'y': 37.866478}]|[{'rep': True, 'x': 127.720431, 'y': 37.866626}, {'rep': False, 'x': 127.719791, 'y': 37.866586}]|None|None
메가박스|38420336|메가박스 천안|충청남도 천안시 서북구 두정동 68-15|충청남도 천안시 서북구 1공단1길 52 센트하임프라자|1544-0070|['문화,예술', '영화관']|127.1475274|36.8324912|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.1485722, 'y': 36.8324368}]|[{'rep': True, 'x': 127.1483533, 'y': 36.832602}, {'rep': False, 'x': 127.1472504, 'y': 36.832473}]|None|None
메가박스|13069969|메가박스 원주|강원도 원주시 단계동 873 테크노프라자 6층|강원도 원주시 서원대로 165-3 아트스페이스빌딩|1544-0070|['문화,예술', '영화관']|127.9297289|37.3450052|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.9299768, 'y': 37.344829}, {'rep': False, 'x': 127.9293944, 'y': 37.3449117}]|[{'rep': True, 'x': 127.9301292, 'y': 37.3449566}, {'rep': False, 'x': 127.9293944, 'y': 37.3449117}]|None|매일 11:00~22:00
메가박스|37431083|메가박스 진천|충청북도 진천군 진천읍 벽암리 569-4|충청북도 진천군 진천읍 중앙북로 9|1544-0070|['문화,예술', '영화관']|127.4382489|36.8596456|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.4393894, 'y': 36.8602545}]|[{'rep': True, 'x': 127.4382005, 'y': 36.8594919}]|None|None
메가박스|38628407|메가박스 원주센트럴|강원도 원주시 반곡동 1903-2|강원도 원주시 양지로 80|1544-0070|['문화,예술', '영화관']|127.9862490|37.3281290|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.9864867, 'y': 37.3281583}]|[{'rep': True, 'x': 127.9862925, 'y': 37.3282541}, {'rep': False, 'x': 127.9859256, 'y': 37.3280424}, {'rep': False, 'x': 127.986804, 'y': 37.3279909}]|None|월요일 휴무 | 화요일 휴무 | 매일 14:00~20:00 월,화 휴무
메가박스|1591094558|메가박스 오창|충청북도 청주시 청원구 오창읍 양청리 820-1|충청북도 청주시 청원구 오창읍 중심상업1로 8-9 3층|1544-0070|['문화,예술', '영화관']|127.4284895|36.7122285|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.428814, 'y': 36.712508}]|[{'rep': True, 'x': 127.428686, 'y': 36.711885}]|None|매일 00:00~24:00 주차- 입차시간부터 3시간 무료
메가박스|20956021|메가박스 충주|충청북도 충주시 성서동 273|충청북도 충주시 성서3길 19|1544-0070|['문화,예술', '영화관']|127.9327243|36.9711869|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.9326041, 'y': 36.9712921}]|[{'rep': True, 'x': 127.9326966, 'y': 36.9710819}]|None|None
메가박스|1381651861|메가박스충주신관|충청북도 충주시 성서동 387|충청북도 충주시 예성로 151|1544-0070|['문화,예술', '영화관']|127.9331468|36.9705277|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.9332347, 'y': 36.9705183}]|[{'rep': True, 'x': 127.9332347, 'y': 36.9705183}, {'rep': False, 'x': 127.9326316, 'y': 36.9704902}]|None|None
메가박스|1749186951|메가박스 홍성내포|충청남도 홍성군 홍북읍 신경리 555|충청남도 홍성군 홍북읍 청사로174번길 2|1544-0070|['문화,예술', '영화관']|126.6789819|36.6593931|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.679321, 'y': 36.659315}]|[{'rep': True, 'x': 126.678918, 'y': 36.659541}, {'rep': False, 'x': 126.678628, 'y': 36.659316}]|None|None
