##NAME|SUBNAME|TELNUM|ID|NEWADDR|ADDR|TYPE|ORGNAME|SOURCE2@@식신맛집
언양기와집불고기|||271533|울산 울주군 언양읍 헌양길 86|울산광역시 울주군 언양읍 서부리 13|고기/구이류|언양기와집불고기|식신
도동산방|||271536|울산광역시 울주군 송락골길 133 |울산광역시 울주군 상북면 산전리 50-16    |한식|도동산방|식신
더파티울산점|||264600|울산광역시 중구 번영로 329|울산광역시 중구 옥교동 120-2|양식/레스토랑|더파티울산점|식신
촌놈|||256056|울산광역시 남구 정동로20번길 15 |울산광역시 남구 삼산동 1593-10    |한식|촌놈|식신
고래고기원조할매집본점|||266908|울산 남구 장생포고래로 135|울산광역시 남구 장생포동 335-2|한식|고래고기원조할매집본점|식신
미진돌곱창|||265976|울산광역시 남구 남산로26번길 3 |울산광역시 남구 무거동 1159-13    |고기/구이류|미진돌곱창|식신
떡바우횟집|||271263|울산광역시 울주군 간절곶해안길 43 |울산광역시 울주군 서생면 대송리 416-1|한식|떡바우횟집|식신
울산숯불갈비|||355812|None|울산광역시 남구 삼산동 1555-4|고기/구이류|울산숯불갈비|식신
본정|||256165|울산 남구 왕생로120번길 5|울산광역시 남구 달동 1319-13|일식/중식/세계음식|본정|식신
언양진미불고기|||271534|울산 울주군 삼남면 중평로 33|울산광역시 울주군 삼남면 교동리 1597-7|고기/구이류|언양진미불고기|식신
함양집|||266907|울산광역시 남구 중앙로208번길 12 |울산광역시 남구 신정동 579-4    |한식|함양집|식신
경주손칼국수|||271308|울산광역시 남구 월평로47번길 7 |울산광역시 남구 신정동 630-1    |한식|경주손칼국수|식신
갈비구락부|||271542|울산광역시 울주군 남상평2길 34-12 |울산광역시 울주군 삼남면 교동리 1576-12    |고기/구이류|갈비구락부|식신
천손짜장|||265972|울산광역시 남구 울밀로 2890 |울산광역시 남구 무거동 272-5    |일식/중식/세계음식|천손짜장|식신
대일함흥냉면|||274056|울산 중구 명정4길 13|울산광역시 중구 태화동 795-6|한식|대일함흥냉면|식신
꼬꼬사우나찜닭삼산본점|||358675|울산 남구 삼산중로74번길 12|울산광역시 남구 삼산동 1522-3|고기/구이류|꼬꼬사우나찜닭삼산본점|식신
미락식당|||264605|울산광역시 중구 중앙길 100 |울산광역시 중구 성남동 149-4    |고기/구이류|미락식당|식신
원조대구막창1번지|||270996|울산광역시 중구 곽남1길 30 |울산광역시 중구 남외동 343-5    |고기/구이류|원조대구막창1번지|식신
