##NAME|SUBNAME|TELNUM|ID|NEWADDR|ADDR|TYPE|ORGNAME|SOURCE2@@식신맛집
바라티에|||466868|서울 마포구 연희로1길 23|서울특별시 마포구 동교동 148-2|양식/레스토랑|바라티에|식신
한식공간|||1077301|서울 종로구 율곡로 83|서울특별시 종로구 원서동 219|한식|한식공간|식신
더셰프|||955578|서울 용산구 백범로77길 31|서울특별시 용산구 원효로1가 18-28|양식/레스토랑|더셰프|식신
김진목삼|||802749|서울 종로구 자하문로1길 51|서울특별시 종로구 필운동 163-2|고기/구이류|김진목삼|식신
아꼬떼뒤파르크|||480023|서울 성동구 서울숲2길 28-7|서울특별시 성동구 성수동1가 685-477|카페/디저트|아꼬떼뒤파르크|식신
eert|||1062683|서울특별시 성동구 서울숲2길 19-17 |서울특별시 성동구 성수동1가 685-417  |카페/디저트|eert|식신
스시소라/광화문점|||1031111|서울특별시 종로구 종로 19|서울특별시 종로구 종로1가 24|일식/중식/세계음식|스시소라 광화문점|식신
올레무스|||872820|서울특별시 서대문구 연희로5길 58 |서울특별시 서대문구 연희동  220-40   |카페/디저트|올레무스|식신
카미소리|||873025|서울특별시 용산구 한남대로21길 33|서울특별시 용산구 한남동 78-10|일식/중식/세계음식|카미소리|식신
빵길따라|||875145|서울 마포구 연희로 33|서울특별시 마포구 연남동 227-2    |카페/디저트|빵길따라|식신
히피스베이글|||375784|서울 강북구 삼양로 528|서울특별시 강북구 우이동 72-78    |카페/디저트|히피스베이글|식신
발리인망원|||379162|서울특별시 마포구 포은로 67 |서울특별시 마포구 망원동 394-86|일식/중식/세계음식|발리인망원|식신
레앤르|||998172|서울 종로구 자하문로13길 5|서울특별시 종로구 통인동 118-10|카페/디저트|레앤르|식신
소꿉|||479902|서울특별시 용산구 장문로 147 |서울특별시 용산구 한남동 568-241|고기/구이류|소꿉|식신
서씨네해장국|||372914|서울특별시 마포구 토정로 290 |서울특별시 마포구 용강동 122-13|한식|서씨네해장국|식신
서호장|||479793|서울 종로구 수표로 91-1|서울특별시 종로구 관수동 13-1|일식/중식/세계음식|서호장|식신
즐거운맛/돈까스|||409206|서울특별시 동대문구 왕산로 15-1 |서울특별시 동대문구 신설동 76-36|일식/중식/세계음식|즐거운맛 돈까스|식신
로우파이테이블|||872821|서울 용산구 후암로 20-1|서울특별시 용산구 후암동 244-67|양식/레스토랑|로우파이테이블|식신
하나모코시|||872983|서울특별시 용산구 백범로87길 50-1 |서울특별시 용산구 원효로1가 43-3   |일식/중식/세계음식|하나모코시|식신
고료리야하루카|||842675|서울특별시 마포구 용강동 114-19 |서울특별시 마포구 용강동 502|일식/중식/세계음식|고료리야하루카|식신
강서|||401808|서울 중구 서애로1길 6|서울특별시 중구 필동3가 18-7    |일식/중식/세계음식|강서|식신
사랑방칼국수|||375683|서울 중구 동호로11길 30|서울특별시 중구 다산동 432-1578|한식|사랑방칼국수|식신
이태원더버거|||375666|서울 용산구 녹사평대로32길 22|서울특별시 용산구 이태원동 34-29|양식/레스토랑|이태원더버거|식신
캐비넷|||630442|서울특별시 마포구 월드컵북로6길 78 브라카빌딩 |서울특별시 마포구 동교동 197-14|카페/디저트|캐비넷|식신
제뉴어리피크닉|||999558|서울 성북구 창경궁로43길 26|서울특별시 성북구 성북동1가 48|카페/디저트|제뉴어리피크닉|식신
호텔세느장|||1081886|서울특별시 종로구 돈화문로11길 28-5 쎄느장여관 |서울특별시 종로구 낙원동 122|카페/디저트|호텔세느장|식신
오헨|||382587|서울특별시 마포구 독막로 215 |서울특별시 마포구 신수동 179-2|카페/디저트|오헨|식신
24시뼈다귀감자탕|||415356|서울 용산구 대사관로 73|서울특별시 용산구 한남동 634-14|한식|24시뼈다귀감자탕|식신
바코드|||480340|서울 서대문구 연세로9길 26|서울특별시 서대문구 창천동 52-38|나이트라이프|바코드|식신
싸이공레시피|||449712|서울 마포구 성미산로 29-1|서울특별시 마포구 성산동 245-47|일식/중식/세계음식|싸이공레시피|식신
미티크|||1069446|서울 용산구 백범로87길 28|서울특별시 용산구 원효로1가 121-76|고기/구이류|미티크|식신
애정마라샹궈|||432457|서울 성북구 동소문로20나길 11|서울특별시 성북구 동선동1가 2-6|일식/중식/세계음식|애정마라샹궈|식신
베나레스|||482863|서울특별시 동대문구 회기로19길 23|서울특별시 동대문구 회기동 16-36|일식/중식/세계음식|베나레스|식신
미야자키상점|||841845|서울 마포구 연희로1길 29|서울특별시 마포구 동교동 118-18|일식/중식/세계음식|미야자키상점|식신
학술적연구소|||630965|서울특별시 종로구 보문로1길 7-4 |서울특별시 종로구 숭인동 1139  |나이트라이프|학술적연구소|식신
라오삐약|||480697|서울 마포구 희우정로10길 5|서울특별시 마포구 망원동 396-27|양식/레스토랑|라오삐약|식신
비스트로주라|||481309|서울특별시 마포구 와우산로23길 18-7 |서울특별시 마포구 서교동 342-16|나이트라이프|비스트로주라|식신
옥반상|||1030522|서울특별시 종로구 사직로 101 필운빌딩 |서울특별시 종로구 필운동 211|한식|옥반상|식신
스시츠카무|||1009402|서울특별시 중구 남대문로 81|서울특별시 중구 소공동 1|일식/중식/세계음식|스시츠카무|식신
투떰즈업|||1067922|서울 마포구 망원로11길 29|서울특별시 마포구 망원동 479-91|카페/디저트|투떰즈업|식신
그린팬트리|||999209|서울 마포구 동교로46길 7|서울특별시 마포구 연남동 387-19|카페/디저트|그린팬트리|식신
더피아노|||825042|서울 종로구 평창6길 71|서울특별시 종로구 평창동 444-1|카페/디저트|더피아노|식신
버거펠라즈|||630262|서울 서대문구 연세로4길 57|서울특별시 서대문구 창천동 5-42|양식/레스토랑|버거펠라즈|식신
성광대도|||482879|서울 용산구 신흥로 63|서울특별시 용산구 용산동2가 22-9|일식/중식/세계음식|성광대도|식신
관훈맨션|||1092310|서울특별시 종로구 인사동8길 6-3 |서울특별시 종로구 관훈동 15-2|양식/레스토랑|관훈맨션|식신
