##NAME|SUBNAME|TELNUM|ID|NEWADDR|TYPE|TYPE2|ORGNAME|SOURCE2@@레드테이블
663|663||97527|서울시 강남구 신사동 663-2|주점,한식|치킨/호프,닭/오리|663|레드테이블
쟈니덤플링|쟈니덤플링||1544|서울 용산구 이태원동 130-3|중식|만두/딤섬|쟈니덤플링|레드테이블
설빙|설빙||72242|서울시 마포구 서교동 358-37|카페|카페,베이커리|설빙|레드테이블
호야초밥참치|호야초밥참치||128|서울 광진구 화양동 12-36|일식|참치|호야초밥참치|레드테이블
을밀대|을밀대||715|서울 마포구 염리동 147-6|한식|냉면/막국수/밀면|을밀대|레드테이블
우마이도(건대점)|우마이도(건대점)||146|서울 광진구 화양동 3-29|일식|라멘/우동/소바|우마이도(건대점)|레드테이블
듀크렘|듀크렘||17275|서울 강남구 신사동 546-18|카페|베이커리|듀크렘|레드테이블
훌리오홍대점|훌리오홍대점||1745|서울 마포구 와우산로13길 40|카페|떡/전통차|훌리오홍대점|레드테이블
스시조|스시조||3370|서울 중구 소공동 87|일식|스시/사시미|스시조|레드테이블
요기(홍대점)|요기(홍대점)||1922|서울 마포구 서교동 411-1|한식|면/만두|요기(홍대점)|레드테이블
교수곱창|교수곱창||1788|서울 마포구 서교동 365-8|한식|양/대창/곱창|교수곱창|레드테이블
송죽장|송죽장||16762|서울 영등포구 영등포동4가 55-4|중식|중식당|송죽장|레드테이블
제임스치즈등갈비|제임스치즈등갈비||43700|서울시 마포구 서교동 369-3 1층|한식|갈비|제임스치즈등갈비|레드테이블
피자리움|피자리움||1533|서울 용산구 이태원동 529|양식|이탈리아식|피자리움|레드테이블
프리모바치오바치|프리모바치오바치||71804|서울시 마포구 동교동 162-8|양식|이탈리아식,파스타|프리모바치오바치|레드테이블
불칸|불칸||43958|서울 강남구 신사동 541-11|양식|스테이크/바비큐|불칸|레드테이블
뿔레치킨(본점)|뿔레치킨(본점)||43946|서울 마포구 서교동 364-1|주점|치킨/호프|뿔레치킨(본점)|레드테이블
마이치치스|마이치치스||45105|서울 용산구 이태원로19길 5 1층|양식|이탈리아식|마이치치스|레드테이블
진주집|진주집||5484|서울 영등포구 여의도동 36-2|한식|면/만두|진주집|레드테이블
온더보더(여의도IFC점)|온더보더(여의도IFC점)||44275|서울 영등포구 국제금융로 10 IFC몰 지하 3층 311호|양식|아메리카|온더보더(여의도IFC점)|레드테이블
멜팅몽키|멜팅몽키||71013|서울시 용산구 이태원동 340-2|카페,양식|샌드위치/토스트,브런치카페,햄버거|멜팅몽키|레드테이블
미진|미진||3125|서울 종로구 종로1가 24|한식|냉면/막국수/밀면|미진|레드테이블
베니건스(서울역점)|베니건스(서울역점)||6206|서울 중구 봉래동2가 122-11|양식|패밀리레스토랑|베니건스(서울역점)|레드테이블
레미콘|레미콘||43636|서울시 강남구 신사동 547-12 1층|카페|베이커리|레미콘|레드테이블
로스꼬꼬|로스꼬꼬||44242|서울 마포구 서교동 358-37|양식|이탈리아식|로스꼬꼬|레드테이블
닭날다(홍대점)|닭날다(홍대점)||26355|서울 마포구 서교동 360-17|한식|닭/오리|닭날다(홍대점)|레드테이블
봉구비어(강남역)|봉구비어(강남역)||43944|서울시 강남구 역삼동 811-6|주점|치킨/호프|봉구비어(강남역)|레드테이블
마망갸또(본점)|마망갸또(본점)||3895|서울 강남구 신사동 524-27|카페|베이커리|마망갸또(본점)|레드테이블
고디바|고디바||72132|서울시 마포구 서교동 360-6|카페|카페,베이커리|고디바|레드테이블
박용석스시|박용석스시||43675|서울시 마포구 서교동 465-1|일식|스시/사시미|박용석스시|레드테이블
멘야산다이메|멘야산다이메||8708|서울 마포구 서교동 355-25|일식|라멘/우동/소바|멘야산다이메|레드테이블
제일제면소(여의도IFC점)|제일제면소(여의도IFC점)||45420|서울 영등포구 여의도동 23|한식|면/만두|제일제면소(여의도IFC점)|레드테이블
돈코보쌈|돈코보쌈||15913|서울 마포구 연남동 568-38|한식|족발/보쌈|돈코보쌈|레드테이블
미진|미진||71365|서울 종로구 종로1가 24|한식|분식|미진|레드테이블
매화반점|매화반점||3568|서울 광진구 자양동 4-11|중식|양꼬치/양고기|매화반점|레드테이블
한옥집|한옥집||365|서울 서대문구 냉천동 178|한식|김치찌개|한옥집|레드테이블
새벽집|새벽집||3287|서울 강남구 청담동 129-10|한식|소고기구이|새벽집|레드테이블
로니로티(건대점)|로니로티(건대점)||45430|서울시 광진구 화양동 7-44 단산화양빌딩 3층|양식|이탈리아식|로니로티(건대점)|레드테이블
코다차야|코다차야||78616|서울시 마포구 상수동 93-45|주점|이자카야,일반주점|코다차야|레드테이블
스윗비|스윗비||43680|서울시 용산구 이태원동 673|카페|베이커리|스윗비|레드테이블
해주냉면|해주냉면||5860|서울 송파구 잠실본동 183-4|한식|냉면/막국수/밀면|해주냉면|레드테이블
함박식당|함박식당||1806|서울 마포구 서교동 402-5|양식|스테이크/바비큐|함박식당|레드테이블
수지스|수지스||1529|서울 용산구 이태원동 34-16|카페|브런치카페|수지스|레드테이블
호밀밭|호밀밭||1245|서울 서대문구 창천동 4-77|카페|아이스크림/빙수/버블티|호밀밭|레드테이블
무이무이|무이무이||6143|서울 강남구 신사동 653-4|카페|커피전문점|무이무이|레드테이블
카페마마스|카페마마스||44051|서울특별시 영등포구 영등포동4가 442|카페|베이커리|카페마마스|레드테이블
돈부리(명동점)|돈부리(명동점)||8678|서울 중구 저동1가 103-9|일식|카레/덮밥/도시락|돈부리(명동점)|레드테이블
일비노파스타|일비노파스타||24605|서울 마포구 동교동 197-42|양식|이탈리아식|일비노파스타|레드테이블
에이미초코|에이미초코||3841|서울 강남구 신사동 524-18|카페|초컬릿|에이미초코|레드테이블
빕스(홍대점)|빕스(홍대점)||6209|서울 마포구 동교동 166-6|양식|패밀리레스토랑|빕스(홍대점)|레드테이블
밀탑(현대백화점압구정점)|밀탑(현대백화점압구정점)||3209|서울 강남구 압구정동 429|카페|아이스크림/빙수/버블티|밀탑(현대백화점압구정점)|레드테이블
디오디아|디오디아||6238|서울 서초구 양재동 24|양식|양식뷔페|디오디아|레드테이블
카페마마스(광화문점)|카페마마스(광화문점)||44659|서울시 종로구 중학동 19|카페|베이커리|카페마마스(광화문점)|레드테이블
프랭크(FRANK'S)|프랭크(FRANK'S)||1508|서울 용산구 소월로44길 41|양식|아시아식|프랭크(FRANK'S)|레드테이블
듀자미|듀자미||3894|서울 강남구 신사동 535-9|카페|베이커리|듀자미|레드테이블
겐지|겐지||26267|서울 마포구 상수동 318-2|주점|이자카야|겐지|레드테이블
니뽕내뽕(명동점)|니뽕내뽕(명동점)||44503|서울시 중구 명동2가 32-2|중식|짬뽕|니뽕내뽕(명동점)|레드테이블
니뽕내뽕(타임스퀘어직영점)|니뽕내뽕(타임스퀘어직영점)||44018|서울시 영등포구 영등포동 4가 441-10|중식|짬뽕|니뽕내뽕(타임스퀘어직영점)|레드테이블
토다이(목동점)|토다이(목동점)||17437|서울 양천구 목동 908-28|양식|양식뷔페|토다이(목동점)|레드테이블
우노(용산점)|우노(용산점)||45066|서울 용산구 한강로3가 40-999|양식|패밀리레스토랑|우노(용산점)|레드테이블
영화루|영화루||1032|서울 종로구 자하문로7길 65|중식|중식당|영화루|레드테이블
모로미(홍대점)|모로미(홍대점)||3676|서울 마포구 서교동 364-4|주점|이자카야|모로미(홍대점)|레드테이블
육회자매집|육회자매집||688|서울 종로구 종로 200-4 제우빌딩|한식|생선회|육회자매집|레드테이블
세븐스프링스|세븐스프링스||96578|서울시 송파구 잠실동 40-1 B1F 롯데월드 어드벤처 세븐스프링스|양식|패밀리레스토랑|세븐스프링스|레드테이블
클로리스(홍대점)|클로리스(홍대점)||30717|서울 마포구 서교동 358-18|카페|테마카페|클로리스(홍대점)|레드테이블
밥스바비|밥스바비||71790|서울시 마포구 연남동 358-1|카페,양식|샌드위치/토스트,브런치카페,햄버거|밥스바비|레드테이블
도쿄팡야(가로수길점)|도쿄팡야(가로수길점)||3922|서울 강남구 신사동 543-8|카페|베이커리|도쿄팡야(가로수길점)|레드테이블
고블앤고(이태원점)|고블앤고(이태원점)||1476|서울 용산구 이태원로19길 12|양식|이탈리아식|고블앤고(이태원점)|레드테이블
스쿨푸드(가로수길점)|스쿨푸드(가로수길점)||44870|서울시 강남구 신사동 538|한식|분식|스쿨푸드(가로수길점)|레드테이블
서가앤쿡(혜화점)|서가앤쿡(혜화점)||625|서울 종로구 동숭동 1-145|양식|이탈리아식|서가앤쿡(혜화점)|레드테이블
혼가츠|혼가츠||46248|서울특별시 마포구 서교동 358-49|일식|돈까스|혼가츠|레드테이블
서가앤쿡(신림점)|서가앤쿡(신림점)||22159|서울 관악구 신림동 1424-28 서원프라자 B1|양식|이탈리아식|서가앤쿡(신림점)|레드테이블
바피아노(강남점)|바피아노(강남점)||52|서울 서초구 서초동 1317-16|양식|이탈리아식|바피아노(강남점)|레드테이블
부탄츄(홍대점)|부탄츄(홍대점)||1732|서울 마포구 서교동 330-19|일식|라멘/우동/소바|부탄츄(홍대점)|레드테이블
어글리스토브홍대점|어글리스토브홍대점||1750|서울 마포구 홍익로 19 2층|양식|이탈리아식|어글리스토브홍대점|레드테이블
시향|시향||71726|서울시 마포구 서교동 376-5|중식|중식당,일반중식|시향|레드테이블
맛있는교토|맛있는교토||71675|서울시 마포구 서교동 362-9|주점,일식|이자카야,일반일식|맛있는교토|레드테이블
유가네|유가네||79213|서울시 중구 명동2가 3-1|한식|닭/오리|유가네|레드테이블
연남서서갈비|연남서서갈비||14420|서울 마포구 노고산동 109-69|한식|갈비|연남서서갈비|레드테이블
코푸플레이트(강남본점)|코푸플레이트(강남본점)||44056|서울시 강남구 역삼동 817-37|양식|이탈리아식|코푸플레이트(강남본점)|레드테이블
시카고피자|시카고피자||65631|서울 용산구 이태원동 119-8|양식|피자|시카고피자|레드테이블
