##NAME|SUBNAME|TELNUM|ID|NEWADDR|ADDR|TYPE|ORGNAME|SOURCE2@@식신맛집
원조태성실비식당|||266623|강원도 태백시 감천로 4 |강원도 태백시 황지동 201-3    |고기/구이류|원조태성실비식당|식신
봉포머구리집|||254083|강원도 속초시 영랑해안길 223 |강원도 속초시 영랑동 148-30|한식|봉포머구리집|식신
강릉감자옹심본점|||253867|강원 강릉시 토성로 171|강원도 강릉시 임당동 19-22|한식|강릉감자옹심본점|식신
만석닭강정본점|||25409|강원 속초시 청초호반로 72|강원도 속초시 조양동 1549-2|고기/구이류|만석닭강정본점|식신
서지초가뜰|||253799|강원도 강릉시 난곡길76번길 43-9 |강원도 강릉시 난곡동 264|한식|서지초가뜰|식신
88생선구이|||254164|강원도 속초시 중앙부두길 71 |강원도 속초시 중앙동 468-55|한식|88생선구이|식신
엄지네포장마차|||366149|강원 강릉시 경강로2255번길 21|강원도 강릉시 포남동 1155|나이트라이프|엄지네포장마차|식신
원조강릉교동반점/본점|||33685|강원도 강릉시 강릉대로 205 |강원도 강릉시 교동 162-126  |일식/중식/세계음식|원조강릉교동반점 본점|식신
빵공장라뜰리에김가|||369053|강원 원주시 행구로 314|강원도 원주시 행구동 1347-17  |카페/디저트|빵공장라뜰리에김가|식신
속초생대구|||359548|강원 속초시 영랑해안3길 14|강원도 속초시 영랑동 131-19|한식|속초생대구|식신
송곡가든농장|||265893|강원 홍천군 서면 굴업솔골길 41|강원도 홍천군 서면 굴업리 317|한식|송곡가든농장|식신
장안횟집|||225777|None|강원도 강릉시 사천면 사천진리 86-64|한식|장안횟집|식신
칡산에|||337982|None|강원도 원주시 단계동 825-2|고기/구이류|칡산에|식신
초당할머니순두부|||253797|강원도 강릉시 초당순두부길 77 |강원도 강릉시 초당동 307-4|한식|초당할머니순두부|식신
양지말/화로구이|||265921|강원 홍천군 홍천읍 양지말길 17-4|강원도 홍천군 홍천읍 하오안리 756|한식|양지말 화로구이|식신
바다횟집|||273588|강원도 삼척시 새천년도로 89-1 |강원도 삼척시 정하동 41|한식|바다횟집|식신
감나무집감자옹심이|||254088|강원 속초시 중앙시장로 110-8|강원도 속초시 중앙동 472-23|한식|감나무집감자옹심이|식신
황태회관|||3517|강원도 평창군 눈마을길 19 |강원도 평창군 대관령면 횡계리 348-5  |한식|황태회관|식신
김영애할머니순두부|||254146|강원 속초시 원암학사평길 183|강원도 속초시 노학동 1011-39|한식|김영애할머니순두부|식신
테라로사/커피공장|||2945|강원도 강릉시 현천길 7 |강원도 강릉시 구정면 어단리 산314|카페/디저트|테라로사 커피공장|식신
동명항생선숯불구이|||99807|None|강원도 속초시 동명동 513-98|한식|동명항생선숯불구이|식신
강릉짬뽕순두부/동화가든/본점|||253961|강원 강릉시 초당순두부길77번길 15|강원도 강릉시 초당동 309-1|한식|강릉짬뽕순두부 동화가든 본점|식신
단천식당|||254140||강원도 속초시 청호동 842|한식|단천식당|식신
원조숯불닭불고기|||273605|강원도 춘천시 낙원길 28-4 |강원도 춘천시 중앙로2가 70|고기/구이류|원조숯불닭불고기|식신
송정해변막국수|||324479|강원 강릉시 창해로 267|강원도 강릉시 강문동 308-11|한식|송정해변막국수|식신
봉브레드|||369394|강원 속초시 동해대로 4344-1|강원도 속초시 교동 799-173    |카페/디저트|봉브레드|식신
차현희순두부청국장|||253860||강원도 강릉시 초당동 6-7|한식|차현희순두부청국장|식신
속초삼해횟집|||362789|강원 속초시 영랑해안길 255|강원도 속초시 영랑동 148-171|한식|속초삼해횟집|식신
실로암메밀국수|||265512|None|강원도 양양군 강현면 장산리 228|한식|실로암메밀국수|식신
고분옥할머니순두부|||254071|강원 강릉시 초당순두부길77번길 16|강원도 강릉시 초당동 308-11|한식|고분옥할머니순두부|식신
대포항소라엄마튀김순대|||254117|강원 속초시 대포항길 9|강원도 속초시 대포동 421-7|한식|대포항소라엄마튀김순대|식신
연곡꾹저구탕|||253894|강원도 강릉시 진고개로 2679 |강원도 강릉시 연곡면 방내리 69-4|한식|연곡꾹저구탕|식신
