##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|XCOORD|YCOORD@@세븐일레븐
세븐일레븐|소공점||서울시 중구 남대문로7길 11 소공동|24시간;카페;치킨;군고구마;베이커리;의약품;예약주문;무인택배접수;ATM;국제 특송 서비스;스마트픽|126.98127338|37.563779281
세븐일레븐|숭의여대점||서울특별시 중구 소파로 125  1층|24시간;카페;의약품;무인택배접수;국제 특송 서비스;스마트픽|126.98714299649049|37.558415530932486
세븐일레븐|시그니처2호점||서울특별시 중구 소월로 3 1 2층(남창동, 롯데손해보험빌딩)|24시간;카페;의약품;ATM|126.97620066|37.559372493
세븐일레븐|시그니처타워점||서울특별시 중구 청계천로 100 지하 1층(수표동, 시그니쳐타워)|카페|126.98842276383319|37.56750131197485
세븐일레븐|신당2호점||서울 중구 다산로 32 남산타운아파트 스포츠센터상가 B-101|24시간;카페;치킨;의약품;예약주문;무인택배접수;국제 특송 서비스;스마트픽|127.00928405|37.549827554
세븐일레븐|신당3호점||서울시 중구 청구로3다길 12|24시간;의약품;예약주문;무인택배접수;ATM;국제 특송 서비스;스마트픽|127.01575868|37.557438498
세븐일레븐|신당본점||서울특별시 중구 무학동 32-1|24시간;카페;의약품;토토;예약주문;ATM;국제 특송 서비스;스마트픽|127.01531188|37.564181617
세븐일레븐|신당아크로타워점||서울시 중구 퇴계로 447(황학동) 120호|24시간;의약품;예약주문;국제 특송 서비스;스마트픽|127.02214891|37.566079832
세븐일레븐|신당오거리점||서울시 중구 다산로42길12  1층|24시간;의약품;시디|127.01695094|37.564729199
세븐일레븐|신당점||서울시 중구 다산로 36길 53|24시간;의약품;토토;예약주문;국제 특송 서비스;스마트픽|127.01785568|37.561517914
세븐일레븐|신당청구점||서울특별시 중구 다산로33길 15  1층|24시간;의약품;국제 특송 서비스;스마트픽|127.01387634|37.56238701
세븐일레븐|아시아미디어점||서울특별시 중구 충무로 29  1층 102, 103호(초동,아시아미디어타워)|카페;베이커리;국제 특송 서비스;스마트픽|126.99250708|37.56383639
세븐일레븐|약수시장점||서울특별시 중구 다산로8길 20 외 5필지 1층(신당동)|24시간;카페;의약품;예약주문;국제 특송 서비스;스마트픽|127.01048852|37.55268542
세븐일레븐|오장동호점||서울특별시 중구 동호로 339  1층 101호(오장동)|24시간;카페;의약품;예약주문;국제 특송 서비스;시디;스마트픽|127.00214151|37.564766436
세븐일레븐|을지로광희점||서울특별시 중구 을지로 258  1층|24시간;카페;의약품;예약주문;국제 특송 서비스;스마트픽|127.00706299|37.565742924
세븐일레븐|을지로넥서스점||서울특별시 중구 을지로20길 12 1층|카페;베이커리;예약주문;국제 특송 서비스;시디;스마트픽|126.99522795|37.565836743
세븐일레븐|을지로입구상가점||서울시 중구 을지로54-1 B1-61|예약주문|126.98384111|37.565911417
세븐일레븐|을지로지하상가점||서울특별시 중구 을지로3가 을지로 지하 131|예약주문;국제 특송 서비스;스마트픽|126.99212199|37.566348342
세븐일레븐|을지스타몰점||서울특별시 중구 을지로 88, 대현프리몰 을지스타몰 376호(을지로2가)|예약주문;국제 특송 서비스;스마트픽|126.98687001|37.56615326
세븐일레븐|저동점||서울특별시 중구 수표로 35-1|예약주문;국제 특송 서비스;스마트픽|126.98997616|37.564445276
세븐일레븐|정동빌딩점||서울특별시 중구 정동 15-5 정동빌딩|무인택배접수|126.97096406|37.567595617
세븐일레븐|중구디자이너스호텔점||서울특별시 중구 퇴계로 304|24시간;국제 특송 서비스;스마트픽|127.00543292|37.563656303
세븐일레븐|중구삼화점||서울특별시 중구 명동9길 20 을지로2가|카페|126.9846604|37.566895414
세븐일레븐|중구성동고점||서울특별시 중구 다산로44길 95  1층|24시간;카페;치킨;의약품;시디|127.0223342|37.564933731
세븐일레븐|중구센터원점||서울특별시 중구 을지로5길 26 CENTER 1 B 1층|카페;예약주문;국제 특송 서비스;스마트픽|126.98520815|37.567338774
세븐일레븐|중구스카이점||서울특별시 중구 퇴계로 139 충무로2가, 청방빌딩 62-9,10|24시간;카페;치킨;의약품;예약주문;국제 특송 서비스;스마트픽|126.98737339|37.561309558
세븐일레븐|중구신당역점||서울특별시 중구 퇴계로 388-1, 1층(신당동)|24시간;카페;의약품;예약주문;국제 특송 서비스;시디;스마트픽|127.01473705|37.565010607
세븐일레븐|중구예장점||서울특별시 중구 필동로8길 50-16|24시간;카페;의약품|126.9944768171|37.5559891065
세븐일레븐|중구장충초교점||서울특별시 중구 청구로 91-12  1층|24시간;카페;의약품;국제 특송 서비스;시디;스마트픽|127.01190663|37.560451884
