##NAME|SUBNAME|TELNUM|ID|NEWADDR@@롭스
롭스|구로디지털점|028303740|110100|서울특별시 구로구 디지털로32길 79 조영빌딩
롭스|잠실점|0221437015|110098|서울특별시 송파구 올림픽로 240 
롭스|강남엔터점|0263216115|110091|서울특별시 서초구 신반포로 지하 188
롭스|롯데몰은평점|0269755040|110087|서울특별시 은평구 통일로 1050
롭스|위례점|024003217|110084|서울특별시 송파구 위례광장로 136
롭스|영플라자명동점|0221185221|110078|서울특별시 중구 남대문로 67
롭스|건대로데오점|024633740|110075|서울특별시 광진구 동일로 20길 106  
롭스|한티역점|025393740|110073|서울특별시 강남구 선릉로 64길 19 
롭스|목동점|0226543740|110068|서울특별시 양천구 오목로 299 
롭스|안암점|029219021|110066|서울특별시 성북구 인촌로 24길 6
롭스|이수점|025327028|110064|서울특별시 동작구 동작대로 119
롭스|선릉점|025017151|110062|서울특별시 강남구 테헤란로 408
롭스|당산점|0226773740|110057|서울특별시 영등포구 양평로 48
롭스|코엑스몰점|025513741|110050|서울특별시 강남구 영동대로 513
롭스|강남점|025583740|110046|서울특별시 강남구 봉은사로2길 31
롭스|구로점|028583740|110043|서울특별시 관악구 시흥대로 576
롭스|종각점|0262268297|110038|서울특별시 종로구 종로5길 7 Tower 8
롭스|신논현점|025453740|110037|서울특별시 강남구 강남대로 502 서희빌딩
롭스|안국점|0232103740|110025|서울특별시 종로구 율곡로 45
롭스|월드몰2호점|0232134508|110023|서울특별시 송파구 올림픽로 300
롭스|월드몰1호점|0232134756|110022|서울특별시 송파구 올림픽로 300
롭스|화곡점|0226043740|110016|서울특별시 강서구 화곡로 161 대성빌딩
롭스|롯데마트서울역점|023653740|110015|서울특별시 중구 청파로 426
롭스|가로수길점|025153740|110013|서울특별시 강남구 강남대로152길 45 우림빌딩
롭스|신천점|024203740|110012|서울특별시 송파구 올림픽로 114 서경빌딩
롭스|건대점|0234095259|110011|서울특별시 광진구 아차산로 219 삼영빌딩
롭스|노원시네마점|029502936|110010|서울특별시 노원구 동일로 1414 롯데백화점
롭스|상봉엔터점|0262246029|110008|서울특별시 중랑구 망우로 353 상봉 프레미어스 엠코
롭스|왕십리역사점|0222001540|110007|서울특별시 성동구 왕십리광장로 17
롭스|수유점|029913740|110006|서울특별시 강북구 도봉로 342
롭스|압구정역점|025483740|110005|서울특별시 강남구 논현로 857 계룡빌딩
롭스|성대점|027443740|110004|서울특별시 종로구 대명길 46
롭스|잠실캐슬점|0221462201|110003|서울특별시 송파구 올림픽로 269
롭스|홍대역점|023343740|110002|서울특별시 마포구 양화로 156 LG팰리스빌딩
롭스|홍대점|0231433740|110001|서울특별시 마포구 양화로18길 3 삼양세븐스프링스
롭스|울산업스퀘어점|0529905544|110120|울산광역시 남구 화합로 185
롭스|울산성남점|0522463740|110112|울산광역시 중구 젊음의거리 50
롭스|울산삼산점|0522563740|110040|울산광역시 남구 삼산로277번길 8
롭스|롯데백화점 인천터미널점|0322422712|110134|인천광역시 미추홀구 연남로 35 인천종합터미널,롯데백화점
롭스|하이마트주안점|0324243740|110119|인천광역시 미추홀구 경원대로 757 (주)하이마트
롭스|부평점|0325053740|110014|인천광역시 부평구 시장로 20
롭스|남악아울렛점|0618012168|110088|전라남도 무안군 삼향읍 남악로162번길 80 
롭스|목포상동점|0612873740|110074|전라남도 목포시 장미로 30
롭스|군산수송점|0634673740|110123|전라북도 군산시 월명로 254
롭스|군산아울렛점|0634470145|110115|전라북도 군산시 조촌로 130 롯데아울렛 군산점
롭스|익산영등점|0638313865|110086|전라북도 익산시 무왕로 1052 
롭스|전주객사점|0632873740|110081|전북 전주시 완산구 고사동 36
롭스|당진점|0413553741|110124|충청남도 당진시 당진중앙2로 127 기업은행
롭스|부여아울렛점|0414352608|110096|충청남도 부여군 백제문로 387
롭스|청주성안길점|0432213740|110118|충청북도 청주시 상당구 성안로 10-1
