##NAME|SUBNAME|NEWADDR|FEAT|SHOPCODE|X|Y@@GS25
GS25|달서대로점|대구 달서구 와룡로151,  101호(감삼동 476-6)|cafe25;drug;post;withdrawal|V6764|35.84615893|128.53668195
GS25|달서대천점|대구 달서구 월암로95(대천동 1012)|cafe25;instant;drug;post;withdrawal|VW293|35.824656|128.51333994
GS25|달서도원점|대구 달서구 도원로42 (도원동 1442-2)|cafe25;instant;drug;post;withdrawal|VY875|35.8060832|128.5352283
GS25|달서동화점|대구 달서구 와룡로46길11, 1층 (죽전동 255-6)|cafe25;instant;drug;post;withdrawal;smart_atm|VW262|35.85253395|128.53810881
GS25|달서로점|대구 서구 달서로60(비산4동 286-12)|bakery;instant;drug;post;withdrawal|VU609|35.86730701|128.57122921
GS25|달서명가점|대구 달서구 호산로29길109(파호동 82-17)|instant;drug;post;withdrawal|V6884|35.85244954|128.47700602
GS25|달서미성스파점|대구 달서구 조암남로28길9, 1층 110호 (대천동 441-1)|cafe25;drug;post;withdrawal|VR796|35.81776061|128.51758932
GS25|달서본동점|대구 달서구 와룡로10길10 (본동 753-1)|cafe25;instant;drug;post;withdrawal|VT020|35.83650129|128.53766846
GS25|달서브리티쉬|대구 달서구 달구벌대로1530, 301동 110호 (감삼동 702, 삼정브리티시용산)|cafe25;instant;drug;post;withdrawal|VU845|35.8490111|128.53376742
GS25|달서상원로점|대구 달서구 상원로52 (상인동 1431-11)|cafe25;instant;drug;post;smart_atm|V2E92|35.81449136|128.5355171
GS25|달서상인점|대구 달서구 상인서로94, 114,115호(상인1동 1501, 상가동)|drug;post;withdrawal|V2D33|35.8186725|128.54178671
GS25|달서상화로점|대구 달서구 도원동1396-98번지|cafe25;instant;drug;post;withdrawal|VW272|35.80792119|128.54542047
GS25|달서성당점|대구 달서구 당산로39, 105호 (본리동 76-4, 성당래미안이편한세상)|drug;post|VN463|35.84211905|128.54313057
GS25|달서송현점|대구 달서구 중흥로34 (송현동 2004-8)|cafe25;instant;drug;post;withdrawal;smart_atm;self_cook|VS796|35.83090275|128.55578259
GS25|달서신월성점|대구 달서구 월성동1822번지|instant;drug;post;withdrawal;jella_soft|VP294|35.82556082|128.52711374
GS25|달서용산점|대구 달서구 성지로94 (용산동 464-5)|cafe25;instant;drug;post;withdrawal;smart_atm|VP373|35.85775438|128.52135897
GS25|달서월배로점|대구 달서구 월배로85길11 (송현동 188-1)|cafe25;instant;drug;post;withdrawal|VT235|35.83259596|128.55215288
GS25|달서월성점|대구 달서구 조암남로42 (월성동 1264)|cafe25;drug;post;withdrawal|V2Q77|35.82183454|128.52797447
GS25|달서유천점|대구 달서구 월배로5길1, 102호 (유천동 365-6)|cafe25;instant;drug;post;withdrawal|VX947|35.81215556|128.51729844
GS25|달서장기사랑점|대구 달서구 장기로283 (장기동 816-5)|cafe25;instant;drug;post;withdrawal|VU745|35.84336169|128.5292573
GS25|달서장기점|대구 달서구 대명천로284(장기동 826-7)|toto;cafe25;instant;drug;post;withdrawal|V6546|35.8419196|128.52924772
GS25|달서제네스점|대구 달서구 월배로72길11 (송현동 798-66)|drug;post|V2V75|35.82638317|128.54878956
GS25|달서파도고개점|대구 달서구 파도고개로219 (두류동 108-10)|cafe25;instant;drug;post;atm;withdrawal|VY547|35.85820627|128.56495251
GS25|달서하늘채점|대구 달서구 용산로12길60, 1층 (장기동 548-1)|cafe25;instant;drug;post;withdrawal;smart_atm;self_cook|VT333|35.84236649|128.53417676
GS25|달서하이츠점|대구 달서구 성지로12, 104호 (용산동 412-1, 성서7주공아파트)|cafe25;instant;drug;post;withdrawal|VU846|35.85308735|128.51675596
GS25|달서호산점|대구 달서구 달서대로91길14(호산동 711-4)|cafe25;instant;drug;post;withdrawal;smart_atm|V2K55|35.83999479|128.49003777
GS25|달서희성점|대구 달서구 성서공단로15길42 (호림동 19)|cafe25;instant;drug;post;withdrawal;smart_atm|VP539|35.83889271|128.49063981
GS25|달성2공단점|대구 달성군 구지면 달성2차동2로46(예현리 765-2)|post;withdrawal|V2S59|35.63347221|128.42516693
GS25|달성건영점|대구 달성군 다사읍 서재로12길41-16, 상가 101호 (서재리 1068-5, 와룡건영캐스빌)|cafe25;instant;drug;post;withdrawal|VU813|35.86702422|128.49478845
GS25|달성구지점|대구 달성군 구지면 과학마을로23 (응암리 1193-5)|cafe25;instant;drug;post;withdrawal|VY879|35.65620013|128.41612071
GS25|달성논공점|대구 달성군 논공읍 남리1길1 (남리 577-157)|cafe25;instant;drug;post;withdrawal;smart_atm|VO983|35.72515061|128.4496178
GS25|달성본리점|대구 달성군 화원읍 성암로1길5(본리리 109-3)|cafe25;bakery;instant;drug;post;withdrawal|V6262|35.80181502|128.5093758
GS25|달성비슬로점|대구 달성군 화원읍 비슬로2519 (명곡리 161-28)|cafe25;instant;drug;post|VT093|35.80139534|128.49329689
GS25|달성산단점|대구 달성군 구지면 달성2차동1로99 (내리 840-5)|cafe25;instant;post;self_cook|VX415|35.6401625|128.41940535
GS25|달성성주로점|경북 성주군 선남면 성주로4120(도성리 1094-2)|withdrawal;smart_atm|VS625|35.88307633|128.36377592
GS25|달성세천스파점|대구 달성군 다사읍 세천로108, 124호 (세천리 1689-3, 앙코르라구나)|cafe25;instant;drug;post|VY809|35.87323172|128.47306633
GS25|달성세천점|대구 달성군 다사읍 세천북로13 (세천리 1578-2)|cafe25;instant;drug;post;withdrawal|VP490|35.87585967|128.47860814
GS25|달성옥포점|대구 달성군 옥포면 돌미로51 (강림리 1105)|drug;post;withdrawal|VK049|35.78055266|128.4384147
GS25|달성죽곡점|대구 달성군 다사읍 대실역북로8 (매곡리 1549-3)|cafe25;instant;drug;post;withdrawal|VE849|35.85764645|128.46648554
GS25|달성청아람점|대구 달성군 구지면 과학마을로2길6, 상가 5호 (응암리 1178, 청아람아파트)|cafe25;instant;drug;post|VT875|35.65448374|128.41460984
GS25|달성풍경채점|대구 달성군 다사읍 세천로182-10, 303동 101호 (세천리 1587)|instant;drug;post|VT619|35.87356351|128.48031083
GS25|달성현풍점|대구 달성군 현풍면 현풍중앙로98 (부리 286-3)|cafe25;instant;drug;post;withdrawal;smart_atm;self_cook|VW273|35.69749279|128.44349559
GS25|달성화원점|대구 달성군 화원읍 사문진로417 (천내리 103-3)|cafe25;instant;drug;post;withdrawal;smart_atm|VI095|35.80509397|128.49472497
GS25|담양무정점|전남 담양군 담양읍 무정로42 (백동리 88-6)|cafe25;instant;drug;post;smart_atm|VU690|35.30841808|126.98517787
