##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|CODE|XCOORD|YCOORD@@SC제일은행
SC제일은행|한국은행출장소||서울특별시 중구 태평로2가 250|서울특별시 중구 세종대로 67 (태평로2가 250)|2743|495676|1128403
SC제일은행|합정동지점||서울특별시 마포구  |서울특별시 마포구 월드컵로 1길 14 ( )|2492|480709|1125057
SC제일은행|후암동지점||서울특별시 용산구 후암동 244-4|서울특별시 용산구 후암로 46 (후암동 244-4)|2497|495046|1125132
SC제일은행|훼밀리타운지점||서울특별시 송파구 문정동 150|서울특별시 송파구 중대로 24 (문정동 150)|2458|525963|1108807
SC제일은행|울산지점||울산광역시 남구 달동 1365-13|울산광역시 남구 삼산로 243 (달동 1365-13)|2695|1029154|573464
SC제일은행|울산옥동점지점||울산광역시 남구 옥동 1404-3|울산광역시 남구 문수로 377 (옥동 1404-3)|2698|1020337|572107
SC제일은행|검단지점||인천광역시 서구 왕길동 638-4|인천광역시 서구 완정로 179 (왕길동 638-4)|2631|424194|1139791
SC제일은행|계산동지점||인천광역시 계양구 계산동 1062|인천광역시 계양구 계산새로 71 (계산동 1062)|3847|441765|1121921
SC제일은행|구월동지점||인천광역시 남동구 구월동 1264|인천광역시 남동구 호구포로 818 (구월동 1264)|2628|437996|1099049
SC제일은행|부평지점||인천광역시 부평구 부평동 206-21|인천광역시 부평구 부평대로 46 (부평동 206-21)|2603|438757|1110137
SC제일은행|송도신도시지점||인천광역시 연수구 송도동 3-25|인천광역시 연수구 해돋이로 106 (송도동 3-25)|4570|422676|1081315
SC제일은행|연수동지점||인천광역시 연수구 연수3동 532|인천광역시 연수구 원인재로 286 (연수3동 532)|2645|431993|1088910
SC제일은행|이마트/계양/뱅크데스크지점||인천광역시  계양구 작전동 911-1|인천광역시 계양구 봉오대로 785 (작전동 911-1)|8128|441813|1119949
SC제일은행|이마트/연수/뱅크데스크지점||인천광역시 연수구 동춘동 926-9|인천광역시 연수구 경원대로 184  (동춘동 926-9)|7381|429429|1084797
SC제일은행|작전동지점||인천광역시 계양구 작전2동 428-2|인천광역시 계양구 계양대로 28 (작전2동 428-2)|2627|438793|1118641
SC제일은행|제물포지점||인천광역시 남구 숭의동 58-22|인천광역시 남구 경인로 132 (숭의동 58-22)|2601|424157|1101971
SC제일은행|군산지점||전라북도 군산시 수송동 820-5|전라북도 군산시 월명로 213 (수송동 820-5)|2666|435819|685051
