TYPE|TEXT|LCODE|COMPLETE_DATE
시설|제주도 제주애월미노코스마을 2018년 6월 준공예정|147 432 5071|2018-06-01
도로 : 일반도로|지방도 513호선 구산 옥동 확장 공사 2020-12-00|518 433 7153|2019-10-22
도로 : 일반도로|지방도 345호 우만~흔암 도로확포장공사 2020-12-00|558 293 8940|2020-05-31
시설|시흥매화산업단지2020-06-00|576 442 9695|2020-06-01
아파트|DMC롯데캐슬더퍼스트-2020년6월예정|594 883 0454|2020-06-01
시설|모빌리티 라이프 스타일 충전소 - 2021년 1월 가동 예정|589 603 3204|2020-06-01
시설|용인테크노밸리일반산업단지 2020-06-00|550 363 3883|2020-09-01
시설|진주정촌뿌리산단 - 2021.02 준공|328 124 3558|2020-09-30
아파트|힐스테이트송도더테라스-2020년10월예정|576 022 7590|2020-10-01
시설|천주교대전교구청-2020년11월예정|476 933 4936|2020-11-01
아파트|경남고성실버주택 - 2021.01 입주 예정|313 254 5818|2020-11-01
아파트|고덕강일리버스트 8단지 - 2021.02 입주예정|593 433 3525|2020-11-01
시설|대전 유성구 보건소 2020년 11월 예정|461 893 5170|2020-11-23
도로 : 일반도로|고성군 신월ic-월평교 도로공사 2020-12-00|311 154 6080|2020-12-01
아파트|인천송림파인앤유-2020년12월예정|583 252 7852|2020-12-01
아파트|강동리엔파크 11단지 - 2021.02월 말 입주 예정|591 583 3576|2020-12-01
시설|영주동 거점 주차장 2020년 12월 완공 예정|512 554 9139|2020-12-01
아파트|목포산정대광로제비앙아파트-2021년 3월 입주 예정|294 612 4953|2020-12-01
시설|세종벤처밸리 일반산업단지 2020-12-00|493 513 4547|2020-12-01
아파트|광산쌍용예가플래티넘 2021.01 입주 예정|332 942 9620|2020-12-01
아파트|비스타동원2차 2020년 12월 예정|344 765 5720|2020-12-01
아파트|동래롯데캐슬퀸-2020년12월 예정|337 785 4078|2020-12-01
아파트|광양읍 공공실버주택 - 2021.02 예정|313 303 7969|2020-12-01
아파트|신안동 국제미소래 3차 주상복합 아파트 2021-02-00|333 313 0622|2020-12-01
시설|삼정아트테라스정동-2020년12월예정|592 523 1317|2020-12-01
도로 : 일반도로|국도 47호선 진접-내촌간 도로 1공구 2020-12-07|611 083 3804|2020-12-07
도로 : 일반도로|진접-내촌 2공구 2020-12-31|615 463 4079|2020-12-07
시설|화성시청 정문 수소충전소 2021년 5월 예정|553 042 9787|2020-12-08
시설|수정 커뮤니티센터 및 수진동공영주차장 - 2020년 12월 12일 준공|579 333 3093|2020-12-12
시설|인천1호선 송도달빛축제공원역 - 2020년 12월 12일 개통 예정|575 642 7585|2020-12-12
도로 : 일반도로|합천 핫들1아파트 ~ 농산물품질관리원 간 도시계획도로 - 2020.12 준공|377 384 4221|2020-12-17
도로 : 일반도로|동천제방겸용도로 우안제 2020-12-22|375 965 6998|2020-12-22
시설|경기남양주북부경찰서 2020년 12월 예정|608 393 3602|2020-12-23
시설|원주역 2020-12-23|565 864 1582|2020-12-23
도로 : 국도|청송우회도로 국도건설공사 2020-12-00|466 545 4058|2020-12-24
시설|오산 문화의거리 제2공영주차장 완공|547 443 2386|2020-12-28
도로 : 일반도로|서창2지구-신천ic 연결도로 2020-12-29 개통|577 972 9108|2020-12-29
시설|천성산스포츠파크 준공|361 075 3965|2020-12-31
시설|대전 부사시장 주차장 준공|457 603 6321|2020-12-31
도로 : 일반도로|고속도로 연속이동단속구간 확인 요청 (제천방향 평택JC ~ 고덕IC 구간)|535 103 1315|2020-12-31
도로 : 일반도로|고속도로 연속이동단속구간 확인 요청 (서울방향 서산IC ~ 당진IC 구간)|510 192 6972|2020-12-31
도로 : 국도|국도 40호선 홍성서부남당 2020-12-31|481 562 5991|2020-12-31
시설|강일119안전센터 - 2020.12.23 준공|591 893 3562|2020-12-31
도로 : 일반도로|대전 과학벨트 진입도로 B 2020-12-00|472 103 5562|2020-12-31
도로 : 일반도로|반여삼어교 - 2020.12.31 개통|338 215 4518|2020-12-31
시설|삼척중앙시장 1주차장 주차타워 - 2020.11 준공 예정|579 535 5006|2020-12-31
시설|옥계첨단소재융합산업지구|598 615 3613|2020-12-31
시설|충주 한스타워 - 2020.12 예정|529 644 1645|2020-12-31
도로 : 국도|주포-오천 확포장공사 준공|468 692 7140|2020-12-31
아파트|안동운흥 A2블록 행복주택아파트 2021-01-00|484 285 0306|2021-01-01
시설|더펜트하우스수성-2021년 1월 입주 예정|404 074 9100|2021-01-01
시설|수원 대유평지구 2021-00-00|562 933 1543|2021-01-01
시설|온천장역삼정그린코아더시티-2021년1월예정|339 225 4116|2021-01-01
아파트|장성삼계아파트 - 2021.01 입주 예정|343 512 7989|2021-01-01
시설|남양주 북부 장애인 복지관 2021년 1월 예정|611 643 3953|2021-01-01
시설|명지제나우스 2021년 2월 예정|325 615 2236|2021-01-01
아파트|양주옥정대방노블랜드-2021년 1월예정|620 213 2672|2021-01-01
시설|서림마을행복주택 A블럭 2021년 1월 입주 예정|333 123 0527|2021-01-01
아파트|래미안목동아델리체-2021년1월예정|587 693 0019|2021-01-01
시설|제주 테라시티더숨 - 2021.1 입주 예정|146 452 5453|2021-01-01
시설|울산병원 증축리모델링 2021년 예정|374 665 6711|2021-01-01
아파트|포천송우1서희스타힐스 -2021년 4월|622 093 3203|2021-01-01
아파트|노형벽강하이본타워7차 - 2021.01 입주예정|152 042 6069|2021-01-01
아파트|진주일동미라주 -2021년1월|335 494 3375|2021-01-01
아파트|두산알프하임-2021년1월예정|601 973 4378|2021-01-01
아파트|동탄역힐스테이트2차-2021년1월예정|554 693 2624|2021-01-01
아파트|서림마을 행복주택 B블럭 -2021년 1월 입주 예정|333 063 0536|2021-01-01
아파트|대방디엠시티더센텀 2021년 1월 예정|554 383 2704|2021-01-01
아파트|수원고등C1블록 행복주택 - 2021.01 입주|561 123 1598|2021-01-01
아파트|평촌어바인퍼스트-2021년1월예정|571 973 1140|2021-01-01
아파트|다산자이아이비플레이스아파트-2021년1월예정|599 433 3253|2021-01-01
도로 : 일반도로|광진교 남단 나들목 신설 - 2020.12 예정|591 463 2968|2021-01-04
도로 : 일반도로|덕계시가지 도로정비 - 2020.12 까지|356 225 4870|2021-01-04
도로 : 일반도로|조야초교 서편 도로건설공사(2단계) 2020년 12월 예정|413 814 8653|2021-01-04
시설|운남중학교 2021년 3월 예정|436 834 4358|2021-01-04
시설|제천역 신축공사 - 2020-12-00|545 524 4653|2021-01-04
도로 : 일반도로|수산교차로 회전교차로 2020-12-00|356 405 0199|2021-01-04
도로 : 일반도로|바람꽃교 교량 신설 공사 2020-12-23|661 064 8191|2021-01-04
도로 : 일반도로|신안면 적벽산 피암터널 2020.12.30 개통|348 594 2099|2021-01-04
시설|동해시 커뮤니케이션센터 - 2020.11 준공 예정|590 885 4366|2021-01-04
시설|안양SK VI센터 2차 2021년 1월 준공|572 123 1049|2021-01-04
도로 : 일반도로|도림로 확장 2020-12-30|586 283 0568|2021-01-04
시설|목감 어울림센터 - 2020.10 예정|572 913 0097|2021-01-04
도로 : 일반도로|대야교차로 인근 신규 교량 확인 요청|417 442 9742|2021-01-04
시설|원주 스타세븐 - 2021.01 예정|572 104 1048|2021-01-04
도로 : 일반도로|국도 17호선 순천 왕지지구 병목지점 개선공사|312 863 7380|2021-01-04
시설|국립청소년 산림센터 2021년 하반기 개관 예정|532 845 1392|2021-01-04
도로 : 일반도로|남리교차로 본선 하단 신규램프 (평택방향) 개통|555 103 3859|2021-01-04
시설|유성종합스포츠센터 2020-12-00 준공|464 553 5344|2021-01-04
시설|계양구 생활체육야구장|593 362 9038|2021-01-04
시설|순창구림체육관 준공|364 393 2725|2021-01-04
도로 : 일반도로|여의도역-서울국제금융센터 지하보도 개설공사|588 363 0828|2021-01-04
도로 : 일반도로|백석~내양 도로 확포장공사 - 2020.12 준공|568 943 7850|2021-01-04
시설|제내2일반산업단지 2020-12-00|391 645 6117|2021-01-04
도로 : 일반도로|동계-적성 도로건설공사 2020-12-30|363 843 4012|2021-01-04
도로 : 일반도로|국립임실호국원 정문 이전으로 인한 진입로 변경사항 확인 요청|375 293 3646|2021-01-04
시설|세류비즈타워 - 2020.11 준공|558 103 1809|2021-01-04
도로 : 일반도로|굴티재 위험도로 개량공사구간(굴티재터널) 개통|505 583 9558|2021-01-04
도로 : 일반도로|백강교차로 회전교차로 준공|453 503 0581|2021-01-04
도로 : 일반도로|도계읍 흥전육교 개축공사 - 2021.01 개통|555 885 3685|2021-01-04
아파트|남악오룡호반써밋3단지 - 준공 완료|294 862 6098|2021-01-04
아파트|남악오룡호반써밋2단지 - 준공 완료|294 982 6069|2021-01-04
아파트|남악오룡지구 호반써밋1단지 - 준공 완료|294 972 6036|2021-01-04
도로 : 일반도로|안산 농수산물도매시장 우회도로 - 2021.01 개통|565 183 0067|2021-01-04
시설|국립호남권생물자원관 - 2020.12 개관|290 562 4777|2021-01-04
도로 : 일반도로|시민운동장 진입도로 (대1-22호) - 2021.01.09 개통|435 774 6285|2021-01-09
도로 : 일반도로|고덕산단진입도로 개통 완료|533 163 2357|2021-01-10
아파트|의정부더샵파크에비뉴-2021년7월예정|611 833 1966|2021-01-11
도로 : 일반도로|위례신도시 신규도로 확인 요청|584 293 3281|2021-01-11
시설|관악구 가족문화복지센터 2021년 6월 예정|583 803 0719|2021-01-11
시설|다비치리조트빌리지-산토리니|334 554 3910|2021-01-11
시설|다비치리조트빌리지-아테네|334 634 3874|2021-01-11
시설|한강신도시 디원시티 2021-01-00|601 252 7497|2021-01-11
아파트|주하우제스카이아파트-2021년 9월예정|293 882 5432|2021-01-11
도로 : 일반도로|보령시 명천사회복지관 인근 신규도로 확인 요청|460 522 7341|2021-01-11
시설|안창119지역대 - 2020.12 개청|331 445 3677|2021-01-11
시설|다산 제3공영주차장 - 2021.01 운영개시|598 043 3295|2021-01-11
도로 : 일반도로|국도23호선~천안추모공원 연결도로 개통 완료|494 913 3010|2021-01-11
시설|서후119지역대 - 2020.10 완공예정|490 224 9578|2021-01-11
도로 : 일반도로|안양시 삼막1교 재가설 준공|577 533 0688|2021-01-11
아파트|청주동남파밀리에 - 2021년1월예정|489 633 7271|2021-01-11
도로 : 일반도로|지품~온정간 도로 확포장공사 준공|479 935 6755|2021-01-11
시설|김포 월곶119지역대 - 2021.01 개청|607 342 6852|2021-01-11
시설|강남시장 공영주차장 - 2020.12 예정|586 982 8072|2021-01-11
도로 : 일반도로|지방도 463호선 화지-고석정 확포장공사 준공|662 733 4264|2021-01-11
시설|무촌 일반산업단지|561 903 6931|2021-01-11
아파트|롯데캐슬센트럴스카이-2021년9월예정|408 974 8745|2021-01-11
도로 : 일반도로|영생고 사거리 차로 확장 및 조정 완료 - 2021.01.06|404 033 2639|2021-01-11
시설|회성동 공영주차장 - 2021.01 완공 예정|340 604 8519|2021-01-11
아파트|전주역클래시아더스카이-2021년 2월예정|407 313 3371|2021-01-11
시설|춘천휴게소 수소차충전소 2021-01-29|619 493 9902|2021-01-11
시설|고산지구 제1공영주차장 준공 완료|610 503 2760|2021-01-18
시설|가산아이에스비즈타워 - 2021.02 예정|582 773 0362|2021-01-18
도로 : 일반도로|인천타워대로입구 사거리 유턴전용대기차로 신설|572 032 7829|2021-01-18
시설|갈현체육공원 조성 - 2021.10준공 예정|594 032 8710|2021-01-18
시설|도계역 공영주차장 진출입로 개설|556 465 3695|2021-01-18
도로 : 일반도로|화성봉담2보금자리 연결도로 개통|557 023 1070|2021-01-18
시설|청라3동 행정복지센터 신축 2021-01-00|589 332 7595|2021-01-18
시설|현대지식산업센터 한강미사 2차 신축공사 2021년 2월 예정|591 953 3839|2021-01-18
시설|다대1동행정복합청사 - 2021.01 개청|322 065 2915|2021-01-18
시설|안동역 신축역사 이전 2020년 12월 17일 운영 개시|485 764 9712|2021-01-25
시설|김삿갓면 복지회관 - 2020.10 완공 예정|545 314 8578|2021-01-25
아파트|배방우방아이유쉘2단지아파트-2021년5월예정|506 823 2152|2021-01-25
시설|삼송근린공원 복합공공시설 - 2020.11 예정|601 423 0476|2021-01-25
도로 : 일반도로|경남 고성군 마암면 국도 14호선 실사요청|319 744 6311|2021-01-25
도로 : 일반도로|합천 삼가중문~지동간 확포장공사|363 684 3536|2021-01-25
시설|고잔동행정복지센터 - 2021.01 개청 예정|567 032 9669|2021-01-25
아파트|주안역센트레빌-2021년8월예정|582 212 8225|2021-01-25
도로 : 일반도로|수출탑로터리 교통체계 변경 확인 요청|435 694 6365|2021-01-25
시설|통복1교 선형 변경사항 확인 요청|531 383 2504|2021-01-25
도로 : 일반도로|충북 청주시청원구 초정공원 주변 도시계획도로 확인|501 643 8117|2021-01-25
시설|호원소공원 공영주차장 - 2021.01 준공|572 033 1129|2021-01-25
도로 : 일반도로|삼락교차로 실사 요청|318 864 6286|2021-01-25
도로 : 일반도로|상개-매암 대도시 혼잡도로 개선공사 2021년 1월 28일 개통 예정|371 045 6691|2021-01-28
시설|손흥민체육공원 2021년 1월 예정|629 074 0022|2021-01-29
시설|진안소방서 신축공사 - 2021.01월 말 준공 예정|401 963 6328|2021-01-30
아파트|성복역롯데캐슬파크나인2차 - 2021년 1월 말 입주 예정|565 453 2406|2021-01-30
도로 : 일반도로|박문여고 앞 삼거리 좌회전 차선 확인 요청|572 962 7999|2021-01-31
도로 : 일반도로|송도롯데캐슬 앞 사거리 차로 증설|573 392 8003|2021-01-31
도로 : 일반도로|인천 쉐라톤그랜드호텔 앞 좌회전 대기차로 확인 요청|573 912 7788|2021-01-31
도로 : 일반도로|양양군 쌍천제방도로 진입부 도로 변경사항 확인 요청|656 814 8998|2021-01-31
도로 : 일반도로|새앙바위 도로개선공사 준공|466 712 9904|2021-01-31
도로 : 일반도로|수암시장 주차장 진입도로 개설|372 585 6681|2021-01-31
도로 : 일반도로|내동교차로 교통체계 변경 (5거리에서 3거리로 변경)|332 704 3178|2021-01-31
시설|포항시 북구 장량동 다목적재난구호소 준공|433 485 7508|2021-01-31
도로 : 일반도로|먼우금초등학교 앞 차로 추가 확인 요청|574 252 7889|2021-01-31
도로 : 일반도로|인천테크노파크역 사거리 유턴구역 신설|572 972 7914|2021-01-31
아파트|고성봉포코아루오션비치 -2021년2월|667 134 8480|2021-02-01
시설|늘봄초등학교 - 2021.03 개교 예정|555 163 2809|2021-02-01
아파트|연경지구 LH뉴웰시티 2021년 2월 예정|417 184 9266|2021-02-01
아파트|한양수자인성남마크뷰-2021년2월예정|580 133 3482|2021-02-01
아파트|위례호반가든하임-2021년2월예정|584 063 3262|2021-02-01
아파트|철원석미모닝파크3차 - 준공 완료|655 073 4905|2021-02-01
아파트|오투그란데 김제 신풍동 아파트 - 2021년2월예정|401 783 0495|2021-02-01
아파트|옥천 계룡 리슈빌 아파트-2021년2월|456 313 7683|2021-02-01
아파트|고덕자이아파트-2021년2월예정|591 353 3468|2021-02-01
시설|김포한강신도시메트로타워예미지-2021년 2월 예정|601 352 7632|2021-02-01
아파트|다산해모로-2021년2월예정|597 123 3261|2021-02-01
아파트|상도역롯데캐슬 2021-02-00|585 733 1048|2021-02-01
아파트|정읍첨단 A1-1 아파트 - 2021.02 입주 예정|370 582 9899|2021-02-01
아파트|별내역아이파크스위트 2021년 2월 예정|601 343 2998|2021-02-01
아파트|김포한강Aa-12행복주택 - 2021.02 예정|600 502 8026|2021-02-01
시설|당진꿈나래학교 - 2021년 3월 개교|511 422 9051|2021-02-01
아파트|문성레이크자이 -2021년2월|440 854 6160|2021-02-01
아파트|경주두산위브트레지움 -2021년 1월 입주|409 575 5632|2021-02-01
아파트|수원역푸르지오자이 -2021년2월|561 423 1617|2021-02-01
시설|창원 상남동 복합공영주차타워 - 2021.02 준공|339 664 9779|2021-02-01
도로 : 일반도로|거제시 장목초등학교 인근 신규 도로 확인 요청|314 994 9801|2021-02-01
시설|범어더리브 스퀘어 오피스텔 2021년 2월 예정|409 014 9110|2021-02-01
시설|이마트 트레이더스 연산점 - 2021년 2월 예정|335 695 4433|2021-02-01
시설|광천 성암 어반센트럴 오피스텔 2021년 11월 예정|332 823 0366|2021-02-01
시설|우정동 행정복지센터 2021년 2월 예정|375 645 6600|2021-02-01
시설|빌리브 하남 오피스텔 2021년 2월 예정|591 483 3847|2021-02-01
시설|태평시장주차타워 준공|458 883 5921|2021-02-01
아파트|계양효성해링턴플레이스-2021년2월준공예정|588 822 8875|2021-02-01
아파트|송도한라웨스턴파크 2021년 2월 예정|575 512 7618|2021-02-01
아파트|용산베르디움프렌즈아파트 - 2021.02 입주 예정|589 553 1313|2021-02-01
시설|코모도타워 - 2021년 2월 입주 예정|583 842 9237|2021-02-01
아파트|강동리엔파크14단지 - 2021.02 입주 예정|591 183 3582|2021-02-01
시설|서충주신도시시그니처시티-2021.02|532 144 0442|2021-02-01
시설|태안 종합실내체육관 2021-06-00|503 392 4428|2021-02-01
시설|제천 삼보수소충전소 준공|546 714 3211|2021-02-01
아파트|마곡지구9단지 - 2021.02 입주예정|592 352 9677|2021-02-01
아파트|동탄역파라곤-2021년2월예정|552 903 2603|2021-02-01
시설|인천 논현 메트로시티 신축 2021년 2월 준공 예정|575 022 8629|2021-02-01
아파트|포레나 거제 장평-2021년2월|303 964 8978|2021-02-01
아파트|시티프라디움2차-2021년 2월예정|519 082 7714|2021-02-01
아파트|답십리엘림퍼스트 - 2021년 2월 입주 예정|593 143 2232|2021-02-01
아파트|초량베스티움센트럴베이 - 2021년 3월예정|329 055 3643|2021-02-01
도로 : 일반도로|경기도 양주시 옥정~회천간 도로 2021년 예정|620 253 2332|2021-02-01
아파트|안양씨엘포레자이-2021년 2월예정|573 503 0786|2021-02-01
아파트|서산예천2지구중흥S클래스아파트-2021년2월예정|506 122 5697|2021-02-01
도로 : 일반도로|천안 불당동 호반써밋플레이스아파트 ~ 희망로 간 연결도로 개통|510 143 2702|2021-02-03
도로 : 일반도로|국도 5호선 거제-마산 3공구 2021.02.04 개통 예정|331 034 8297|2021-02-04
도로 : 일반도로|연경택지 진입도로(대로2-34호선) 2021-02-05 개통|416 554 9283|2021-02-05
시설|구립 윤슬어린이집 - 2021.01 준공 예정|585 443 0945|2021-02-08
도로 : 일반도로|국도 15호선 고흥-봉래 위험도로 선형개량 2구간 (나로우주센터 진입도로) - 2021.02.08 개통|256 813 7065|2021-02-08
시설|의령읍 서동 공영주차장 준공|350 184 5210|2021-02-08
시설|이천차량등록사업소 -2021년 2월 개청|561 213 6306|2021-02-08
도로 : 일반도로|원창동 신규도로 실사요청|587 692 7855|2021-02-08
아파트|유승한내들더퍼스트-2021년7월예정|613 725 1806|2021-02-08
아파트|센트럴시티그랑베르-2021년3월예정|581 012 8609|2021-02-08
도로 : 일반도로|약수교 하부도로 공사중도로|385 685 6927|2021-02-08
시설|천안중앙시장주차빌딩 - 2021.02 준공|510 133 3230|2021-02-15
시설|국민건강보험공단평택지사-2021년 1월예정|537 753 2146|2021-02-15
아파트|힐스테이트천안 -2021년3월 입주예정|510 883 3247|2021-02-15
도로 : 일반도로|충남 홍성군 은하면 장척리 도로 선형 변경 구간 확인 요청|477 172 7242|2021-02-15
도로 : 일반도로|운곡-회산 간 4차선 도로 선형개량공사 - 2021.02 개통|349 834 7489|2021-02-15
시설|화천신읍공공실버주택 - 2021.03 입주 예정|652 073 9215|2021-02-15
도로 : 일반도로|직산사거리 지하차도 2021년 2월 10일 개통|518 043 3215|2021-02-15
도로 : 일반도로|삼계-대탄 확포장공사|469 655 7694|2021-02-15
시설|미성유치원 - 2021.03 개원 예정|419 122 8096|2021-02-15
도로 : 일반도로|공근면 금계관 주변 도시계획도로 2020년 예정|589 644 2014|2021-02-15
시설|시흥가온중학교 2021-03-00|572 012 9410|2021-02-15
시설|퇴계초중학교 2021년 3월 예정|624 193 9524|2021-02-15
도로 : 일반도로|대전 홍도지하차도 2021-07-01 완전개통|460 753 6219|2021-02-20
시설|대전지방국세청 신청사 - 2021.02.22 이전 예정|463 823 6242|2021-02-22
시설|고등동 행정복지센터 신축 2021-01-25 개청|561 223 1634|2021-02-22
아파트|병점역아이파크캐슬-2021년3월예정|553 653 1916|2021-02-22
시설|동탄 에비뉴223 신축공사 2020-12-00|549 923 2814|2021-02-22
시설|원주 일산공원 조성 2021년 6월 예정|568 914 1762|2021-02-22
도로 : 일반도로|대구 관음로-칠곡로 도로건설 2021-02-25 오후 6시 개통|418 444 8373|2021-02-25
시설|세계로메디플렉스 - 2021.02 예정|584 303 3162|2021-02-26
시설|매곡천 공영주차장 준공|384 485 7038|2021-02-28
시설|인천 학생안전체험관 공영주차장 - 2021.02 준공|580 482 8554|2021-02-28
시설|이천 택시쉼터공영주차장 - 2021.02 준공 예정|562 593 6381|2021-02-28
아파트|양주옥정모아미래도파크뷰-2021년3월예정|621 273 2645|2021-03-01
아파트|광안에일린의뜰 - 2021년3월예정|332 655 4391|2021-03-01
아파트|김포 마송 A3블럭 - 2021.03월 말 입주 예정|605 562 7345|2021-03-01
시설|부산명지대방디엠시티센텀오션1&2차-2021년3월예정|325 685 2261|2021-03-01
시설|봉담코아루카보드줌시티-2021년3월예정|555 313 1060|2021-03-01
시설|대구예아람학교 및 달성교육지원청 이전 2021-03-02|399 964 7121|2021-03-01
도로 : 일반도로|안성스타필드 직결도로 개통|531 433 3264|2021-03-01
아파트|화명센트럴푸르지오-2021년3월예정|341 515 3410|2021-03-01
시설|강빛초중학교 2021-03-00 개교|593 743 3480|2021-03-01
시설|대덕초등학교 2021년 3월 개교 예정|519 072 7732|2021-03-01
시설|한여울초등학교 - 2021.03 개교 예정|571 162 9523|2021-03-01
도로 : 일반도로|사천 곤양향교 앞 도시계획도로 개통|322 164 2088|2021-03-01
시설|수현중학교 - 2021.03 개교 예정|556 163 1091|2021-03-01
시설|여수 유탑유블레스 - 2021.03 준공 예정|286 153 9385|2021-03-01
아파트|수성범어에일린의뜰-2021년 3월예정|407 714 9143|2021-03-01
시설|현송초등학교 2021년 3월 예정|574 232 7522|2021-03-01
시설|신길중학교-2021년3월예정|585 913 0711|2021-03-01
아파트|앞산비스타동원-2021년3월예정|406 274 8929|2021-03-01
시설|호연초등학교 2021년 3월 예정|549 313 2754|2021-03-01
아파트|마포프레스티지자이-2021년3월예정|591 473 1059|2021-03-01
아파트|고성서외아파트 -2021년 3월|313 254 5827|2021-03-01
아파트|e편한세상 영천1단지 2021년 3월 예정|419 675 2602|2021-03-01
아파트|e편한세상 영천2단지 2021년 3월 예정|419 695 2632|2021-03-01
시설|전주푸른샘유치원-2021년3월개원예정|402 243 2771|2021-03-01
시설|동해천곡파인앤유오션시티 - 2021.03 준공 예정|587 945 4513|2021-03-01
시설|부평2동 행정복지센터 2021-03-00|584 332 8570|2021-03-01
시설|남해 보물섬고등학교 개교 2021년 3월 예정|304 624 2356|2021-03-01
아파트|방촌역태왕아너스아파트-2021년3월예정|410 844 9638|2021-03-01
시설|대안학교 송강고등학교 2021년 3월 예정|343 093 1066|2021-03-01
시설|용소초등학교 2021.03 개교|302 014 9840|2021-03-01
시설|대구국제고등학교 2021-03-00|418 874 8702|2021-03-01
시설|용인다움학교 2021년 3월 개교|558 833 3780|2021-03-01
아파트|청주더샵퍼스트파크 -2021년3월|490 083 6771|2021-03-01
시설|석적중학교 2021-03-00|430 584 6808|2021-03-01
아파트|죽전역 솔하임 아파트 2021년 3월예정|567 073 2846|2021-03-01
아파트|복현아이파크-2021년3월예정|412 504 9106|2021-03-01
시설|익산 모현동 다목적 체육관 2021년 3월 개관 예정|418 943 1029|2021-03-01
아파트|평택고덕A2블럭국민임대주택 - 2021.03 입주 예정|538 153 2159|2021-03-01
시설|천안 불당 코아루 와이드시티 오피스텔 2021년 3월 예정|512 523 2816|2021-03-01
시설|안양센트럴헤센2차-2021년3월예정|573 893 0857|2021-03-01
시설|이솔초등학교 2021년 3월 개교 예정|549 333 2809|2021-03-01
시설|위례숲초등학교 2021-03-00 개교|584 093 3332|2021-03-01
아파트|신화휴리브-2021년 3월 예정|314 262 5889|2021-03-01
시설|제주 탐나라공화국 준공 완료|135 682 4344|2021-03-01
아파트|삼송원흥역푸르지오시티-2021년3월예정|601 933 0245|2021-03-01
시설|범계에이스하이테크시티 - 2021.02 준공 예정|573 543 1015|2021-03-01
아파트|파주운정3지구 A25BL 행복주택 - 2021.03 입주 예정|608 202 8592|2021-03-01
아파트|평택고덕코아루더블루시티-2021년 3월 준공예정|537 873 2248|2021-03-01
시설|감일고등학교 2021-03-00|586 713 3350|2021-03-01
시설|산들중학교 2021년 3월 개교|610 622 8729|2021-03-01
시설|여울초등학교 - 2021.03 개교 예정|552 773 2584|2021-03-01
시설|향동고등학교 2021년 3월 예정|596 123 0470|2021-03-01
도로 : 일반도로|원주시 남원주ic-흥업2교 도로확장 2021.03|565 934 1527|2021-03-01
시설|덕천2동 행정복지센터 2021-07-00|338 595 3310|2021-03-01
아파트|속초양우내안애오션스카이아파트-2021년03월예정|660 324 8903|2021-03-01
시설|미송중학교 2021년 3월 예정|576 622 7447|2021-03-01
시설|송담초등학교 2021년 3월 예정|575 952 7463|2021-03-01
시설|인천청호초중학교 - 2021.03 개교 예정|589 862 7750|2021-03-02
시설|새봄초등학교 - 2021년 3월 개교예정|553 403 1942|2021-03-02
시설|중산고등학교 - 2021.03 개교 예정|585 472 6978|2021-03-02
시설|산청중학교 신축공사 - 2021.03 개교|360 054 1035|2021-03-02
시설|안산해솔중학교-2021년3월예정|562 092 9829|2021-03-02
시설|다산하늘초등학교 - 2021.03 개교 예정|599 513 3206|2021-03-02
시설|을지대 의정부캠퍼스 및 부속병원 2021년 3월 예정|612 983 2182|2021-03-02
시설|대전해든학교 2021-03-00|472 053 6480|2021-03-02
시설|웅천중학교 - 2021.03 개교 예정|326 745 0572|2021-03-02
시설|신현초등학교 2021-03-00|570 233 3211|2021-03-02
시설|고운초등학교 - 2021.03 개교 예정|334 324 8488|2021-03-02
시설|하늘중학교 - 2021.03 개교 예정|583 952 6690|2021-03-02
시설|처인고등학교 - 2021.03 개교 예정|547 993 3465|2021-03-02
시설|신원고등학교 - 2021년 3월 개교 예정|603 893 0403|2021-03-02
시설|회야초등학교 - 2021년 3월 개교|356 065 4956|2021-03-02
시설|진영장등초중학교 - 2021.03 개교 예정|349 415 0317|2021-03-02
시설|대구연경초등학교 - 2021.03 개교 예정|417 814 9073|2021-03-02
시설|팔공초중학교 - 2021.03 예정|417 914 9192|2021-03-02
시설|하랑초중학교 - 2021.03 개교 예정|601 863 4382|2021-03-02
도로 : 일반도로|영덕터미널~덕곡교차로 개량공사 준공|468 455 7306|2021-03-08
도로 : 일반도로|관호오거리 입체화 (지하차도+회전교차로 건설) - 2021.02.28 준공 예정 |423 954 6643|2021-03-08
시설|이안테라디움광안오피스텔 - 2021.03 예정|332 465 4543|2021-03-08
도로 : 일반도로|인천광역시 송도동 신규 개통 도로 확인 요청|575 542 7607|2021-03-08
시설|지축중학교 2021.03 개교|602 133 0732|2021-03-08
도로 : 일반도로|지정~봉곡간 우회도로 - 2021.02 개통 예정|356 694 6648|2021-03-08
시설|마산 도서관 2021-09-00|601 042 7738|2021-03-08
시설|전주성현유치원 - 2021.03 개원 예정|406 413 2411|2021-03-08
시설|율빛초등학교 - 2021년 3월 개교 예정|619 613 2730|2021-03-08
도로 : 일반도로|엑스포지하차도 개통|464 533 5759|2021-03-08
도로 : 일반도로|충남 서산시 지방도649호선 선형 변경 및 신규도로 확인 요청|504 282 5399|2021-03-08
시설|옥빛중학교 - 2021년 3월 개교 예정|619 653 2655|2021-03-08
시설|옥빛고등학교 - 2021년 3월 개교 예정|619 653 2615|2021-03-08
아파트|과천위버필드-2021년 2월예정|577 393 1522|2021-03-08
도로 : 일반도로|청라국제도시 첨단동서로 전체개통 - 2021.03.03|589 102 7508|2021-03-08
시설|시아테마파크 - 2021.01 예정|564 822 9899|2021-03-15
