TYPE|TEXT|NID|LCODE|COMPLETE_DATE|LIMIT_DATE|RESULT|REQUEST_DATE|REVIEW_DATE|HEIGHT_LIMIT|WEIGHT_LIMIT|ROAD_WORK|TIME_ID|POI_CAT|POI_DATE|NET_CAT|NET_DATE|MAP_CAT|MAP_DATE|DATA_CHECK|SERVICE_CHECK|URL|CREATE_DATE|UPDATE_DATE|DEL_FLAG|CMMS_UPDATE_DATE
시설|제주도 제주애월미노코스마을 2018년 6월 준공예정|1404|147 432 5071|2018-06-01|2018-05-02|완료|2021-11-01|2021-11-03|0.1|0.0|||구축요청||구축요청||구축요청||||http://www.drapt.com/sise/html_view5/?no=56934&content_url=total.php%3Fno=56934|2018-04-17|2021-12-01|0|2021-12-23 09:08:50.537148|POLYGON ((897042.242025969 1495159.9194976, 897083.242025969 1495034.9194976, 897200.242025969 1494967.9194976, 897247.242025969 1495109.4194976, 897042.242025969 1495159.9194976))
도로 : 일반도로|지방도 513호선 구산 옥동 확장 공사 2020-12-00|6058|518 433 7153|2019-10-22|2019-10-15|완료|2021-01-11|2019-11-27|||||해당없음||구축요청| |구축요청| |Yes|Yes||2019-03-12|2021-01-07|0|2021-12-23 09:08:50.537148|POLYGON ((1000851.963945 1877566.922252, 1000856.463945 1877522.922252, 1000868.463945 1877355.922252, 1000805.463945 1877226.922252, 1000814.463945 1876967.922252, 1000826.463945 1876647.922252, 1000875.463945 1876447.922252, 1000940.463945 1876022.922252, 1001041.08 1875585.68, 1001074.08 1875565.68, 1001103.08 1875531.68, 1001058.58 1875460.18, 1001071.08 1875410.18, 1001083.58 1875418.68, 1001080.58 1875460.18, 1001109.08 1875501.68, 1001112.58 1875548.68, 1001060.08 1875593.18, 1001019.463945 1875935.922252, 1000907.463945 1876486.922252, 1000883.463945 1876670.922252, 1000878.463945 1877145.922252, 1000885.463945 1877274.922252, 1000922.963945 1877392.422252, 1000910.463945 1877451.922252, 1000878.963945 1877572.922252, 1000851.963945 1877566.922252))
도로 : 일반도로|지방도 345호 우만~흔암 도로확포장공사 2020-12-00|7765|558 293 8940|2020-05-31|2020-05-26|완료|2021-01-25|2020-12-28|||||완료|2019-11-15|완료|2019-11-11|완료|2019-11-15|Yes|Yes|https://blog.naver.com/lee7571486/221506177315|2019-05-22|2021-01-21|0|2021-12-23 09:08:50.537148|POLYGON ((1015687.92 1916773.09, 1015753.92 1916611.09, 1015770.92 1916455.09, 1015717.92 1916376.09, 1015705.87301368 1916323.8245782, 1015738.76 1916205.1, 1015658.76 1916055.1, 1015624.2 1915814.09, 1015617.2 1915798.09, 1015759.2 1915824.09, 1015893.2 1915781.09, 1015889.2 1915861.09, 1015854.92 1915983.09, 1015781.92 1916164.09, 1015730.92 1916340.09, 1015783.92 1916432.09, 1015787.92 1916534.09, 1015770.92 1916619.09, 1015677.92 1916870.09, 1015653.92 1916861.09, 1015687.92 1916773.09))
시설|시흥매화산업단지2020-06-00|5208|576 442 9695|2020-06-01|2020-05-02|완료|2021-03-29|2020-12-01|||||구축요청||구축요청||구축요청||||A340147,340148,340149_맵컨텐츠1팀|2019-01-29|2021-03-25|0|2021-12-23 09:08:50.537148|POLYGON ((940212.007915 1934457.763681, 940420.007915 1934529.763681, 940540.007915 1934817.763681, 940084.007915 1935337.763681, 940108.007915 1935529.763681, 939864.007915 1935841.763681, 939796.007915 1936041.763681, 939476.007915 1935921.763681, 939484.007915 1935593.763681, 939684.007915 1935173.763681, 939836.007915 1934869.763681, 940156.007915 1934549.763681, 940212.007915 1934457.763681))
아파트|DMC롯데캐슬더퍼스트-2020년6월예정|7752|594 883 0454|2020-06-01|2020-05-02|완료|2021-01-25|2020-10-26|||||구축요청||구축요청||구축요청||||https://www.lottecastle.co.kr/apt/arrange/arrangeView.do?aptCd=AT00170&aptMenuCd=AM0017|2019-05-22|2021-01-21|0|2021-12-23 09:08:50.537148|POLYGON ((946107.503745865 1954161.38389324, 946397.582734354 1953985.26450738, 946469.55722022 1954138.48292047, 946206.741294559 1954256.80461314, 946107.503745865 1954161.38389324))
시설|모빌리티 라이프 스타일 충전소 - 2021년 1월 가동 예정|10317|589 603 3204|2020-06-01|2020-05-26|완료|2021-01-11|2021-01-11|||||완료|2020-03-17|완료|2020-03-31|구축요청| |Yes|Yes|https://www.fnnews.com/news/202008241542568417|2020-02-24|2021-01-18|0|2021-12-23 09:08:50.537148|POLYGON ((968737.908782272 1948608.48585993, 968728.658782272 1948604.98585993, 968749.908782272 1948558.23585993, 968794.408782272 1948581.98585993, 968770.408782272 1948620.73585993, 968737.908782272 1948608.48585993))
시설|용인테크노밸리일반산업단지 2020-06-00|8701|550 363 3883|2020-09-01|2020-06-09|완료|2021-07-26|2021-07-26|||||완료||완료| |확인| |Yes|Yes|http://news.kmib.co.kr/article/view.asp?arcid=0014613905&code=61121111&cp=nv|2019-08-21|2021-08-03|0|2021-12-23 09:08:50.537148|POLYGON ((973686.250606435 1908978.014674, 973710.250606435 1908462.014674, 973816.250606435 1907876.014674, 974076.250606435 1907382.014674, 974566.250606435 1907422.014674, 974618.250606435 1909040.014674, 973686.250606435 1908978.014674))
시설|진주정촌뿌리산단 - 2021.02 준공|11429|328 124 3558|2020-09-30|2020-09-15|완료|2021-02-15|2021-02-23|||||완료||완료|2020-08-19|구축요청| |Yes|Yes|https://blog.naver.com/ksm3303/221893368081|2020-05-13|2021-03-02|0|2021-12-23 09:08:50.537148|POLYGON ((1054438.254846 1680502.268462, 1054254.254846 1680138.268462, 1054778.254846 1679882.268462, 1054816.254846 1679692.268462, 1054966.254846 1679498.268462, 1055762.254846 1679644.268462, 1055732.254846 1679800.268462, 1055790.254846 1679892.268462, 1055924.254846 1680272.268462, 1055536.254846 1680262.268462, 1055038.254846 1680162.268462, 1054438.254846 1680502.268462))
아파트|힐스테이트송도더테라스-2020년10월예정|5851|576 022 7590|2020-10-01|2020-09-01|완료|2021-02-01|2020-12-01|||||구축요청||구축요청||구축요청||||http://www.hillstate.co.kr/salesinfo/s_place_view_general_newtype.aspx?apt_num=727&code_type=17&code_val=21&code_subVal=6&hPAGE=1|2019-03-07|2021-01-22|0|2021-12-23 09:08:50.537148|POLYGON ((922578.531634116 1935065.17175994, 922566.531634116 1934821.17175994, 922834.531634116 1934833.17175994, 922866.531634116 1935055.17175994, 922578.531634116 1935065.17175994))
시설|천주교대전교구청-2020년11월예정|6981|476 933 4936|2020-11-01|2020-10-02|완료|2021-01-25|2020-11-24|||||구축요청||구축요청||구축요청||||http://blog.timenews.co.kr/221501200393|2019-04-05|2021-01-20|0|2021-12-23 09:08:50.537148|POLYGON ((982643.132613637 1832790.04925389, 982619.973629286 1832701.48638607, 982645.973629286 1832674.48638607, 982656.973629286 1832641.48638607, 982711.973629286 1832621.48638607, 982766.973629286 1832701.48638607, 982857.973629286 1832738.48638607, 982838.973629286 1832804.48638607, 982759.973629286 1832818.48638607, 982643.132613637 1832790.04925389))
