##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@요거프레소
요거프레소|김해국제공항점|||요거프레소||부산 강서구 공항진입로 108||주차불가|평일&주말06:00~21:00|||||요거프레소 김해국제공항점|(대저2동 ) 공항내 국제선 1층 (국제선 GATE4)|||80713
요거프레소|대구칠곡점|||요거프레소|||대구 북구 읍내동 1341|주차가능|평일&토요일10:00~22:00/매주일요일휴무|||||요거프레소 대구칠곡점|율곡스퀘어 106호|||80713
요거프레소|안양역점|||요거프레소|||경기 안양시 만안구 안양동 668-5|주차불가|평일&주말10:00~22:00|||||요거프레소 안양역점||||80713
요거프레소|구리갈매점|||요거프레소|||경기 구리시 갈매동 608-1|주차가능|평일&주말10:00~22:00|||||요거프레소 구리갈매점|하나로프라자 204호|||80713
요거프레소|천안백석대점|||요거프레소||충남 천안시 동남구 문암5길 23||주차가능|평일&주말08:00 22:00|||||요거프레소 천안백석대점||||80713
요거프레소|중계점|||요거프레소||서울시 노원구 동일로 204||주차가능 (7천원 이상 구매시 주차권 발급)|평일&주말08:30~23:00|||||요거프레소 중계점|가길 34|||80713
요거프레소|구미비산점|||요거프레소||경상북도 구미시 신비로 121-8||주차가능|평일&주말10:00~23:00|||||요거프레소 구미비산점||||80713
요거프레소|청주산남점|||요거프레소||충북 청주시 서원구 두꺼비로 6||주차가능|평일&주말10:00 23:00|||||요거프레소 청주산남점||||80713
요거프레소|울산양정점|||요거프레소||울산 북구 염포로 483-1||주차가능|평일&주말10:00 21:00|||||요거프레소 울산양정점||||80713
요거프레소|구미금오점|||요거프레소||경북 구미시 금오시장로 1길 12||주차가능|평일&주말10:00~22:00|||||요거프레소 구미금오점||||80713
