전통사찰 현황 (2018.12.31. 현재)|||||
번호|시도|사찰명|주소|소속 종단|
1|서울|봉은사|서울특별시 강남구 봉은사로 531|조계종|
2|서울|불국사|서울특별시 강남구 광평로 10길 30-71|태고종|
3|서울|화계사|서울특별시 강북구 화계사길 117|조계종|
4|서울|삼성암|서울특별시 강북구 인수봉로 23길 235|조계종|
5|서울|도선사|서울특별시 강북구 삼양로 173길 504|조계종|
6|서울|보광사|서울특별시 강북구 삼양로 145길 177|선학원|
7|서울|용덕사|서울특별시 강북구 삼양로 179길 209-81|조계종|
8|서울|신검사|서울특별시 강북구 삼양로 179길 209-44|대한불교법화선종|
9|서울|본원정사|서울특별시 강북구 삼각산로 1|대각회|
10|서울|약사사|서울특별시 강서구 금낭화로17길 261|조계종|
11|서울|미타사|서울특별시 강서구 개화동로13길 56-33|조계종|
12|서울|법성사|서울특별시 강서구 등촌로39가길 103|조계종|
13|서울|관음사|서울특별시 관악구 승방1길 109-80 (남현동)|조계종|
14|서울|약수암|서울특별시 약수암1길 28 (삼성동)|조계종|
15|서울|자운암|서울특별시 신림동 194-1 (대학동)|태고종|
16|서울|성주암|서울특별시 신림로15-250 (신림동)|태고종|
17|서울|영화사|서울특별시 광진구 아차산로 107(구의동)|조계종|
18|서울|호압사|서울특별시 금천구 호암로 278 (시흥동)|조계종|
19|서울|학림사|서울특별시 노원구 상계동 산152|조계종|
20|서울|용굴암|서울특별시 노원구 상계동 산154-1|조계종|
21|서울|학도암|서울특별시 노원구 중계본동 산102|조계종|
22|서울|도안사|서울특별시 노원구 덕릉로 145길 99|조계종|
23|서울|원통사|서울특별시 도봉구 도봉로169길 520|조계종|
24|서울|천축사|서울특별시 도봉구 도봉산길 92-2|조계종|
25|서울|만월암|서울특별시 도봉구 도봉산길 92-4|조계종|
26|서울|청량사|서울특별시 동대문구 청량리1동 61|조계종|
27|서울|연화사|서울특별시 동대문구 회기동 109-1|조계종|
28|서울|지장사|서울특별시 동작구 현충로 210 국립현충원 내|조계종|
29|서울|사자암|서울특별시 동작구 국사봉1길 235-14|조계종|
30|서울|달마사|서울특별시 동작구 서달로 50-26|조계종|
31|서울|옥천암|서울특별시 서대문구 홍은동 8|조계종|
32|서울|대성사|서울특별시 서초구 남부순환로328길 49|대각회|
33|서울|미타사|서울특별시 성동구 옥수동 395|조계종|
34|서울|흥천사|서울특별시 성북구 돈암동 595|조계종|
35|서울|적조사|서울특별시 성북구 돈암동 593|조계종|
36|서울|미타사|서울특별시 성북구 보문동3가 51|조계종|
37|서울|보문사|서울특별시 성북구 보문동3가 168|보문종|
38|서울|정법사|서울특별시 성북구 성북동 330|선학원|
39|서울|개운사|서울특별시 성북구 안암동5가 산4-11|조계종|
40|서울|봉국사|서울특별시 성북구 정릉동 637|조계종|
41|서울|경국사|서울특별시 성북구 정릉동 753|조계종|
42|서울|내원사|서울특별시 성북구 정릉동 산1-1|조계종|
43|서울|수국사|서울특별시 은평구 서오릉로23길 8-5|조계종|
44|서울|진관사|서울특별시 은평구 진관길 73|조계종|
45|서울|삼천사|서울특별시 은평구 연서로 54길 127|조계종|
46|서울|용암사|서울특별시 은평구 대서문길 126|선학원|
47|서울|심택사|서울시 은평구 은평로 20 나길 5-23|조계종|
48|서울|조계사|서울특별시 종로구 우정국로 55(견지동)|조계종|
49|서울|금선사|서울특별시 종로구 비봉 137(구기동)|조계종|
50|서울|승가사|서울특별시 종로구 비봉4길 213(구기동)|조계종|
51|서울|문수사|서울특별시 종로구 비봉2길 304(구기동)|조계종|
52|서울|인왕사|서울특별시 종로구 통일로 18가길 17(무악동)|본원종|
53|서울|대각사|서울특별시 종로구 율곡로10길 87(봉익동)|조계종|
54|서울|청룡사|서울특별시 종로구 동망산길 65(숭인동)|조계종|
55|서울|묘각사|서울특별시 종로구 종로63가길 31(숭인동)|관음종|
56|서울|감로암|서울특별시 종로구 율곡로 23길 16(충신동)|조계종|
57|서울|일선사|서울특별시 종로구 평창6길 79-141(평창동)|선학원|
58|서울|소림사|서울특별시 종로구 세검정로 241-3(홍지동)|조계종|
59|서울|안양암|서울특별시 종로구 창신5길 61(창신1동)|한국불교정안종|
60|서울|봉원사|서울특별시 서대문구 봉원동 산1번지|태고종|
61|부산|청량사|부산광역시 강서구 명지동 445|조계종|
62|부산|국청사|부산광역시 금정구 금성동 397|조계종|
63|부산|정수암|부산광역시 금정구 금성동 5|조계종|
64|부산|미륵사|부산광역시 금정구 금성동 산1-1|조계종|
65|부산|범어사|부산광역시 금정구 청룡동 546|조계종|
66|부산|안적사|부산광역시 기장군 기장읍 내리 692|조계종|
67|부산|월명사|부산광역시 기장군 일광면 횡계리 산28-1|승가종|
68|부산|묘관음사|부산광역시 기장군 장안읍 임랑리 산1|선학원|
69|부산|척판암|부산광역시 기장군 장안읍 장안리 606-1|조계종|
70|부산|장안사|부산광역시 기장군 장안읍 장안리 598|조계종|
71|부산|고불사|부산광역시 기장군 철마면 고촌리 319|조계종|
72|부산|해광사|부산광역시 기장군 기장읍 연화리 473-1|조계종|
73|부산|불곡암|부산광역시 남구 대연4동 949-14|조계종|
74|부산|성암사|부산광역시 남구 문현1동 산74-1|조계종|
75|부산|묘심사|부산광역시 동구 수정동 1174-8|조계종|
76|부산|연등사|부산광역시 동구 좌천동 839-3|조계종|
77|부산|금수사|부산광역시 동구 초량동 843|원효종|
78|부산|금정선원|부산광역시 동래구 온천1동 282|선학원|
79|부산|법륜사|부산광역시 동래구 칠산동 239-2|조계종|
80|부산|선광사|부산광역시 사상구 덕포2동 21-2|법화종|
81|부산|약수암|부산광역시 사상구 덕포2동 산21-1|법화종|
82|부산|운수사|부산광역시 사상구 모라3동 산5|조계종|
83|부산|내원정사|부산광역시 서구 서대신동 3가 산3-5|조계종|
84|부산|영주암|부산광역시 수영구 망미1동 950|조계종|
85|부산|옥련선원|부산광역시 수영구 민락동 372-2|옥련선원|
86|부산|금용암|부산광역시 연제구 거재2동 1396-2|조계종|
87|부산|감천사|부산광역시 연제구 연산4동 1112|조계종|
88|부산|혜원정사|부산광역시 연제구 연산4동 113-1|조계종|
89|부산|마하사|부산광역시 연제구 연산7동 2039|조계종|
90|부산|복천사|부산광역시 영도구 신선동 3가 산 6-1|조계종|
91|부산|광명사|부산광역시 진구 범천2동 1534-1|조계종|
92|부산|선암사|부산광역시 진구 부암3동 628|조계종|
93|부산|해운정사|부산광역시 해운대구 우동2로 40-6|선학원|
94|부산|관음정사|부산광역시 해운대구 반여3동 산 131-5|조계종|
95|대구|안일사|대구광역시 남구 앞산순환로 440(대명동 1480-1번지)|조계종|
96|대구|법장사|대구광역시 남구 고산3길 96-4(봉덕동 산148번지)|조계종|
97|대구|은적사|대구광역시 남구 앞산순환로 574-120(봉덕동 1572번지)|조계종|
98|대구|임휴사|대구시 달서구 상인동 1321|조계종|
99|대구|운흥사|대구광역시 달성군 가창면 헐티로 1068 (오리 151)|조계종|
100|대구|남지장사|대구광역시 달성군 가창면 남지장사길 95 (우록리 872)|조계종|
101|대구|용연사|대구광역시 달성군 옥포면 용연사길 260 (반송리 882)|조계종|
102|대구|유가사|대구광역시 달성군 유가면 유가사길 161 (양리 144)|조계종|
103|대구|소재사|대구광역시 달성군 유가면 휴양림길 228 (용리 4)|조계종|
104|대구|현풍포교당|대구광역시 달성군 현풍면 현풍동로27길 54-6 (부리 382)|조계종|
105|대구|현풍포교당|대구광역시 달성군 화원읍 화원휴양림길 132 (본리리 1137-1)|조계종|
106|대구|화장사|대구광역시 달성군 화원읍 비슬로 522길 41 (천내리 516-1)|조계종|
107|대구|관암사|대구광역시 동구 능성동 613-35|태고종|
108|대구|관음사|대구광역시 동구 도동 672|조계종|
109|대구|동화사|대구광역시 동구 도학동 35|조계종|
110|대구|북지장사|대구광역시 동구 도학동 620|조계종|
111|대구|부인사|대구광역시 동구 신무동 356-1|조계종|
112|대구|파계사|대구광역시 동구 중대동 7|조계종|
113|인천|청련사|인천광역시 강화읍 고비고개로 188번길 112|조계종|
114|인천|청수암|인천광역시 강화군 강화읍 청하동길 36번길 62|조계종|
115|인천|전등사|인천광역시 강화군 길상면 전등사로 37-41|조계종|
116|인천|적석사|인천광역시 강화군 내가면 연촌길 181|조계종|
117|인천|보문사|인천광역시 강화군 삼산남로 823번길 44|조계종|
118|인천|백련사|인천광역시 강화군 하점면 고려산로 61번길 270|조계종|
119|인천|정수사|인천광역시 강화군 화도면 해안남로 1258번길 142|조계종|
120|인천|용궁사|인천광역시 중구 운남로 199-1|태고종|
121|광주|원각사|광주광역시 동구 중앙로 197(금남로4가)|조계종|
122|광주|약사사|광주광역시 동구 증심사길160번길 89(운림동)|조계종|
123|광주|증심사|광주광역시 동구 증심사길 117(운림동)|조계종|
124|광주|원효사|광주광역시 북구 무등로 1514-35(금곡동)|조계종|
125|광주|신광사|광주광역시 북구 삼정로66번길 42-10(두암동)|조계종|
126|광주|문빈정사|광주광역시 동구 증심사길 81(운림동)|조계종|
127|대전|고산사|대전광역시 동구 대전로 316번길 205|조계종|
128|대전|심광사|대전광역시 동구 대전로 592-20|선학원|
129|대전|내원사|대전광역시 서구 배재로197번길 200|태고종|
130|대전|복전암
(구 복전선원)|대전광역시 중구 부사로 70|선학원|
131|대전|비래사|대전광역시 대덕구 비래골길 47-74|조계종|
132|울산|동축사|울산광역시 동구 옥류로 93(동부동)|조계종|
133|울산|월봉사|울산광역시 동구 봉수로 55(화정동)|조계종|
134|울산|신흥사|울산광역시 북구 대안4길 280(대안동)|조계종|
135|울산|옥천암|울산광역시 북구 무룡로 225(연암동)|조계종|
136|울산|도솔암|울산광역시 북구 화봉15길 77(화봉동)|조계종|
137|울산|석남사|울산광역시 울주군 상북면 석남로 557|조계종|
138|울산|내원암|울산광역시 울주군 온양읍 대운상대길 382|조계종|
139|울산|문수사|울산광역시 울주군 청량면 문수산길 514|조계종|
140|울산|해남사|울산광역시 중구 기상대길 13(북정동)|조계종|
141|울산|백양사|울산광역시 중구 백양로 67(성안동)|조계종|
142|울산|관음사|울산광역시 중구 신기16길 62(태화동)|조계종|
143|세종|비암사|세종특별자치시 전의면 다방리 4|조계종|
144|세종|연화사|세종특별자치시 서면 월하리 1047|태고종|
145|세종|관음암|세종특별자치시 조치원읍 번암리 산2-4|태고종|
146|세종|청안사|세종특별자치시 전의면 양곡리 산33-1|조계종|
147|세종|신광사|세종특별자치시 조치원읍 신안리 139|선학원|
148|세종|황룡사|세종특별자치시 동면 명학리 산31-1|조계종|
149|세종|영평사|세종특별자치시 장기면 산학리 441|조계종|
150|세종|학림사|세종특별자치시 서면 신대리 268-1|선학원|
151|경기|대원사|경기도 가평군 북면 백둔로 21-123 (제령리 산192)|조계종|
152|경기|현등사|경기도 가평군 조종면 현등사길 34 (운악리 산163)|조계종|
153|경기|국녕사|경기도 고양시 덕양구 대서문길 268 (북한동 416-8)|조계종|
154|경기|노적사|경기도 고양시 덕양구 대서문길 311-35 (북한동 331)|조계종|
155|경기|무량사|경기도 고양시 덕양구 대서문길 184 (북한동 465)|법화종|
156|경기|봉성암|경기도 고양시 덕양구 대서문길 433 (북한동 18)|조계종|
157|경기|상운사|경기도 고양시 덕양구 대서문길 197-22 (북한동 370)|조계종|
158|경기|아미타사
(구 덕암사)|경기도 고양시 덕양구 대서문길 145-63 (북한동 515-1)|선학원|
159|경기|중흥사|경기도 고양시 덕양구 대서문길 393 (북한동 259)|조계종|
160|경기|태고사|경기도 고양시 덕양구 대서문길 406 (북한동 15)|태고종|
161|경기|흥국사|경기도 고양시 덕양구 흥국사길 82 (지축동 203)|조계종|
162|경기|보광사|경기도 과천시 교육원로 41 (갈현동 산126-21)|조계종|
163|경기|연주암|경기도 과천시 자하동길 63 (중앙동 85-1)|조계종|
164|경기|개원사|경기도 광주시 남한산성면 남한산성로 731-73 (산성리 198-5) |조계종|
