NAME|BRANCH|ADDR|TELL
초록마을|원주혁신점|강원 원주시 입춘로 110|0337436220
초록마을|오송점|충북 청주시 흥덕구 오송읍 오송생명5로 184-4|0432351009
초록마을|오창점|충북 청주시 청원구 오창읍 오창대로 315|0432172232
초록마을|지웰시티광장점|충북 청주시 흥덕구 대농로 43|0432326249
초록마을|청주금천점|충북 청주시 상당구 용암북로 136|0432855312
초록마을|청주동남점|충북 청주시 상당구 중고개로142번길 17|0432836262
초록마을|청주복대점|충북 청주시 흥덕구 증안로 40-1|0432368954
초록마을|청주사직점|충북 청주시 서원구 예체로67번길 41|0432747585
초록마을|청주산남점|충북 청주시 서원구 탑골로 3|0432986226
초록마을|청주용담점|충북 청주시 상당구 산성로116번길 30|0432974005
초록마을|청주용암점|충북 청주시 상당구 월평로 203|0432856250
초록마을|청주율량점|충북 청주시 청원구 주성로 263|0432126250
초록마을|청주테크노점|충북 청주시 흥덕구 송화로108번길 111|0432755888
초록마을|충북혁신도시점|충북 음성군 맹동면 대하로 253|0438814020
초록마을|충주연수점|충북 충주시 국원대로 172|0438446288
초록마을|충주호암점|충북 충주시 형설로 50|0438556249
초록마을|계룡엄사점|충남 계룡시 엄사면 엄사중앙로 102|0428406282
초록마을|당진읍내점|충남 당진시 북문로1길 6-11|0413556289
초록마을|보령중앙점|충남 보령시 한내로 52|0419356250
초록마을|서산테크노점|충남 서산시 성연면 성연3로 36|0416696288
초록마을|서산호수점|충남 서산시 호수공원9로 12|0416646289
초록마을|쌍용점|충남 천안시 서북구 월봉로 87|0415736289
초록마을|아산모종점|충남 아산시 모종로 5|0415326288
초록마을|아산탕정점|충남 아산시 탕정면 탕정면로 37|0415486288
초록마을|천안백석점|충남 천안시 서북구 한들3로 76|0415576250
초록마을|천안불당점|충남 천안시 서북구 불당4로 39-34|0415516288
초록마을|천안신불당점|충남 천안시 서북구 불당21로 65|0415666277
초록마을|천안차암점|충남 천안시 서북구 3공단6로 58-8|0415556214
