NAME|BRANCH|ADDR
죠스떡볶이|가산디지털점|서울특별시 금천구 가산동 50-3대륭포스트 6차 1층 102호
죠스떡볶이|강남중앙점|서울특별시 강남구 테헤란로1길 20 (역삼동)1층
죠스떡볶이|강동역점|서울시 강동구 천호동155-5 두산위브센티움상가 105호
죠스떡볶이|강릉대학로점|강원도 강릉시 금학동16-2 1층 
죠스떡볶이|강원대점|강원도 춘천시효자동 629-4번지
죠스떡볶이|개롱역점|서울시 송파구 가락동166-2 SK허브파크1층 102호
죠스떡볶이|개봉역점|서울시 구로구개봉동 202-19
죠스떡볶이|개포점|서울특별시 강남구 선릉로 30 (개포동)1층 106-1호,7호
죠스떡볶이|거제장평점|경상남도 거제시 장평1로 161 (장평동)다동 1층
죠스떡볶이|건대입구역점|서울시 광진구 자양동7-25번지
죠스떡볶이|경복궁점|서울시 종로구 체부동43
죠스떡볶이|경북도청점|경상북도 예천군 호명면 새움3로 30제일프라자 107호
죠스떡볶이|경북봉화점|경상북도 봉화군 봉화읍 내성로 831층
죠스떡볶이|경북영주점|경상북도 영주시가흥 1동 1727-1 1층
죠스떡볶이|경산사동점|경상북도  경산시 사동 41번지 리치빌딩 107호
죠스떡볶이|경주안강점|경상북도 경주시 안강읍 산대리2380
죠스떡볶이|경주황성점|경상북도 경주시 황성동 472-11
죠스떡볶이|고대점|서울시 성북구 안암동5가104-117
죠스떡볶이|공덕역점|서울시 마포구 공덕동256-13 제일빌딩 1층 104,105호
죠스떡볶이|광교신대역점|경기도 용인시 수지구 상현동1131 1층 103호
죠스떡볶이|구리점|경기도 구리시 수택동404-7
죠스떡볶이|구산역점|서울시 은평구 대조동224-24
죠스떡볶이|군산나운점|전라북도 군산시 나운동100-11 롯데아파트 상가동 106호
죠스떡볶이|금촌로데오점|경기도 파주시 금빛로 24-27 (금촌동)제일메디컬 빌딩 103호
죠스떡볶이|김제요촌점|전라북도 김제시요촌동 83-4 
죠스떡볶이|김포구래점|경기도 김포시 김포한강9로 80 (구래동)다온프라자 제1층 108호
죠스떡볶이|김포사우점|경기도 김포시 사우동873번지 신영프라자106호
죠스떡볶이|김포운양역점|경기도 김포시 김포한강11로 288-37 (운양동)111호
죠스떡볶이|김포장기본동점|경기도 김포시 김포한강2로 361 (장기동, 호반베르디움 더퍼스트)110호
죠스떡볶이|김포풍무역점|경기도 김포시 유현로238번길 8 (풍무동)풍무역 플라자 105호
죠스떡볶이|김해율하점|경상남도 김해시 율하동1351-1번지 드림프라자 102호
죠스떡볶이|난곡점|서울시 관악구 신림동614-18
죠스떡볶이|남부터미널점|서울시 서초구 서초동1599-2 LG서초에클라트 101호
죠스떡볶이|남성점|서울시 동작구 사당동318-13번지 1층
죠스떡볶이|남양주호평점|경기도 남양주시 호평동640 호평메인씨네마타워1층 119호
죠스떡볶이|남해점|경상남도 남해군남해읍 북변리 153-1
죠스떡볶이|내린천휴게소점|강원도 인제군상남면 하남리 371번지
죠스떡볶이|내포신도시점|충청남도 홍성군홍북면 신경리 1179 아이프라자 104호
죠스떡볶이|노량진역점|서울시 동작구 노량진동114-5
죠스떡볶이|당진송악점|충청남도 당진시 송악읍 틀모시로 738 (힐스테이트 당진1차)102호
죠스떡볶이|당진점|충청남도 당진시 읍내동266-2
죠스떡볶이|대구라이온즈파크점|대구광역시 수성구 야구전설로 1 (연호동)대구삼성라이온즈파크
죠스떡볶이|대구범어점|대구광역시 수성구 청호로 433 (범어동)범어효성해링턴상가 110호
죠스떡볶이|대구태전점|대구시 북구 태전동1109
죠스떡볶이|대전도안점|대전광역시 서구 원도안로 47 (가수원동)우보메디피아 103호
죠스떡볶이|대전시청역점|대전광역시 서구 둔산동1453 대덕프라자 108호
죠스떡볶이|대전오류점|대전광역시 중구 계백로 1685 (오류동 165-13) 
죠스떡볶이|대전원내점|대전광역시 유성구 원내로 38 (원내동)원내코아 103호
죠스떡볶이|대전은행점|대전광역시 중구 중앙로164번길 21-8 (은행동)1층
죠스떡볶이|대치은마점|서울특별시 강남구 도곡로 510 (대치동)1층 16호
죠스떡볶이|덕소삼거리점|경기도 남양주시와부읍 덕소리 473-2 5호
죠스떡볶이|덕평휴게소점|경기도 이천시 마장면 덕이로154번길 287-76
죠스떡볶이|동구미이마트점|경상북도 구미시 임수동92-28 (동구미 이마트 1층)
죠스떡볶이|동양미래대학점|서울시 구로구 고척동76-94
죠스떡볶이|동탄점|경기도 화성시 동탄중앙로 376 (석우동)이마트동탄점 내
죠스떡볶이|동해천곡점|강원도 동해시 천곡로 68 (천곡동)현대코아 1층 114-1호 114-2호
죠스떡볶이|레이크꼬모동탄호수점|경기도 화성시 동탄대로 181 (송동, 동탄린스트라우스더레이크)1층 177,178호
죠스떡볶이|롯데마트광주첨단점|광주광역시 광산구쌍암동 694-3 1층 
죠스떡볶이|롯데마트김포공항점|서울시 강서구방화동 886 롯데마트 김포공항점 지하 2층
죠스떡볶이|롯데마트서울역점|서울특별시 중구봉래동2가 122 롯데마트 내
죠스떡볶이|롯데마트월드타워점|서울 송파구 신천동29지하2층 롯데마트
죠스떡볶이|롯데마트중계점|서울시 노원구중계동 361 롯데마트 1층 식품코너 옆
죠스떡볶이|마곡나루점|서울특별시 강서구 마곡중앙5로1길 21 (마곡동)마곡럭스나인 오피스텔 1층 103호
죠스떡볶이|마곡역점|서울특별시 강서구 공항대로 168 (마곡동)1층 105-1호
죠스떡볶이|마산삼계점|경상남도 창원시 마산회원구 내서읍 삼계리 26-8 
죠스떡볶이|마산양덕점|경상남도 창원시 마산회원구 양덕동84-14 1층 142호
죠스떡볶이|먹골역점|서울시 중랑구묵1동 174-4 구산빌딩
죠스떡볶이|명일역점|서울시 강동구 명일동312-92 1층
죠스떡볶이|명지대점|서울시 서대문구거북골로 51(남가좌동 343-50)
죠스떡볶이|목동역점|서울시 양천구 목동810-1번지 목동타운빌딩 103호
죠스떡볶이|목동파라곤점|서울시 양천구 목동917번지 목동파라곤 1층 109-2호
죠스떡볶이|목포하당점|전라남도 목포시 상동993-5
죠스떡볶이|문산터미널점|경기도 파주시 문산읍 문향로 61-1
죠스떡볶이|미사강변점|경기도 하남시 미사강변대로34번길 106 (풍산동)한강프라자 1층 103호
죠스떡볶이|미사역점|경기도 하남시 미사강변동로 121 (망월동)1층 115호
죠스떡볶이|반포지하상가1호점|서울시 서초구 반포동128-4 강남터미널 지하상가 3구역 나-22
죠스떡볶이|반포지하상가2호점|서울특별시 서초구 신반포로 지하 200 (잠원동)강남터미널 지하쇼핑몰 고투몰 G13호
죠스떡볶이|방배역점|서울시 서초구 방배동910-8
죠스떡볶이|방학역점|서울시 도봉구방학동 716-2번지 101호
죠스떡볶이|범계점|경기도 안양시 동안구 호계동1044-1에이스플라자 1층110호
죠스떡볶이|보광점|서울시 용산구 보광동231-23
죠스떡볶이|보라매점|서울특별시 관악구 보라매로3길 29 (봉천동, 해태보라매타워)1층 10호
죠스떡볶이|봉천중앙점|서울시 관악구 봉천동62-8
