서울특별시 종로구 자하문로 118, 들풀
서울특별시 종로구 자하문로33길 2, 중국
서울특별시 종로구 자하문로 74-1, 진일정원조떡갈비
서울특별시 종로구 자하문로16길 5, 두오모
서울특별시 종로구 자하문로16길 5-5, 까델루뽀
서울특별시 종로구 효자로13길 40-7, 마르코의다락방
서울특별시 종로구 효자로13길 54, 비스트로친친
서울특별시 종로구 자하문로 40-1, 창성갈비
서울특별시 종로구 자하문로10길 11, 소풍
서울특별시 종로구 자하문로10길 15, 엠케이투
서울특별시 종로구 자하문로14길 8-2, 레시피
서울특별시 종로구 자하문로16길 6, 비스트로퍼플
서울특별시 종로구 자하문로16길 8, 물랑
서울특별시 종로구 자하문로 14, 효자동초밥
서울특별시 종로구 자하문로 16, 올리바가든
서울특별시 종로구 자하문로 20, 봉피양
서울특별시 종로구 자하문로 20-1, 통의동단팥
서울특별시 종로구 자하문로 26-1, 경복궁박광일참치
서울특별시 종로구 자하문로 32, 북촌손만두
서울특별시 종로구 자하문로 36, 에마미살롱드떼
서울특별시 종로구 자하문로 38, 경복궁박광일스시카페
서울특별시 종로구 자하문로10길 10-17, 양평추어탕
서울특별시 종로구 자하문로10길 10-24, 태진복집
서울특별시 종로구 자하문로10길 38, 카페디미
서울특별시 종로구 자하문로10길 8, 슬로우레시피
서울특별시 종로구 자하문로4길 14-2, 감로당
서울특별시 종로구 자하문로4길 7, 코피티암
서울특별시 종로구 자하문로6길 11-36, 가스트로통
서울특별시 종로구 자하문로6길 6, 황후명가
서울특별시 종로구 자하문로8길 10, 유로구르메
서울특별시 종로구 효자로 17, 온지음
서울특별시 종로구 효자로 27, 메타포
서울특별시 종로구 효자로 31-1, 메밀꽃필무렵
서울특별시 종로구 효자로 35-1, 퀸시바
서울특별시 종로구 효자로 5, 여수한두레
서울특별시 종로구 효자로7길 14-1, 리토란떼라뽀르따
서울특별시 종로구 사직로 127, 카페화두
서울특별시 종로구 사직로 127-14, 에코밥상
서울특별시 종로구 사직로 133-3, 삼백집
서울특별시 종로구 사직로 137-11, 서산진국집
서울특별시 종로구 새문안로5길 55, 대가방
서울특별시 종로구 자하문로2길 14, 적선동술집
서울특별시 종로구 자하문로 31-2, 효자왕족발
서울특별시 종로구 자하문로 31-6, 마라샹궈
서울특별시 종로구 자하문로 33, 샤또쇼콜라
서울특별시 종로구 자하문로 33-5, 조우
서울특별시 종로구 자하문로 41-1, 커피공방
서울특별시 종로구 자하문로 41-1, 잘빠진메밀
서울특별시 종로구 자하문로 41-2, 용금옥
서울특별시 종로구 자하문로 43, 아만센
서울특별시 종로구 자하문로 55, 코끼리순두부
서울특별시 종로구 자하문로11길 8, 준수방키친
서울특별시 종로구 자하문로13길 1-4, 갈리나데이지
서울특별시 종로구 자하문로13길 3, 놋그릇가지런히
서울특별시 종로구 자하문로15길 13, 원조할머니떡볶이집
서울특별시 종로구 자하문로15길 26-2, 문꼬치
서울특별시 종로구 자하문로7길 24, 플럭스
서울특별시 종로구 자하문로7길 34, 피자피케이션자하
서울특별시 종로구 자하문로7길 50, 통인스윗
서울특별시 종로구 자하문로7길 52, 쉬는시간
서울특별시 종로구 자하문로9길 11, 이태리총각
서울특별시 종로구 자하문로9길 11, 랍스타코
서울특별시 종로구 자하문로9길 11, 포담
서울특별시 종로구 자하문로9길 14, 코수이
서울특별시 종로구 자하문로9길 6, 밀
서울특별시 종로구 자하문로9길 7, 따빠스구르메
서울특별시 종로구 필운대로 54, 효자베이커리
서울특별시 종로구 필운대로6길 20-1, 공기식당
서울특별시 종로구 필운대로6길 3, 효자동옛날떡볶이
서울특별시 종로구 필운대로6길 6, 원조할머니떡볶이
서울특별시 종로구 필운대로6길 8, 곽가네음식
서울특별시 종로구 옥인2길 2, 남도분식
서울특별시 종로구 옥인2길 4, 친친함박
서울특별시 종로구 옥인2길 6, 곰조
서울특별시 종로구 옥인3길 16, 친친원테이블
서울특별시 종로구 옥인3길 2-1, 아이엠베이글
서울특별시 종로구 옥인길 23-1, 제나나잼
서울특별시 종로구 옥인길 23-6, 마우스래빗언더그라운드
서울특별시 종로구 옥인길 15, 바르셀로나
서울특별시 종로구 옥인길 9, 밥플러스
서울특별시 종로구 자하문로7길 59, 본떼파스타
서울특별시 종로구 자하문로7길 65, 영화루
서울특별시 종로구 자하문로7길 66, 샤오롱티
서울특별시 종로구 자하문로7길 68-2, 진저그래스맨
서울특별시 종로구 필운대로 28, 아인
서울특별시 종로구 필운대로 35-3, 송스키친
서울특별시 종로구 필운대로2길 23, 술화덕빵
서울특별시 종로구 필운대로5가길 31, 카페벨빌
서울특별시 종로구 옥인1길 2, 친친양키스다이너
서울특별시 종로구 옥인길 24, YSHOP
서울특별시 종로구 옥인길 26, 옥인피자
서울특별시 종로구 옥인길 30-3, 토리
서울특별시 종로구 옥인길 32-3, 오씨솜씨
서울특별시 종로구 옥인길 4, 우리집
