NAME|BRANCH|ADDR|XCORD|YCORD
으뜸50안경|강남1호점|서울특별시 서초구 강남대로61길 10,|127.0255051|37.4992752
으뜸50안경|강남서초점|서울특별시 서초구 강남대로 375, |127.0279537|37.4965012
으뜸50안경|강릉옥천오거리점|강원도 강릉시 경강로 2105|128.8969663|37.755424
으뜸50안경|건대2호점|서울특별시 광진구 아차산로 221|127.0682225|37.5410457
으뜸50안경|건대역점|서울특별시 광진구 능동로 111,|127.0708641|37.5410179
으뜸50안경|경기광주점|경기도 광주시 중앙로 89,|127.2585355|37.4076152
으뜸50안경|경남사천점|경상남도 사천시 사천읍 평화1길 40, |128.0884758|35.0828849
으뜸50안경|경대북문점|대구광역시 북구 대학로 89|128.6096164|35.8930894
으뜸50안경|고속터미널점(반포)|서울특별시 서초구 신반포로 205, |127.0064782|37.5070249
으뜸50안경|공덕역점|서울특별시 마포구 만리재로 3|126.9517613|37.5443401
으뜸50안경|광교점|경기도 수원시 영통구 센트럴타운로 106 센트럴프라자|127.0501574|37.2927376
으뜸50안경|광명사거리역점|경기도 광명시 오리로 968,|126.8559429|37.4792501
으뜸50안경|광주상무점|광주광역시 서구 상무대로 913,|126.8618219|35.1512869
으뜸50안경|광주수완지구점|광주광역시 광산구 장신로 140|126.8253326|35.1904016
으뜸50안경|광주전남대점|광주광역시 북구 우치로 88-1,|126.912773|35.1752957
으뜸50안경|광주충장로점|광주광역시 동구 중앙로160번길 11,|126.9144443|35.1477348
으뜸50안경|교대역점|서울특별시 서초구 서초중앙로22길 24 화림빌딩|127.0153178|37.4931532
으뜸50안경|구로디지털단지역점|서울특별시 구로구 시흥대로 563 동연빌딩|126.9014431|37.4834035
으뜸50안경|구로시장점|서울특별시 구로구 구로동로26길 121|126.8907967|37.4900211
으뜸50안경|구리점|경기도 구리시 경춘로 229 쌍용오피스텔|127.1407132|37.6011173
으뜸50안경|구미점|경상북도 구미시 구미중앙로 120-1, |128.3351656|36.1269181
으뜸50안경|구의광장점|서울특별시 광진구 아차산로 431 강변에스케이뷰|127.0901204|37.5388188
으뜸50안경|군산수송점|전라북도 군산시 수송로 210|126.7184872|35.963781
으뜸50안경|금호점|서울특별시 성동구 독서당로 296-1|127.0218978|37.5480348
으뜸50안경|김포구래점|경기도 김포시 김포한강9로76번길 41 연세프라자|126.6272467|37.6444388
으뜸50안경|김포풍무점|경기도 김포시 풍무로146번길 18|126.7243692|37.60756
으뜸50안경|김해구산점|경상남도 김해시 구산로 40,|128.8727662|35.2485098
으뜸50안경|김해내외동점|경상남도 김해시 내외중앙로 53|128.8663683|35.2348054
으뜸50안경|김해진영점|경상남도 김해시 진영읍 본산로 9|128.7376158|35.3066069
으뜸50안경|까치산점|서울특별시 강서구 강서로 43-17,|126.8466933|37.5311061
으뜸50안경|남양주호평점|경기도 남양주시 늘을2로 26,|127.2441115|37.6550783
으뜸50안경|남영역점|서울특별시 용산구 원효로97길 7|126.9700043|37.5415963
으뜸50안경|노원역점|서울특별시 노원구 상계로3길 15, |127.0621918|37.6568844
으뜸50안경|논현점|서울특별시 강남구 강남대로 524 건일빌딩|127.0227869|37.5090367
으뜸50안경|단대오거리점|경기도 성남시 중원구 산성대로 366 벽산프라자|127.1568151|37.4444495
으뜸50안경|당산역점|서울특별시 영등포구 당산로45길 1 당산 삼성쉐르빌|126.9005069|37.5332573
으뜸50안경|대구경산점|경상북도 경산시 중앙로 76-1|128.735287|35.8228873
으뜸50안경|대구동성로점|대구광역시 중구 동성로 32, |128.5957615|35.8695355
으뜸50안경|대구상인점|대구광역시 달서구 월곡로 269|128.5381517|35.8181881
으뜸50안경|대구성서점|대구광역시 달서구 이곡동로 17,|128.5094343|35.8542679
으뜸50안경|대구죽곡점|대구광역시 달성군 다사읍 죽곡1길 7-8,|128.4642684|35.8573454
으뜸50안경|대구중구점|대구광역시 중구 국채보상로 717,|128.6090707|35.8689097
으뜸50안경|대구지산점|대구광역시 수성구 지산로 31 지산영남맨션|128.6317273|35.8239954
으뜸50안경|대전관평점|대전광역시 유성구 테크노4로 137, |127.3880272|36.4225854
으뜸50안경|대전도안가수원점|대전광역시 서구 가수원로 106, |127.3506123|36.3039097
으뜸50안경|대전둔산점|대전광역시 서구 둔산로 18,|127.3757299|36.3518948
으뜸50안경|대학로점|서울특별시 종로구 대학로 144,|127.0020846|37.5839822
으뜸50안경|동탄2신도시점|경기도 화성시 동탄대로19길 10|127.0977682|37.1971942
으뜸50안경|동탄점|경기도 화성시 동탄중심상가1길 35, |127.0716378|37.20109
으뜸50안경|등촌점|서울특별시 양천구 목동중앙북로 27|126.8665621|37.548306
으뜸50안경|마산경남대점|경상남도 창원시 마산합포구 해안대로 11, |128.5602339|35.1806315
으뜸50안경|망원점|서울특별시 마포구 월드컵로 108, |126.9084295|37.5582351
으뜸50안경|명동점|서울특별시 중구 명동10길 7-9 T avenue|126.985752|37.5635631
으뜸50안경|명일역점|서울특별시 강동구 양재대로 1640|127.1442708|37.5519693
으뜸50안경|목동점|서울특별시 양천구 신정중앙로 107, |126.863711|37.5264384
