##NAME|SUBNAME|TELNUM|ADDR@@쌍용자동차서비스프라자
쌍용자동차서비스프라자|각화||광주광역시  북구 각화대로 53
쌍용자동차서비스프라자|강서||부산광역시  낙동남로 588번길 4
쌍용자동차서비스프라자|강진||전라남도  강진군 강진읍 중앙로 18
쌍용자동차서비스프라자|강화||인천광역시  강화군 선원면 창리 423-9(중앙로 196-1)
쌍용자동차서비스프라자|거제||경상남도  거제시 수월동 1043-78(수양로 454-24)
쌍용자동차서비스프라자|거창||경상남도  거창군 거창읍 송정리 16-2(강남로 124)
쌍용자동차서비스프라자|경산||경상북도  경산시 경산로 168
쌍용자동차서비스프라자|경주||경상북도  경주시 천북면 천북로 97
쌍용자동차서비스프라자|계룡||충청남도  계룡시 엄사면 유동리 88(계백로 3007)
쌍용자동차서비스프라자|고성||경상남도  고성군 고성읍 송학고분로 358번길
쌍용자동차서비스프라자|고양삼송||경기도  경기 고양시 덕양구 삼원로2길10
쌍용자동차서비스프라자|고창||전라북도  고창군 고창읍 22-29(고인돌대로 1854)
쌍용자동차서비스프라자|고흥||전라남도  고흥군 고흥읍 남계리 213-4(고흥로 1901)
쌍용자동차서비스프라자|공주||충청남도  공주시 옥룡동 38-2, 52, 42-1(무령로 328)
쌍용자동차서비스프라자|광명||경기도  광명시 노온사동 376-9(범안로 643)
쌍용자동차서비스프라자|광명옥길||경기도  광명시 금오로 823
쌍용자동차서비스프라자|광양||전라남도  광양시 광양읍 용강리 136(제철로 13)
쌍용자동차서비스프라자|광주||경기도  광주시 문화로 74
쌍용자동차서비스프라자|광주장지||경기도  광주시 장지9길 109
쌍용자동차서비스프라자|괴산||충청북도  괴산군 괴산읍 남산길 21
쌍용자동차서비스프라자|교하||경기도  경기 파주시 교하로 909
쌍용자동차서비스프라자|구리||경기도  구리시 교문동 305-34(경춘로 67)
쌍용자동차서비스프라자|구미||경상북도  구미시 도량동 391-2(송선로 504)
쌍용자동차서비스프라자|구미인동||경상북도  구미시 인동북길143
쌍용자동차서비스프라자|구포||부산광역시  북구 구포1동 131-24(덕천로 8)
쌍용자동차서비스프라자|군산||전라북도  군산시 수송동 430-39,40,46(월명로 301)
쌍용자동차서비스프라자|군위||경상북도  군위군 군위읍 정리250,252번지(군청로 254)
쌍용자동차서비스프라자|군포||경기도  군포시 금정동 775-7(군포로 613)
쌍용자동차서비스프라자|권선||경기도  수원시 권선구 곡반정동 596-2(곡반정로 61)
쌍용자동차서비스프라자|금강||전라북도  익산시 금강동 380-3(서동로38길 9)
