##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@지역재래시장
거진시장||128.4542458|38.4476517|지역재래시장||강원도 고성군 거진시장길 15||공설시장;소형시장(점포 100개 미만);||||||거진시장||||90302
고한구공탄시장||128.870195|37.1954169|지역재래시장||강원도 정선군 고한읍 고한 4길 38-6||공동시장;소형시장(점포 100개 미만);|||||고한시장|고한구공탄시장||||90302
도계전두시장||129.0584731|37.2237774|지역재래시장||강원도 삼척시 도계읍 전두시장길 6-1||법인시장;소형시장(점포 100개 미만);||||||도계전두시장||||90302
도계중앙시장||129.0450178|37.2351208|지역재래시장||강원도 삼척시 도계읍 도계로4길 20||법인시장;소형시장(점포 100개 미만);||||||도계중앙시장||||90302
동송시장||127.2188464|38.2088407|지역재래시장||강원도 철원군 동송읍 이평로 47번길 16||법인시장;소형시장(점포 100개 미만);||||||동송시장||||90302
동송전통시장||127.2192265|38.2088468|지역재래시장||강원도 철원군 동송읍 이평로 47번길 19||공동시장;중형시장(점포 100~499개);||||||동송전통시장||||90302
동해남부재래시장||129.1055386|37.4871447|지역재래시장||강원도 동해시 청운1길 29||공동시장;중형시장(점포 100~499개);||||||동해남부재래시장||||90302
묵호시장||129.1141818|37.5523237|지역재래시장||강원도 동해시 일출로 59-1||공동시장;소형시장(점포 100개 미만);||||||묵호시장||||90302
문막시장||127.8153547|37.3059981|지역재래시장||강원도 원주시 문막읍 문막시장1길 52-10||공설시장;소형시장(점포 100개 미만);||||||문막시장||||90302
민속풍물시장||127.9517529|37.3504399|지역재래시장||강원도 원주시 풍물시장길 30||공동시장;소형시장(점포 100개 미만);||||||민속풍물시장||||90302
봉평전통시장||128.377656|37.6161686|지역재래시장||강원도 평창군 봉평면 허생원장터길 15||공동시장;소형시장(점포 100개 미만);|||||봉평시장|봉평전통시장||||90302
북원상가시장||127.9487918|37.3843453|지역재래시장||강원도 원주시 북원상가길 13||법인시장;소형시장(점포 100개 미만);||||||북원상가시장||||90302
설악로데오거리상점가||128.5906563|38.2032388|지역재래시장||강원도 속초시 중앙로 86||소형시장(점포 100개 미만);||||||설악로데오거리상점가||||90302
양양전통시장||128.6221664|38.074874|지역재래시장||강원도 양양군 양양읍 남문5길 9||법인시장;소형시장(점포 100개 미만);||||||양양전통시장||||90302
영월중앙시장||||지역재래시장||강원도 영월군 영원읍 제방안길 16-1||공설시장;소형시장(점포 100개 미만);||||||영월중앙시장||||90302
요선시장||127.7276509|37.8827788|지역재래시장||강원도 춘천시 서부대성로 44길 ||소형시장(점포 100개 미만);||||||요선시장||||90302
원주/중앙로문화의거리||||지역재래시장||강원도 원주시 중앙로 문화의 거리 ||중형시장(점포 100~499개);||||||원주 중앙로문화의거리||||90302
원주남부시장||127.9543659|37.343087|지역재래시장||강원도 원주시 치악로 1803||법인시장;중형시장(점포 100~499개);||||||원주남부시장||||90302
원통시장||128.2050065|38.122914|지역재래시장||강원도 인제군 북면 원통로 178번길 7-1||공동시장;소형시장(점포 100개 미만);||||||원통시장||||90302
육림고개/상점가||||지역재래시장||강원도 춘천시 중앙로77번길 ||소형시장(점포 100개 미만);||||||육림고개 상점가||||90302
인공폭포상가||127.7533957|37.8755609|지역재래시장||강원도 춘천시 후석로 268||중형시장(점포 100~499개);||||||인공폭포상가||||90302
인제시장||128.1754857|38.0653756|지역재래시장||강원도 인제군 인제읍 인제로 178번길 14||공동시장;소형시장(점포 100개 미만);||||||인제시장||||90302
제일종합시장||127.726012|37.8774472|지역재래시장||강원도 춘천시 약사고개길 13||법인시장;중형시장(점포 100~499개);||||||제일종합시장||||90302
중앙시민전통시장||127.9497004|37.3512293|지역재래시장||강원도 원주시 중앙시장길 31-3||공동시장;소형시장(점포 100개 미만);||||||중앙시민전통시장||||90302
중앙시장||128.8985828|37.7540002|지역재래시장||강원도 강릉시 금성로 21||법인시장;중형시장(점포 100~499개);||||||중앙시장||||90302
춘천번개시장||||지역재래시장||강원도 춘천시 소양로 212-4||법인시장;소형시장(점포 100개 미만);||||||춘천번개시장|새마을금고2층|||90302
춘천중앙시장||127.7253844|37.8781044|지역재래시장||강원도 춘천시 중앙로77번길 4-4||법인시장;중형시장(점포 100~499개);||||||춘천중앙시장||||90302
춘천풍물시장||127.7169988|37.8679399|지역재래시장||강원도 춘천시 온의동 영서로 2352-48||공동시장;소형시장(점포 100개 미만);||||||춘천풍물시장||||90302
평창대화시장||128.4549001|37.5005622|지역재래시장||강원도 평창군 대화면 대화3길 46||공동시장;소형시장(점포 100개 미만);||||||평창대화시장||||90302
홍천시장||127.8865687|37.6907205|지역재래시장||강원도 홍천군 홍천읍 홍천로7길 14||공동시장;중형시장(점포 100~499개);||||||홍천시장||||90302
홍천중앙시장||127.8860962|37.6912111|지역재래시장||강원도 홍천군 홍천읍 홍천로 8길 17||법인시장;소형시장(점포 100개 미만);||||||홍천중앙시장||||90302
화천재래시장||127.7055385|38.1038284|지역재래시장||강원도 화천군 화천읍 중앙로 24길 12||법인시장;소형시장(점포 100개 미만);||||||화천재래시장||||90302
황지시장상점가||128.9915858|37.1743842|지역재래시장||강원도 태백시 장북길 25||소형시장(점포 100개 미만);||||||황지시장상점가|지하|||90302
황지자유시장||128.9932162|37.1738139|지역재래시장||강원도 태백시 시장안길 18||공동시장;중형시장(점포 100~499개);||||||황지자유시장|- 1|||90302
가평잣고을전통시장||||지역재래시장||경기도 가평군 장터2길 10||공설시장;소형시장(점포 100개 미만);||||||가평잣고을전통시장||||90302
경안시장||127.2570825|37.4087715|지역재래시장||경기도 광주시 중앙로123번길 13||공동시장;소형시장(점포 100개 미만);||||||경안시장||||90302
경안안길상점가||||지역재래시장||경기도 광주시 경안안길 33-16||소형시장(점포 100개 미만);||||||경안안길상점가||||90302
고모3리상점가||||지역재래시장||경기도 포천시 소흘읍 죽엽산로 419-8||소형시장(점포 100개 미만);||||||고모3리상점가||||90302
과천새서울프라자시장||126.9925453|37.426789|지역재래시장||경기도 과천시 별양상가 2로 20||법인시장;중형시장(점포 100~499개);||||||과천새서울프라자시장||||90302
광명새마을시장||126.8481151|37.4748163|지역재래시장||경기도 광명시 광명로 831||공동시장;중형시장(점포 100~499개);||||||광명새마을시장|4의1|||90302
광명시장||126.8554563|37.4804876|지역재래시장||경기도 광명시 광이로13번길 17-5||공동시장;중형시장(점포 100~499개);||||||광명시장||||90302
광탄시장||126.8478831|37.7814373|지역재래시장||경기도 파주시 광탄면 해음로 1120번길 ||공동시장;중형시장(점포 100~499개);||||||광탄시장||||90302
구리전통시장||127.139442|37.5988779|지역재래시장||경기도 구리시 검배로 6번길 31||공동시장;중형시장(점포 100~499개);||||||구리전통시장||||90302
구매탄시장||127.0430889|37.2725019|지역재래시장||경기도 수원시 영통구 매여울로 53번길 50의1 ||공동시장;중형시장(점포 100~499개);||||||구매탄시장||||90302
군포역전시장||126.9469843|37.3548567|지역재래시장||경기도 군포시 군포로 548-1||공동시장;소형시장(점포 100개 미만);||||||군포역전시장||||90302
권선가구거리상점가||||지역재래시장||경기도 수원시 권선구 권선로 690||소형시장(점포 100개 미만);||||||권선가구거리상점가||||90302
금광시장||127.1599021|37.4501693|지역재래시장||경기도 성남시 산성대로426번길 5||공동시장;소형시장(점포 100개 미만);||||||금광시장||||90302
금촌명동로시장||||지역재래시장||경기도 파주시 명동길 53||공동시장;소형시장(점포 100개 미만);||||||금촌명동로시장||||90302
금촌문화로시장||||지역재래시장||경기도 파주시 문화로 89-1||법인시장;중형시장(점포 100~499개);||||||금촌문화로시장||||90302
김포중앙시장||126.7105087|37.6260655|지역재래시장||경기도 김포시 북면중로 55-1||공설시장;중형시장(점포 100~499개);||||||김포중앙시장||||90302
남문로데오시장||127.015467|37.2745416|지역재래시장||경기도 수원시 팔달구 행궁로 88||공동시장;중형시장(점포 100~499개);||||||남문로데오시장|센터빌딩 4층|||90302
남양시장||126.817237|37.2094736|지역재래시장||경기도 화성시 남양읍 글판동길 4||공동시장;중형시장(점포 100~499개);||||||남양시장||||90302
남양주장현/전통시장||||지역재래시장||경기도 남양주시 진접읍 장현로 77의100 ||공설시장;중형시장(점포 100~499개);||||||남양주장현 전통시장||||90302
녹색거리상점가||127.0502689|37.7409597|지역재래시장||경기도 의정부시 시민로121번길 23||중형시장(점포 100~499개);||||||녹색거리상점가||||90302
능동상가||||지역재래시장||경기도 화성시 동탄 지성로 136||소형시장(점포 100개 미만);||||||능동상가||||90302
도리섬상점가||||지역재래시장||경기도 안산시 단원구 광덕대로 206||중대형시장(점포 500~999개);||||||도리섬상점가||||90302
도일시장||||지역재래시장||경기도 시흥시 도일로 100의 4||개인시장;소형시장(점포 100개 미만);||||||도일시장||||90302
돌고래시장||127.1220622|37.3712229|지역재래시장||경기도 성남시 분당구 내정로174번길 42||공동시장;중형시장(점포 100~499개);||||||돌고래시장|파크타운서안아파트|||90302
동두천제일시장||127.0519325|37.9035203|지역재래시장||경기도 동두천시 정장로 11-12||공동시장;소형시장(점포 100개 미만);||||||동두천제일시장||||90302
동신종합시장||127.1229495|37.3705555|지역재래시장||경기도 성남시 분당구 수내동 돌마로 361||공동시장;소형시장(점포 100개 미만);||||||동신종합시장||||90302
동탄상가||||지역재래시장||경기도 화성시 동탄반송3길 51||소형시장(점포 100개 미만);||||||동탄상가||||90302
로데오거리상점가||127.0489766|37.7390995|지역재래시장||경기도 의정부시 태평로 73||중형시장(점포 100~499개);||||||로데오거리상점가|46|||90302
매산로테마거리상점가||126.998482|37.2694747|지역재래시장||경기도 수원시 팔달구 향교로 29||중형시장(점포 100~499개);||||||매산로테마거리상점가|4층|||90302
