##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@레드테이블
명동교자||||레드테이블|||서울 중구 명동2가 25-2|||||||명동교자||||
도레도레|신사점|||레드테이블|||서울시 강남구 신사동 544-4|||||||도레도레(신사점)||||
피오니||||레드테이블|||서울 마포구 서교동 403-15|||||||피오니||||
바토스|이태원점|||레드테이블|||서울 용산구 이태원동 181-8|||||||바토스(이태원점)||||
윤씨밀방||||레드테이블|||서울 마포구 서교동 411-6|||||||윤씨밀방||||
돈부리||||레드테이블|||서울 마포구 서교동 366-18|||||||돈부리||||
마이타이||||레드테이블|||서울 용산구 이태원동 123-20|||||||마이타이||||
스트릿츄러스||||레드테이블|||서울시 용산구 이태원2동 557|||||||스트릿츄러스||||
프리모바치오바치||||레드테이블|||서울시 마포구 동교동 162-8|||||||프리모바치오바치||||
중심||||레드테이블|||서울 용산구 이태원동 34-39|||||||중심||||
퍼블릭하우스||||레드테이블|||서울 강남구 신사동 536|||||||퍼블릭하우스||||
바비레드||||레드테이블|||서울 강남구 역삼동 618-18|||||||바비레드||||
커피프린스1호점||||레드테이블|||서울시 마포구 서교동 337-2|||||||커피프린스1호점||||
삼거리포차||||레드테이블|||서울시 마포구 서교동 361-12|||||||삼거리포차||||
옥상달빛||||레드테이블|||서울시 마포구 서교동 358-136|||||||옥상달빛||||
삼청동수제비||||레드테이블|||서울 종로구 삼청동 102|||||||삼청동수제비||||
프리모바치오바치|명동점|||레드테이블|||서울 중구 충무로2가 66-5|||||||프리모바치오바치(명동점)||||
초마||||레드테이블|||서울 마포구 서교동 361-10|||||||초마||||
마포나루||||레드테이블|||서울 마포구 도화동 201-39|||||||마포나루||||
서가앤쿡|홍대점|||레드테이블|||서울 마포구 서교동 395-16|||||||서가앤쿡(홍대점)||||
몽슈슈||||레드테이블|||서울시 강남구 압구정동 456|||||||몽슈슈|(현대백화점 지하1층)|||
기다스시|한남점|||레드테이블|||서울 용산구 한남동 683-125|||||||기다스시(한남점)||||
MACARON||||레드테이블|||서울 마포구 서교동 343-2|||||||MACARON||||
미미네|홍대점|||레드테이블|||서울 마포구 서교동 404-29|||||||미미네(홍대점)||||
패션5||||레드테이블|||서울 용산구 한남동 729-74|||||||패션5||||
부첼라||||레드테이블|||서울시 강남구 압구정동 429|||||||부첼라|B1|||
오율||||레드테이블|||서울 강남구 역삼동 820-9|||||||오율||||
성수족발||||레드테이블|||서울 성동구 성수동2가 289-273|||||||성수족발||||
오마일||||레드테이블|||서울 용산구 한남동 258|||||5마일||오마일(5마일)||||
북촌손만두||||레드테이블|||서울 종로구 관훈동 42-2|||||||북촌손만두||||
고디바|가로수길점|||레드테이블|||서울시 강남구 신사동 545-6|||||||고디바(가로수길점)||||
먹쉬돈나||||레드테이블|||서울 종로구 안국동 17-18|||||||먹쉬돈나||||
테이스팅룸||||레드테이블|||서울 용산구 한남동 744-29|||||||테이스팅룸||||
하동관||||레드테이블|||서울 중구 명동 10-4|||||||하동관||||
현선이네||||레드테이블|||서울 용산구 한강로2가 311-1|||||||현선이네||||
반포식스||||레드테이블|||서울 서초구 잠원동 58-24|||||||반포식스|뉴타운빌딩 B1|||
트레비아|녹사평점|||레드테이블|||서울 용산구 이태원동 557|||||||트레비아(녹사평점)||||
구슬함박스테이크||||레드테이블|||서울 마포구 상수동 316-12|||||||구슬함박스테이크||||
카카오그린||||레드테이블|||서울 중구 명동2가 32-5|||||||카카오그린||||
용두동쭈꾸미|본점|||레드테이블|||서울 동대문구 용두동 119-3|||||||용두동쭈꾸미(본점)||||
마이첼시||||레드테이블||서울 용산구 이태원로27가길 40||||||||마이첼시||||
배터리파크|명동점|||레드테이블||서울 중구 퇴계로 100||||||||배터리파크(명동점)|남산 Store tower B1층|||
딘타이펑|명동점|||레드테이블|||서울 중구 명동1가 59-1|||||||딘타이펑(명동점)||||
계절밥상|용산아이파크몰점|||레드테이블|||서울시 용산구 한강로3가 40-999|||||||계절밥상(용산아이파크몰점)|용산아이파크몰 동관 7층|||
제임스시카고피자||||레드테이블|||서울시 마포구 서교동 346-42|||||||제임스시카고피자||||
소프트리||||레드테이블|||서울시 용산구 한남동 736-11|||||||소프트리||||
고디바||||레드테이블|||서울시 종로구 삼청동 62-13|||||||고디바||||
에베레스트||||레드테이블|||서울 종로구 창신동 148-1|||||||에베레스트||||
미즈컨테이너|서교점|||레드테이블|||서울시 마포구 서교동 360-13|||||||미즈컨테이너(서교점)||||
웃사브|홍대점|||레드테이블|||서울 마포구 상수동 92-3|||||||웃사브(홍대점)||||
조폭떡볶이||||레드테이블|||서울 마포구 서교동 407-21|||||||조폭떡볶이||||
스바루||||레드테이블|||서울 영등포구 여의도동 23-5|||||||스바루||||
테라로사|광화문점|||레드테이블|||서울시 종로구 중학동 19|||||||테라로사(광화문점)||||
663||||레드테이블|||서울시 강남구 신사동 663-2|||||||663||||
쟈니덤플링||||레드테이블|||서울 용산구 이태원동 130-3|||||||쟈니덤플링||||
설빙||||레드테이블|||서울시 마포구 서교동 358-37|||||||설빙||||
호야초밥참치||||레드테이블|||서울 광진구 화양동 12-36|||||||호야초밥참치||||
을밀대||||레드테이블|||서울 마포구 염리동 147-6|||||||을밀대||||
우마이도|건대점|||레드테이블|||서울 광진구 화양동 3-29|||||||우마이도(건대점)||||
듀크렘||||레드테이블|||서울 강남구 신사동 546-18|||||||듀크렘||||
훌리오홍대점||||레드테이블||서울 마포구 와우산로13길 40||||||||훌리오홍대점||||
스시조||||레드테이블|||서울 중구 소공동 87|||||||스시조||||
요기|홍대점|||레드테이블|||서울 마포구 서교동 411-1|||||||요기(홍대점)||||
교수곱창||||레드테이블|||서울 마포구 서교동 365-8|||||||교수곱창||||
송죽장||||레드테이블|||서울 영등포구 영등포동4가 55-4|||||||송죽장||||
제임스치즈등갈비||||레드테이블|||서울시 마포구 서교동 369-3|||||||제임스치즈등갈비|1층|||
피자리움||||레드테이블|||서울 용산구 이태원동 529|||||||피자리움||||
불칸||||레드테이블|||서울 강남구 신사동 541-11|||||||불칸||||
뿔레치킨|본점|||레드테이블|||서울 마포구 서교동 364-1|||||||뿔레치킨(본점)||||
마이치치스||||레드테이블||서울 용산구 이태원로19길 5||||||||마이치치스|1층|||
진주집||||레드테이블|||서울 영등포구 여의도동 36-2|||||||진주집||||
온더보더|여의도IFC점|||레드테이블||서울 영등포구 국제금융로 10||||||||온더보더(여의도IFC점)|IFC몰 지하3층 311호|||
멜팅몽키||||레드테이블|||서울시 용산구 이태원동 340-2|||||||멜팅몽키||||
미진||||레드테이블|||서울 종로구 종로1가 24|||||||미진||||
