##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대자동차서비스블루핸즈
현대차블루핸즈|동산점|||현대자동차서비스블루핸즈|063854-8204|전라북도 익산시 평동로 752||||||||현대차블루핸즈 동산점|(동산동)|||160405
현대차블루핸즈|동삼점|||현대자동차서비스블루핸즈|051405-5000|부산광역시 영도구 절영로 511||||||||현대차블루핸즈 동삼점|(동삼동)|||160405
현대차블루핸즈|동송점|||현대자동차서비스블루핸즈|033-4554297|강원도 철원군 동송읍 금학로 6||||||||현대차블루핸즈 동송점||||160405
현대차블루핸즈|동심자동차|||현대자동차서비스블루핸즈|02-4874191|서울특별시 강동구 성내로 92||||||||현대차블루핸즈 동심자동차|(성내동)|||160405
현대차블루핸즈|동아산현대서비스|||현대자동차서비스블루핸즈|041-5471234|충청남도 아산시 외암로 1534-5||||||||현대차블루핸즈 동아산현대서비스|(풍기동)|||160405
현대차블루핸즈|동울산정비|||현대자동차서비스블루핸즈|052-2010029|울산광역시 동구 방어진순환도로 448||||||||현대차블루핸즈 동울산정비|(방어동)|||160405
현대차블루핸즈|동읍점|||현대자동차서비스블루핸즈|055-2563016|경상남도 창원시 의창구 동읍 의창대로 846||||||||현대차블루핸즈 동읍점||||160405
현대차블루핸즈|동진자동차|||현대자동차서비스블루핸즈|031-9416644|경기도 파주시 새꽃로 221||||||||현대차블루핸즈 동진자동차|(아동동)|||160405
현대차블루핸즈|동천점|||현대자동차서비스블루핸즈|053-3238204|대구광역시 북구 동천로23길 31||||||||현대차블루핸즈 동천점|(동천동)|||160405
현대차블루핸즈|동탄중부점|||현대자동차서비스블루핸즈|031-3786003|경기도 화성시 동탄대로14길 5-3||||||||현대차블루핸즈 동탄중부점|(오산동)|||160405
현대차블루핸즈|동패점|||현대자동차서비스블루핸즈|031-9477884|경기도 파주시 동패로7번길 52||||||||현대차블루핸즈 동패점|(동패동)|||160405
현대차블루핸즈|동해대형현대서비스|||현대자동차서비스블루핸즈|033-5223058|강원도 동해시 강원남부로 4610||마이티;중형트럭;대형트럭;카운티;중대형버스;쏠라티||||||현대차블루핸즈 동해대형현대서비스|(단봉동)|||160405
현대차블루핸즈|동해자동차공업|||현대자동차서비스블루핸즈|054-2733307|경상북도 포항시 북구 칠성천길 27||||||||현대차블루핸즈 동해자동차공업|(용흥동)|||160405
현대차블루핸즈|동홍점|||현대자동차서비스블루핸즈|064763-1475|제주특별자치도 서귀포시 동홍중앙로52번길 14-2||||||||현대차블루핸즈 동홍점|(동홍동)|||160405
현대차블루핸즈|동횡성/현대서비스|||현대자동차서비스블루핸즈|033-3442112|강원도 횡성군 둔내면 둔방남길 13||||||||현대차블루핸즈 동횡성/현대서비스|(외2필지)|||160405
현대차블루핸즈|두산점|||현대자동차서비스블루핸즈|053-7610010|대구광역시 수성구 지범로 41-4||||||||현대차블루핸즈 두산점|(두산동)|||160405
현대차블루핸즈|두암점|||현대자동차서비스블루핸즈|062261-6444|광주광역시 북구 면앙로 160||||||||현대차블루핸즈 두암점|(두암동)|||160405
현대차블루핸즈|두원현대서비스|||현대자동차서비스블루핸즈|031-9482121|경기도 파주시 조리읍 통일로 477-14||마이티;카운티;쏠라티||||||현대차블루핸즈 두원현대서비스||||160405
현대차블루핸즈|두정점|||현대자동차서비스블루핸즈|041-5228204|충청남도 천안시 서북구 원두정8길 8||||||||현대차블루핸즈 두정점|(두정동)|||160405
현대차블루핸즈|둔산동부점|||현대자동차서비스블루핸즈|042-4768204|대전광역시 서구 문정로9번길 10-12||||||||현대차블루핸즈 둔산동부점|(둔산동)|||160405
현대차블루핸즈|둔포점|||현대자동차서비스블루핸즈|041-5313127|충청남도 아산시 둔포면 충무로 1853||||||||현대차블루핸즈 둔포점||||160405
현대차블루핸즈|등촌점|||현대자동차서비스블루핸즈|0236647784|서울특별시 강서구 화곡로63길 115||||||||현대차블루핸즈 등촌점|(등촌동)|||160405
현대차블루핸즈|롯데칠성음료신협양평분점|||현대자동차서비스블루핸즈|0226330771|서울특별시 영등포구 양평로24길 33||마이티;중형트럭;카운티;쏠라티||||||현대차블루핸즈 롯데칠성음료신협양평분점|(양평동5가)|||160405
현대차블루핸즈|마동점|||현대자동차서비스블루핸즈|061-7944111|전라남도 광양시 눈소5길 3||||||||현대차블루핸즈 마동점|(마동)|||160405
현대차블루핸즈|마산상남점|||현대자동차서비스블루핸즈|055-2229114|경상남도 창원시 마산합포구 천하장사로 96||||||||현대차블루핸즈 마산상남점|(상남동)|||160405
현대차블루핸즈|마산현대서비스|||현대자동차서비스블루핸즈|055-2533113|경상남도 창원시 마산회원구 무역로 161||||||||현대차블루핸즈 마산현대서비스|(봉암동)|||160405
현대차블루핸즈|마전점|||현대자동차서비스블루핸즈|032568-1033|인천광역시 서구 완정로 64번길 56||||||||현대차블루핸즈 마전점|(마전동)|||160405
현대차블루핸즈|마천동부점|||현대자동차서비스블루핸즈|02-4067784|서울특별시 송파구 거마로 75||||||||현대차블루핸즈 마천동부점|(마천동)|||160405
현대차블루핸즈|만수중부점|||현대자동차서비스블루핸즈|032-4623344|인천광역시 남동구 백범로 226번길 3||||||||현대차블루핸즈 만수중부점|(만수동)|||160405
