##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@기아자동차서비스센터
기아자동차서비스|강서서비스센터|126.8613281|37.5556613|기아자동차서비스센터|0226358585|서울특별시 강서구 양천로 542||직영서비스센터||||||기아자동차서비스 강서서비스센터|(등촌동)|||160410
기아자동차서비스|성동서비스센터|127.0663278|37.5420806|기아자동차서비스센터|024988585|서울특별시 성동구 성수이로26길 61||직영서비스센터||||||기아자동차서비스 성동서비스센터|(성수동2가)|||160410
기아자동차서비스|시흥서비스센터|126.901151|37.448419|기아자동차서비스센터|028048585|서울특별시 금천구 시흥대로51길 20||직영서비스센터||||||기아자동차서비스 시흥서비스센터|(시흥동)|||160410
기아자동차서비스|도봉서비스센터|127.0522722|37.6807083|기아자동차서비스센터|0234938585|서울특별시 도봉구 도봉로180나길 48||직영서비스센터||||||기아자동차서비스 도봉서비스센터|도봉동,기아자동차서비스도봉사업소|||160410
기아자동차서비스|강릉서비스센터|128.9291667|37.7650806|기아자동차서비스센터|0336518585|강원도 강릉시 강변로604번길 11-4||직영서비스센터||||||기아자동차서비스 강릉서비스센터|입암동|||160410
기아자동차서비스|원주서비스센터|127.9412139|37.3778778|기아자동차서비스센터|0337438585|강원도 원주시 우산로 233||직영서비스센터||||||기아자동차서비스 원주서비스센터|우산동|||160410
기아자동차서비스|수원서비스센터|127.0747472|37.2656639|기아자동차서비스센터|0312148585|경기도 용인시 기흥구 중부대로 27||직영서비스센터||||||기아자동차서비스 수원서비스센터|(영덕동)|||160410
기아자동차서비스|의왕서비스센터|126.9754943|37.3456184|기아자동차서비스센터|0314658585|경기도 의왕시 경수대로 249||직영서비스센터||||||기아자동차서비스 의왕서비스센터|고천동|||160410
기아자동차서비스|창원서비스센터|128.6522472|35.2249417|기아자동차서비스센터|0552738585|경상남도 창원시 의창구 창원대로 504||직영서비스센터||||||기아자동차서비스 창원서비스센터|(대원동)|||160410
기아자동차서비스|포항서비스센터|129.3686218|36.0266461|기아자동차서비스센터|0542408585|경상북도 포항시 북구 중앙로 185||직영서비스센터||||||기아자동차서비스 포항서비스센터|(죽도동)|||160410
기아자동차서비스|광주서비스센터|126.878725|35.1573167|기아자동차서비스센터|0623718585|광주광역시 서구 죽봉대로 36||직영서비스센터||||||기아자동차서비스 광주서비스센터|(농성동)|||160410
기아자동차서비스|대구서비스센터|128.5584167|35.8879417|기아자동차서비스센터|0533518585|대구광역시 북구 팔달로 53||직영서비스센터||||||기아자동차서비스 대구서비스센터|노원동3가|||160410
기아자동차서비스|대전서비스센터|127.4208056|36.3666083|기아자동차서비스센터|0426218585|대전광역시 대덕구 대화로50번길 89||직영서비스센터||||||기아자동차서비스 대전서비스센터|(대화동)|||160410
기아자동차서비스|부산서비스센터|128.9904251|35.1470606|기아자동차서비스센터|0513148585|부산광역시 사상구 가야대로 141||직영서비스센터||||||기아자동차서비스 부산서비스센터|감전동,기아자동차써비스부산사업소|||160410
기아자동차서비스|인천서비스센터|126.6774368|37.4573075|기아자동차서비스센터|0325818585|인천광역시 미추홀구 경인로 309||직영서비스센터||||||기아자동차서비스 인천서비스센터|(도화동 378-15),기아자동차정비사업소|||160410
기아자동차서비스|전주서비스센터|127.1012|35.8377139|기아자동차서비스센터|0632198585|전라북도 전주시 덕진구 온고을로 246||직영서비스센터||||||기아자동차서비스 전주서비스센터|팔복동3가,기아자동차전주서비스센터|||160410
기아자동차서비스|제주서비스센터|126.56365|33.5105444|기아자동차서비스센터|0647248585|제주특별자치도 제주시 선반로6길 12||직영서비스센터||||||기아자동차서비스 제주서비스센터|화북일동|||160410
기아자동차서비스|청주서비스센터|127.4715278|36.6520278|기아자동차서비스센터|0432758585|충청북도 청주시 흥덕구 사운로 315||직영서비스센터||||||기아자동차서비스 청주서비스센터|(신봉동)|||160410
