##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@CGV
CGV|강남|127.026325|37.501528|CGV|1544-1122|서울특별시 강남구 강남대로 438|서울특별시 강남구 역삼동 814-6|6관/874석||||||CGV강남|(역삼동);스타플렉스|||100208
CGV|강변|127.0957213|37.5353388|CGV|1544-1122|서울특별시 광진구 광나루로56길 85|서울특별시 광진구 구의동 546-4|11관/1466석||||||CGV강변|(구의동);테크노마트 10층|||100208
CGV|건대입구|127.066794|37.540038|CGV|1544-1122|서울시 광진구 아차산로 30길 26|서울시 광진구 자양동 9-4|5관/754석||||||CGV건대입구|몰오브케이 3층;몰오브케이 3층|||100208
CGV|구로|126.8831273|37.5008982|CGV|1544-1122|서울특별시 구로구 구로중앙로 152|서울특별시 구로구 구로5동 573|10관/1900석||||||CGV구로|(구로동);AK플라자 (구 애경백화점) 5층|||100208
CGV|대학로|127.0000119|37.5833895|CGV|1544-1122|서울 종로구 대명길 (명륜동) |서울특별시 종로구 명륜2가 41-9|8관/968석||||||CGV대학로||||100208
CGV|동대문|127.007827|37.568633|CGV|1544-1122|서울시 중구 장충단로 13길 20|서울시 중구 을지로6가 17-2|6관/676석||||||CGV동대문|현대시티아울렛 11층;현대시티아울렛 11층|||100208
CGV|등촌|126.85601999999994|37.5578035|CGV|1544-1122|서울특별시 강서구 공항대로45길 61|서울특별시 강서구 등촌동 639-23|8관/1217석||||||CGV등촌|3층~9층 (등촌동);3층~9층|||100208
CGV|명동|126.9832107|37.5635500|CGV|1544-1122|서울특별시 중구 명동길 14|서울특별시 중구 명동2가 83-5|5관/736석||||||CGV명동|(명동);눈스퀘어 8층|||100208
CGV|명동역/씨네라이브러리|126.9853539|37.5614337|CGV|1544-1122|서울특별시 중구 퇴계로 123|서울특별시 중구 충무로2가 65-9|5관/694석||||||CGV명동역 씨네라이브러리|(명동);하이해리엇 10,11층|||100208
CGV|목동|126.8749319|37.5266566|CGV|1544-1122|서울특별시 양천구 목동로 257|서울특별시 양천구 목동 916|8관/1372석||||||CGV목동|지하2층 (목동);현대백화점 지하2층|||100208
CGV|미아|127.0307074|37.6121852|CGV|1544-1122|서울특별시 강북구 도봉로 34|서울특별시 강북구 미아동 35-4|6관/692석||||||CGV미아|9층 (미아동);트레지오 쇼핑몰 9층|||100208
CGV|불광|126.9287071|37.6098651|CGV|1544-1122|서울특별시 은평구 불광로 20|서울특별시 은평구 대조동 14-24|9관/1620석||||||CGV불광|11층 (대조동);팜스퀘어 11층|||100208
CGV|상봉|127.0923107|37.5971167|CGV|1544-1122|서울시 중랑구 상봉로 131|서울시 중랑구 상봉동 79-9|7관/1167석||||||CGV상봉|(상봉동);상봉듀오트리스 B2F|||100208
CGV|성신여대입구|127.0170722|37.5926033|CGV|1544-1122|서울특별시 성북구 동소문로 106|서울특별시 성북구 동선동 1가 1-2|5관/908석||||||CGV성신여대입구|10~12층 (동선동);10~12층|||100208
