##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@필스테이
필스테이|명동점|310563|551822|필스테이||서울특별시 중구 명동길 55|서울특별시 중구 명동1가 7-1|||||||필스테이 명동점|태흥빌딩 17층|||70212
필스테이|명동부띠끄|310495|551384|필스테이|02-755-8882|서울특별시 중구 퇴계로16길 11|서울특별시 중구 남산동1가 7-4|||||||필스테이 명동부띠끄|이일빌딩|||70212
필스테이|명동메트로|310582|551693|필스테이|02-771-8787|서울특별시 중구 명동10길 19-3|서울특별시 중구 명동2가 3-3|||||||필스테이 명동메트로|삼존빌딩 5층|||70212
필스테이|명동스테이션|310558|551539|필스테이|02-775-6200|서울특별시 중구 명동8가길 7|서울특별시 중구 충무로2가 66-9|||||||필스테이 명동스테이션|프리엠상가 4층;프리엠상가 4층|||70212
필스테이|명동센트럴호텔|310487|551881|필스테이||서울특별시 중구 명동9길 21|서울특별시 중구 명동1가 38-1|||||||필스테이 명동센트럴호텔|명동포커스빌딩|||70212
필스테이|명동금융중심|310487|551883|필스테이|02-775-5999|서울특별시 중구 명동9길 21|서울특별시 중구 명동1가 38-1|||||||필스테이 명동금융중심|6층|||70212
필스테이|명동에비뉴점|310563|551547|필스테이||서울특별시 중구 명동8가길 7|서울특별시 중구 충무로2가 66-9|||||||필스테이 명동에비뉴점|프리엠상가 4층|||70212
필스테이|이화/부띠끄|307027|551262|필스테이|02-362-8521|서울특별시 서대문구 이화여대길 43|서울특별시 서대문구 대현동 56-126|||||||필스테이 이화/부띠끄||||70212
필스테이|이코노믹|312196|552008|필스테이|02-2278-8808|서울특별시 중구 을지로38길 11|서울특별시 중구 광희동1가 38-1|||||||필스테이 이코노믹|4층|||70212
필스테이|동대문점|312435|551884|필스테이||서울특별시 중구 을지로44길 23|서울특별시 중구 광희동1가 187-2|||||||필스테이 동대문점||||70212
필스테이|동대문/에비뉴점|312571|551831|필스테이|02-2264-7888|서울특별시 중구 퇴계로 329|서울특별시 중구 광희동2가 43-1|||||||필스테이 동대문/에비뉴점|3층|||70212
필스테이|이대점|306971|551180|필스테이|02-364-8866|서울특별시 서대문구 이화여대3길 16|서울특별시 서대문구 대현동 56-49|||||||필스테이 이대점||||70212
필스테이|이태원점|311110|548648|필스테이|02-749-8855|서울특별시 용산구 이태원로23길 32|서울특별시 용산구 이태원동 120-4|||||||필스테이 이태원점||||70212
