##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@작은도서관
(사)원주자유시장작은도서관||||작은도서관||강원도 원주시 자유시장길 12||||||||(사)원주자유시장작은도서관|자유시장2층40-6호 고객쉼터 작은도서관|||200102
YW/Vision/도서관||||작은도서관||강원도 영월군 중앙1로 32||||||||YW Vision 도서관|35|||200102
갑천면/구리봉작은도서관||||작은도서관||강원도 횡성군 갑천면 청정로매일5길 2||||||||갑천면 구리봉작은도서관|구리봉작은도서관|||200102
강릉/영어/작은도서관||||작은도서관|||강원 강릉시 교동 822|||||||강릉 영어 작은도서관||||200102
강릉금호어울림/작은도서관||||작은도서관|||강원 강릉시 입암동 331|||||||강릉금호어울림 작은도서관||||200102
강릉더샵작은도서관||||작은도서관||강원도 강릉시 입암로 29||||||||강릉더샵작은도서관|(입암동) 11|||200102
강림면/치악산/작은도서관||||작은도서관||강원도 횡성군 강림시장2길 8||||||||강림면 치악산 작은도서관|치악산 작은도서관|||200102
개운동작은도서관||||작은도서관||강원도 원주시 행구로 40||||||||개운동작은도서관|(개운동) 개운동사무소|||200102
고맙습니다풀이음작은도서관||||작은도서관||강원도 속초시 미시령로3337번길 6-15||||||||고맙습니다풀이음작은도서관|(속초시 작은도서관) 풀이음작은도서관|||200102
공근면/금계/작은도서관||||작은도서관||강원도 횡성군 학담시장길 11||||||||공근면 금계 작은도서관|금계작은도서관|||200102
과학산업작은도서관||||작은도서관||강원도 강릉시 과학단지로 106-11||||||||과학산업작은도서관|(대전동) 강릉과학산업진흥원|||200102
관아/작은도서관||||작은도서관||강원도 강릉시 경강로 2045||||||||관아 작은도서관|(칠사당) 38-1번지|||200102
구미마을도서관||||작은도서관||강원도 동해시 삼화로 55||||||||구미마을도서관|(이로동)|||200102
글여울도서관||||작은도서관||강원도 동해시 선돌길 10||||||||글여울도서관|(구미동) 해오름교회|||200102
길운작은도서관||||작은도서관||강원 정선군 신동읍 조동1길 157||||||||길운작은도서관||||200102
꾸러기어린이도서관||||작은도서관||강원도 춘천시 백령로 214||||||||꾸러기어린이도서관|2층|||200102
꿈꾸는/도서관||||작은도서관||강원도 원주시 우산초교길 78||||||||꿈꾸는 도서관|(우산동) .|||200102
꿈나리도서관||||작은도서관||강원도 춘천시 금강로 68-6||||||||꿈나리도서관|춘천동부교회 (조양동) 6층|||200102
꿈너머꿈||||작은도서관|||강원 춘천시 석사동 866|||||||꿈너머꿈|퇴계 (5)주공아파트 관리사무소|||200102
꿈사랑작은도서관||||작은도서관||강원도 원주시 송계1길 29||||||||꿈사랑작은도서관|(학성동) 꿈사랑교회|||200102
꿈여울/작은도서관||||작은도서관||강원도 평창군 미탄면 새터길 24||||||||꿈여울 작은도서관|꿈여울 작은도서관|||200102
꿈을/파는/작은도서관||||작은도서관||강원도 정선군 사북6길 15-5||||||||꿈을 파는 작은도서관|(충만한교회) 꿈을 파는 작은도서관|||200102
꿈을담은도서관||||작은도서관||강원 영월군 영월 팔괴로 41||||||||꿈을담은도서관||||200102
꿈을심어주는마을문고||||작은도서관||강원 태백시 상장동 학마을길 101||||||||꿈을심어주는마을문고||||200102
꿈을이루는도서관||||작은도서관|||강원 삼척시 하장면 광동리 77-1|||||||꿈을이루는도서관||||200102
꿈을주는작은도서관||||작은도서관||강원도 원주시 문막읍 원문로 1821||||||||꿈을주는작은도서관|문막감리교회 내 꿈을주는작은도서관|||200102
