##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@식신맛집
욘주라멘||||식신맛집||울산광역시 중구 중앙시장1길 3|울산광역시 중구 옥교동 275-11|||||||욘주라멘||||
김양집||||식신맛집||울산 울주군 서생면 신암해안길 13|울산광역시 울주군 서생면 신암리 372|||||||김양집||||
외가집||||식신맛집|||울산광역시 중구 학산동 171|||||||외가집||||
나마스까르||||식신맛집||울산광역시 남구 삼산중로48번길 11|울산광역시 남구 삼산동 1478-7|||||||나마스까르||||
투썸플레이스울산간절곶점||||식신맛집||울산 울주군 서생면 간절곶1길 30-18|울산광역시 울주군 서생면 대송리 산115|||||||투썸플레이스울산간절곶점||||
형제아구찜||||식신맛집|||울산광역시 중구 성안동 390-5|||||||형제아구찜||||
화이트하우스||||식신맛집||울산 동구 문현로 46-1|울산광역시 동구 방어동 1159-18|||||||화이트하우스||||
공원불고기||||식신맛집||울산광역시 울주군 헌양길 32|울산광역시 울주군 언양읍 동부리 153-13|||||||공원불고기||||
달동테이블||||식신맛집||울산 남구 왕생로 66|울산광역시 남구 달동 1362-1|||||||달동테이블||||
고래명가||||식신맛집||울산광역시 남구 장생포고래로 207|울산광역시 남구 장생포동 87-12|||||||고래명가||||
안압루||||식신맛집||울산광역시 남구 월평로 175|울산광역시 남구 신정동 34-88|||||||안압루||||
고궁||||식신맛집||울산광역시 중구 학성로 95-1|울산광역시 중구 성남동 31|||||||고궁||||
금강장어||||식신맛집||울산 중구 산전길 8-1|울산광역시 중구 남외동 567-8|||||||금강장어||||
압구정한우국밥||||식신맛집||울산 남구 달삼로 66|울산광역시 남구 달동 1299-1|||||||압구정한우국밥||||
장진우식당||||식신맛집||울산광역시 남구 삼산중로128번길 30|울산광역시 남구 삼산동 1540-7|||||||장진우식당||||
싱귤러커피||||식신맛집||울산 남구 대학로1번길 3-35|울산광역시 남구 무거동 1005-55|||||||싱귤러커피||||
북경통닭||||식신맛집||울산광역시 동구 바드래1길 3|울산광역시 동구 전하동 300-264|||||||북경통닭||||
동은||||식신맛집||울산 남구 장생포고래로 265|울산광역시 남구 매암동 220-9|||||||동은||||
종점식당||||식신맛집|||울산광역시 울주군 두동면 봉계리 520-4|||||||종점식당||||
쿠지라||||식신맛집||울산 중구 중앙시장길 2-5|울산광역시 중구 옥교동 275-7|||||||쿠지라||||
공감각적심상||||식신맛집||울산 남구 삼산중로128번길 30|울산광역시 남구 삼산동 1540-7|||||||공감각적심상||||
사량도자연산횟집||||식신맛집||울산광역시 남구 삼산로181번길 33|울산광역시 남구 달동 573-8|||||||사량도자연산횟집||||
정원암소숯불고기||||식신맛집||울산광역시 울주군 두동로 1840|울산광역시 울주군 두동면 봉계리 496-7|||||||정원암소숯불고기||||
크리스티앙단디만주||||식신맛집||울산광역시 남구 돋질로390번길 7|울산광역시 남구 삼산동 204-11|||||||크리스티앙단디만주||||
기와집숯불고기||||식신맛집|||울산광역시 울주군 두동면 봉계리 539-1|||||||기와집숯불고기||||
거부돌곱창||||식신맛집||울산 남구 봉월로8번길 9-1|울산광역시 남구 신정동 1217-3|||||||거부돌곱창||||
호재래||||식신맛집||울산 중구 중앙길 77|울산광역시 중구 성남동 182-7|||||||호재래||||
바게트호텔||||식신맛집||울산광역시 남구 문수로423번길 18-13|울산광역시 남구 신정동 1644-67|||||||바게트호텔||||
갓포이찌||||식신맛집||울산광역시 남구 번영로150번길 20|울산광역시 남구 달동 1357-6|||||||갓포이찌||||
황해해물칼국수1호점||||식신맛집||인천 중구 용유로21번길 3|인천광역시 중구 덕교동 128-1|||||||황해해물칼국수1호점||||
해송쌈밥||||식신맛집||인천 중구 공항서로 177|인천광역시 중구 남북동 16-33|||||||해송쌈밥||||
편가네된장||||식신맛집||인천광역시 강화군 가능포로89번길 11|인천광역시 강화군 화도면 상방리 599-4|||||||편가네된장||||
정아식당||||식신맛집|||인천광역시 부평구 산곡동 170-1|||||||정아식당||||
와규홀릭||||식신맛집||인천 남동구 인하로507번길 18|인천광역시 남동구 구월동 1474-2|||||||와규홀릭||||
부암갈비||||식신맛집||인천광역시 남동구 용천로 149|인천광역시 남동구 간석동 130-12|||||||부암갈비||||
트리플듀에||||식신맛집||인천 연수구 컨벤시아대로 126|인천광역시 연수구 송도동 22-22|||||||트리플듀에||||
학운정||||식신맛집||인천광역시 서구 열우물로208번길 12|인천광역시 서구 가좌동 461-1|||||||학운정||||
통꼬집||||식신맛집||인천 연수구 컨벤시아대로42번길 20|인천광역시 연수구 송도동 15-10|||||||통꼬집||||
모녀떡볶이부평남부역점||||식신맛집||인천 부평구 광장로 16|인천광역시 부평구 부평동 738-21|||||||모녀떡볶이부평남부역점||||
충남서산집||||식신맛집||인천 강화군 내가면 중앙로 1200|인천광역시 강화군 내가면 외포리 385|||||||충남서산집||||
스시애본점||||식신맛집||인천 부평구 부흥로 261|인천광역시 부평구 부평동 529-38|||||||스시애본점||||
일미산장어숯불장어||||식신맛집||인천 강화군 선원면 더리미길 2|인천광역시 강화군 선원면 신정리 316|||||||일미산장어숯불장어||||
안스베이커리구월본점||||식신맛집||인천 남동구 인주대로 664|인천광역시 남동구 구월동 279-3|||||||안스베이커리구월본점||||
아띠오아나폴리핏제리아||||식신맛집||인천광역시 연수구 컨벤시아대로 69|인천광역시 연수구 송도동 3-1|||||||아띠오아나폴리핏제리아||||
우리옥||||식신맛집|||인천광역시 강화군 강화읍 신문리 184-1|||||||우리옥||||
신승반점||||식신맛집||인천광역시 중구 차이나타운로26번길 11-32|인천광역시 중구 북성동2가 11-32|||||||신승반점||||
청해김밥||||식신맛집||인천 미추홀구 경인로 414|인천광역시 미추홀구 주안동 406-34|||||||청해김밥||||
권오길손국수본점||||식신맛집||인천광역시 서구 검단로 789|인천광역시 서구 불로동 779-4|||||||권오길손국수본점|권오길 손국수|||
가리비칼국수||||식신맛집|||인천광역시 남동구 도림동 636-2|||||||가리비칼국수||||
덜렁이네횟집||||식신맛집||인천 중구 월미문화로 95|인천광역시 중구 북성동1가 98-577|||||||덜렁이네횟집||||
노을내리는아름다운집||||식신맛집|||인천광역시 강화군 삼산면 매음리 650-59|||||||노을내리는아름다운집||||
라비스타||||식신맛집||인천광역시 연수구 청량로70번길 40-12|인천광역시 연수구 동춘동 806-21|||||||라비스타||||
충청도해안선조개구이||||식신맛집||인천 중구 마시란로 91|인천광역시 중구 덕교동 산77-84|||||||충청도해안선조개구이||||
벌말매운탕||||식신맛집||인천 계양구 벌말로565번길 5|인천광역시 계양구 상야동 171-1|||||||벌말매운탕||||
그리다디저트||||식신맛집||인천 연수구 인천타워대로132번길 30|인천광역시 연수구 송도동 8-3|||||||그리다디저트||||
잉글랜드왕돈까스||||식신맛집||인천광역시 중구 우현로90번길 7|인천광역시 중구 인현동 26-8|||||||잉글랜드왕돈까스||||
생오리돌판구이||||식신맛집||인천광역시 부평구 경원대로 1439|인천광역시 부평구 부평동 160-1|||||||생오리돌판구이|이십사시 생 오리돌판구이|||
인현통닭삼계탕||||식신맛집||인천광역시 중구 참외전로 134-1|인천광역시 중구 인현동 23-1|||||||인현통닭삼계탕|신세계약국,거상인력|||
공화춘||||식신맛집||인천광역시 중구 차이나타운로 43|인천광역시 중구 북성동3가 5-6|||||||공화춘|공화춘|||
만다복||||식신맛집||인천 중구 차이나타운로 36|인천광역시 중구 북성동2가 9-11|||||||만다복||||
신포닭강정||||식신맛집||인천 중구 우현로49번길 3|인천광역시 중구 내동 209-57|||||||신포닭강정||||
긴자송도유원지점||||식신맛집||인천광역시 연수구 청량로120번길 10|인천광역시 연수구 옥련동 573|||||||긴자송도유원지점||||
할머니추어탕||||식신맛집||인천광역시 남동구 경인로 734|인천광역시 남동구 간석동 773-2|||||||할머니추어탕||||
연락골고추장추어탕||||식신맛집||인천 서구 경서로 27|인천광역시 서구 경서동 산165-13|||||||연락골고추장추어탕||||
함춘원||||식신맛집||인천 남동구 문화로 91-1|인천광역시 남동구 구월동 1367-13|||||||함춘원||||
성원닭갈비||||식신맛집||인천광역시 계양구 오조산로57번길 7|인천광역시 계양구 계산동 1080-8|||||||성원닭갈비||||
아로이아로이||||식신맛집||인천광역시 중구 공항로424번길 72|인천광역시 중구 운서동 2850-7|||||||아로이아로이|IBC 디오빌|||
미다미||||식신맛집||인천 서구 중봉대로 594|인천광역시 서구 청라동 162-15|||||||미다미||||
태백산||||식신맛집||인천 서구 완정로 151|인천광역시 서구 왕길동 663-2|||||||태백산||||
닐리리손칼국수||||식신맛집||인천 서구 서곶로 833|인천광역시 서구 당하동 1082-4|||||||닐리리손칼국수||||
해변식당||||식신맛집||인천광역시 중구 연안부두로 17|인천광역시 중구 항동7가 27-207|||||||해변식당||||
화선횟집||||식신맛집||인천 중구 우현로49번길 11-25|인천광역시 중구 신포동 5-10|||||||화선횟집||||
열두바구니송도점||||식신맛집|||인천광역시 연수구 송도동 3-5|||||||열두바구니송도점||||
베네/쉐라톤그랜드인천호텔||||식신맛집||인천 연수구 컨벤시아대로 153|인천광역시 연수구 송도동 6-9|||||||베네 쉐라톤그랜드인천호텔||||
용화반점||||식신맛집||인천 중구 참외전로174번길 7|인천광역시 중구 경동 4-10|||||||용화반점||||
변가네옹진냉면||||식신맛집||인천 미추홀구 한나루로586번길 92|인천광역시 미추홀구 주안동 509-13|||||||변가네옹진냉면||||
향수레스토랑||||식신맛집||인천 연수구 청량로70번길 43|인천광역시 연수구 동춘동 789-14|||||||향수레스토랑||||
미야비/쉐라톤그랜드인천호텔||||식신맛집||인천광역시 연수구 컨벤시아대로 153|인천광역시 연수구 송도동 6-9|||||||미야비 쉐라톤그랜드인천호텔|쉐라톤인천호텔|||
카페오라||||식신맛집||인천 중구 용유서로 380|인천광역시 중구 운서동 773-61|||||||카페오라||||
향촌왕족발||||식신맛집||인천 남동구 백범로180번길 77|인천광역시 남동구 만수동 80-131|||||||향촌왕족발||||
십리향||||식신맛집||인천광역시 중구 차이나타운로 50-2|인천광역시 중구 북성동2가 10-26|||||||십리향||||
산동만두||||식신맛집||인천 중구 우현로49번길 33|인천광역시 중구 신포동 10-1|||||||산동만두||||
인하의집||||식신맛집|||인천광역시 중구 전동 19-1|||||||인하의집||||
텐메이||||식신맛집||인천 연수구 센트럴로 160|인천광역시 연수구 송도동 23-5|||||||텐메이||||
부영선지국||||식신맛집||인천 미추홀구 장천로14번길 20|인천광역시 미추홀구 숭의동 296-78|||||||부영선지국||||
원보||||식신맛집||인천광역시 중구 차이나타운로 48|인천광역시 중구 북성동2가 10-13|||||||원보||||
청실홍실신포동점||||식신맛집||인천광역시 중구 우현로35번길 23-1|인천광역시 중구 신생동 2-1|||||||청실홍실신포동점||||
부원집||||식신맛집||인천광역시 연수구 샘말로8번길 7-10|인천광역시 연수구 연수동 629-10|||||||부원집||||
금문도||||식신맛집||인천광역시 계양구 효서로 268|인천광역시 계양구 작전동 416-5|||||||금문도|금문도|||
홍두병||||식신맛집||인천 중구 차이나타운로 48|인천광역시 중구 북성동2가 10-13|||||||홍두병||||
스시이와||||식신맛집||인천 연수구 센트럴로 194|인천광역시 연수구 송도동 23-4|||||||스시이와||||
어스팩토리||||식신맛집||인천광역시 남동구 인하로 497-15|인천광역시 남동구 구월동 1467-1|||||||어스팩토리||||
송림동해장국||||식신맛집||인천 동구 동산로87번길 6|인천광역시 동구 송림동 59-25|||||||송림동해장국||||
원조할머니냉면||||식신맛집||인천광역시 동구 화평로 24-2|인천광역시 동구 화평동 531-118|||||||원조할머니냉면||||
더히든키친||||식신맛집||인천광역시 부평구 신트리로22번길 15-14|인천광역시 부평구 부평동 885-5|||||||더히든키친||||
자연맛닭||||식신맛집||인천광역시 남동구 선수촌공원로 37|인천광역시 남동구 구월동 1533-3|||||||자연맛닭||||
덕적식당||||식신맛집||인천 중구 우현로49번길 25|인천광역시 중구 신포동 7-52|||||||덕적식당||||
임파스토||||식신맛집||인천 연수구 아트센터대로 203|인천광역시 연수구 송도동 83|||||||임파스토||||
풀사이드228송도점||||식신맛집||인천 연수구 해돋이로 157|인천광역시 연수구 송도동 22-8|||||||풀사이드228송도점||||
삿뽀로계산점||||식신맛집||인천 계양구 도두리로 31|인천광역시 계양구 계산동 1083-5|||||||삿뽀로계산점||||
창영떡집||||식신맛집||인천광역시 동구 우각로 79|인천광역시 동구 창영동 106-4|||||||창영떡집||||
뉴욕베이글송도||||식신맛집||인천 연수구 컨벤시아대로 116|인천광역시 연수구 송도동 22-21|||||||뉴욕베이글송도||||
속초코다리냉면||||식신맛집||인천 연수구 아트센터대로 87|인천광역시 연수구 송도동 17-1|||||||속초코다리냉면||||
뽀까뽀까신볶음닭주안점||||식신맛집||인천 미추홀구 주안중로43번길 9|인천광역시 미추홀구 주안동 148-4|||||||뽀까뽀까신볶음닭주안점||||
