##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@비영리법인
사단법인/한국하모니카연맹||||비영리법인||경기도 고양시 덕양구원흥 1로 50||사단법인||||||사단법인 한국하모니카연맹|2층 202호|||210104
한국출판연구소||||비영리법인||서울특별시 마포구 토정로 222||재단법인||||||한국출판연구소||||210104
사단법인/한국호텔전문경영인협회(재교부)||||비영리법인||서울특별시 중구 퇴계로 20나길 26||사단법인||||||사단법인 한국호텔전문경영인협회(재교부)|3층|||210104
사단법인/목우회(재교부)||||비영리법인||서울특별시 강남구 선릉로 420||사단법인||||||사단법인 목우회(재교부)|204호 (대치동,진선빌딩)|||210104
사단법인/목우회||||비영리법인||서울특별시 강남구 선릉로 420||재단법인||||||사단법인 목우회|204호 (대치동,진선빌딩)|||210104
재단법인/동방연서회(재교부)||||비영리법인||서울특별시 종로구 삼일대로30길 21||공익재단법인||||||재단법인 동방연서회(재교부)|603호 (낙원동,종로오피스텔)|||210104
사단법인/나눔문화연구소||||비영리법인||서울특별시 종로구 자하문로10길 28||사단법인||||||사단법인 나눔문화연구소|(통의동)|||210104
한국시각인류학회||||비영리법인||서울시 동작구 노량진로 26길 62||사단법인||||||한국시각인류학회|경동원츠리버아파트 상가동 301-1호|||210104
지라니문화사업단||||비영리법인||인천광역시 부평구 부평문화로 53번길 48||사단법인||||||(사)지라니문화사업단|2층|||210104
동학농민혁명기념재단||||비영리법인||전북 정읍시 덕천면 동학로 742||특수법인||||||동학농민혁명기념재단||||210104
리얼주짓수/사회적협동조합||||비영리법인||전라북도 전주시 완산구 홍산중앙로 17||사단법인||||||리얼주짓수 사회적협동조합|6층 퍼스트짐|||210104
대한패러글라이딩협회||||비영리법인||서울특별시 송파구 올림픽로 25||사단법인||||||대한패러글라이딩협회|B112호,B113호 (잠실동,서울종합운동장)|||210104
한국도서관친구들||||비영리법인||서울시 마포구 동교로 114||재단법인||||||한국도서관친구들|301호 (서교동,태복빌딩)|||210104
출판도시문화재단||||비영리법인||경기도 파주시 회동길 145||재단법인||||||출판도시문화재단|(문발동)|||210104
대한민국/대학영화제||||비영리법인||서울시 강서구 양천대로 538||사단법인||||||대한민국 대학영화제|우림블루나인 B동 711|||210104
한국영상예술협회||||비영리법인||경기도 구리시 체육관로 153번길 30||사단법인||||||한국영상예술협회|2층 (교문동)|||210104
한국이스포츠협회||||비영리법인||서울특별시 마포구 매봉산로 31||사단법인||||||한국이스포츠협회|11층 (상암동,에스플렉스센터 시너지움)|||210104
대한소프트테니스협회||||비영리법인||서울특별시 송파구 올림픽로 424||사단법인||||대한정구협회 명칭변경||대한소프트테니스협회(구 대한정구협회 명칭변경)||||210104
사단법인/한국중앙예술진흥회||||비영리법인||서울특별시 강남구 개포로 508||사단법인||||||사단법인 한국중앙예술진흥회|소망빌딩 109호|||210104
문화공유/사회적협동조합||||비영리법인||서울특별시 성동구 아차산로 57||사단법인||||||문화공유 사회적협동조합|064호|||210104
재단법인/2018평창/기념재단||||비영리법인||강원도 평창군 올림픽로 108-27||재단법인||||||재단법인 2018평창 기념재단|2018평창 기념재단|||210104
한국패션문화협회||||비영리법인||서울시 서대문구 이화여대길 52||사단법인||||||(사)한국패션문화협회|이화여자대학교 조형예술관 A동 117호|||210104
