##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@GS25
GS25|송파위례점|37.48066747|127.13167801|GS25||서울 송파구 위례광장로 121||cafe25;drug;post;battery;withdrawal||||||GS25 송파위례점|(장지동 901,위례24단지)|||90702
GS25|송파일신점|37.50101279|127.11459085|GS25||서울 송파구 송파대로36가길 1||cafe25;instant;drug;post;withdrawal||||||GS25 송파일신점|(송파동 180-4)|||90702
GS25|송파잠실점|37.50562095|127.07855779|GS25||서울 송파구 도곡로 454||cafe25;instant;drug;post;withdrawal;self_cook||||||GS25 송파잠실점|1층 (잠실동 294-21,정도빌딩)|||90702
GS25|송파제일점|37.5089229|127.11083266|GS25||서울 송파구 백제고분로 423||toto;cafe25;drug;post;battery;withdrawal;smart_atm||||||GS25 송파제일점|1층 (송파동 47-3,영동빌딩)|||90702
GS25|송파중앙점|37.5084527|127.11181098|GS25||서울 송파구 백제고분로46길 4||cafe25;drug;post;battery;withdrawal||||||GS25 송파중앙점|(송파1동 133)|||90702
GS25|송파토성점|37.53188688|127.11871784|GS25||서울 송파구 풍성로26길 22||cafe25;instant;drug;post;battery;withdrawal;smart_atm||||||GS25 송파토성점|1층 (풍납2동 237-1)|||90702
GS25|송파트루빌점|37.5037264|127.12688694|GS25||서울 송파구 오금로35길 8||cafe25;instant;drug;post;battery;withdrawal||||||GS25 송파트루빌점|101호 (오금동 45-4,동인트루빌오피스텔)|||90702
GS25|송파파크점|37.49589419|127.15890358|GS25||서울 송파구 성내천로47길 38||drug;post;battery;withdrawal||||||GS25 송파파크점|상가동 103호 (마천동 607,송파파크데일2단지)|||90702
GS25|송파풍납점|37.53520705|127.12050048|GS25||서울 송파구 풍성로25길 19||cafe25;drug;withdrawal;self_cook||||||GS25 송파풍납점|(풍납1동 485-4)|||90702
GS25|송파하비오1호점|37.48159199|127.12265573|GS25||서울 송파구 송파대로 111||cafe25;instant;drug;post;withdrawal||||||GS25 송파하비오1호점|205동 120호 (문정동 618,하비오타워법조대로)|||90702
GS25|송파하비오2호점|37.47969033|127.12502973|GS25||서울 송파구 송파대로 111||cafe25;instant;drug;post;withdrawal||||||GS25 송파하비오2호점|202동 103호 (문정동 618,하비오길광장로)|||90702
GS25|송파한두리점|37.50237592|127.14055386|GS25||서울 송파구 마천로 193||cafe25;instant;drug;post;battery;withdrawal;smart_atm||||||GS25 송파한두리점|(오금동 114-29,한두리아파트101호,102호)|||90702
GS25|송파한솔점|37.50334331|127.10341152|GS25||서울 송파구 가락로11길 35||cafe25;drug;post;battery;withdrawal||||||GS25 송파한솔점|(석촌동 246-13)|||90702
GS25|송파해시안점|37.5031901|127.11897609|GS25||서울 송파구 오금로32길 35||cafe25;instant;drug;post||||||GS25 송파해시안점|105호 (송파동 167-1,한영해시안아파트)|||90702
GS25|송파행운점|37.50236199|127.11187183|GS25||서울 송파구 가락로 144||cafe25;instant;drug;post;battery;withdrawal||||||GS25 송파행운점|(송파2동 98-33)|||90702
