##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대자동차서비스센터
현대자동차|강릉서비스센터|||현대자동차서비스센터|033-6539120|강원도 강릉시 강변로534번길 9||||||||현대자동차 강릉서비스센터|입암동|||160402
현대자동차|고양서비스센터|||현대자동차서비스센터|03118996611|경기도 고양시 일산서구 킨텍스로 217-6||||||||현대자동차 고양서비스센터|(대화동)|||160402
현대자동차|광주서비스센터|||현대자동차서비스센터|062-6732111|광주광역시 남구 송암로76번길 31||||||||현대자동차 광주서비스센터|송하동|||160402
현대자동차|군산서비스센터|||현대자동차서비스센터|063-4674111|전라북도 군산시 해망로 570||||||||현대자동차 군산서비스센터|소룡동|||160402
현대자동차|남부서비스센터|||현대자동차서비스센터|02-8909114|서울특별시 동작구 노량진로 53||||||||현대자동차 남부서비스센터|대방동|||160402
현대자동차|대구서비스센터|||현대자동차서비스센터|053-3575141|대구광역시 북구 노원로 6||||||||현대자동차 대구서비스센터|(노원동3가)|||160402
현대자동차|대전서비스센터|||현대자동차서비스센터|042-6210711|대전광역시 동구 동대전로 271||||||||현대자동차 대전서비스센터|가양동|||160402
현대자동차|동부서비스센터|||현대자동차서비스센터|0234088000|서울특별시 성동구 성수이로 134||||||||현대자동차 동부서비스센터|성수동2가|||160402
현대자동차|부산서비스센터|||현대자동차서비스센터|051-8504000|부산광역시 연제구 중앙대로 1168||||||||현대자동차 부산서비스센터|거제동|||160402
현대자동차|북부서비스센터|||현대자동차서비스센터|0234998300|서울특별시 도봉구 방학로 76||||||||현대자동차 북부서비스센터|방학동|||160402
현대자동차|사상서비스센터|||현대자동차서비스센터|051-3091300|부산광역시 사상구 가야대로 86||||||||현대자동차 사상서비스센터|학장동|||160402
현대자동차|서부산서비스센터|||현대자동차서비스센터|055-3201472|경상남도 김해시 김해대로 2736||||||||현대자동차 서부산서비스센터|지내동|||160402
현대자동차|수원서비스센터|||현대자동차서비스센터|031-2065151|경기도 용인시 기흥구 용구대로2219번길 6||||||||현대자동차 수원서비스센터||||160402
현대자동차|순천서비스센터|||현대자동차서비스센터|061-7234111|전라남도 순천시 순광로 197||||||||현대자동차 순천서비스센터|조례동|||160402
현대자동차|시화서비스센터|||현대자동차서비스센터|031-4976110|경기도 시흥시 경제로 137||||||||현대자동차 시화서비스센터|정왕동|||160402
현대자동차|울산서비스센터|||현대자동차서비스센터|052-2837500|울산광역시 북구 염포로 317||||||||현대자동차 울산서비스센터||||160402
현대자동차|인천서비스센터|||현대자동차서비스센터|032-5782350|인천광역시 서구 가좌로83번길 22||||||||현대자동차 인천서비스센터|가좌동|||160402
현대자동차|전주서비스센터|||현대자동차서비스센터|063-2127111|전라북도 전주시 덕진구 여산로 96||||||||현대자동차 전주서비스센터|여의동|||160402
현대자동차|제주서비스센터|||현대자동차서비스센터|064-7844111|제주특별자치도 제주시 조천읍 일주동로 1323||||||||현대자동차 제주서비스센터||||160402
현대자동차|창원서비스센터|||현대자동차서비스센터|055-2107800|경상남도 창원시 성산구 봉양로 397||||||||현대자동차 창원서비스센터|신촌동,현대자동차 창원서비스센터|||160402
현대자동차|청주서비스센터|||현대자동차서비스센터|043-2300100|충청북도 청주시 흥덕구 직지대로 257||||||||현대자동차 청주서비스센터|비하동|||160402
현대자동차|포항서비스센터|||현대자동차서비스센터|054-2862111|경상북도 포항시 남구 연일읍 동문로 102||||||||현대자동차 포항서비스센터||||160402
