##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@식신맛집
필경재||||식신맛집||서울 강남구 광평로 205|서울특별시 강남구 수서동 739-1|||||||필경재||||
정식당||||식신맛집||서울 강남구 선릉로158길 11|서울특별시 강남구 청담동 83-24|||||||정식당||||
새벽집|청담동점|||식신맛집||서울 강남구 도산대로101길 6|서울특별시 강남구 청담동 129-10|||||||새벽집 청담동점||||
멜팅샵||||식신맛집||서울특별시 강남구 압구정로46길 55|서울특별시 강남구 신사동 647-19|||||||멜팅샵||||
밍글스||||식신맛집||서울 강남구 도산대로67길 19|서울특별시 강남구 청담동 94-6|||||||밍글스||||
리북집||||식신맛집||서울 강남구 학동로2길 45|서울특별시 강남구 논현동 163-3|||||||리북집||||
스시효|청담점|||식신맛집||서울 강남구 선릉로146길 25|서울특별시 강남구 청담동 21-16|||||||스시효 청담점||||
경천애인2237||||식신맛집||서울 강남구 테헤란로 421|서울특별시 강남구 삼성동 142-46|||||||경천애인2237||||
진주집||||식신맛집||서울특별시 영등포구 국제금융로6길 33|서울특별시 영등포구 여의도동 36-2|||||||진주집||||
목포집||||식신맛집||서울 강남구 강남대로152길 24|서울특별시 강남구 신사동 514-3|||||||목포집||||
벽제갈비|방이본점|||식신맛집||서울특별시 송파구 양재대로71길 1-4|서울특별시 송파구 방이동 205-8|||||||벽제갈비 방이본점||||
스와니예||||식신맛집||서울 서초구 반포대로39길 46|서울특별시 서초구 반포동 549-17|||||||스와니예||||
스시선수||||식신맛집||서울특별시 강남구 도산대로45길 6|서울특별시 강남구 신사동 651-16|||||||스시선수||||
원조호수삼계탕||||식신맛집||서울 영등포구 도림로 274-1|서울특별시 영등포구 신길동 342-325|||||||원조호수삼계탕||||
주||||식신맛집||서울특별시 서초구 동광로19길 16|서울특별시 서초구 방배동 795-5|||||||주||||
팔레드고몽||||식신맛집||서울 강남구 도산대로81길 21|서울특별시 강남구 청담동 118-10|||||||팔레드고몽||||
권숙수||||식신맛집||서울 강남구 압구정로80길 37|서울특별시 강남구 청담동 92-18|||||||권숙수||||
송죽장||||식신맛집||서울 영등포구 영중로 21|서울특별시 영등포구 영등포동4가 55|||||||송죽장||||
랩24||||식신맛집||서울 강남구 압구정로42길 23|서울특별시 강남구 신사동 643-1|||||||랩24||||
원강||||식신맛집||서울특별시 강남구 학동로6길 16|서울특별시 강남구 논현동 122-18|||||||원강||||
류니끄||||식신맛집||서울 강남구 강남대로162길 40|서울특별시 강남구 신사동 520-1|||||||류니끄||||
톡톡||||식신맛집||서울특별시 강남구 도산대로51길 33|서울특별시 강남구 신사동 656-6|||||||톡톡||||
봉피양|방이점|||식신맛집||서울 송파구 양재대로71길 1-4|서울특별시 송파구 방이동 205|||||||봉피양 방이점||||
리스토란테/에오||||식신맛집||서울특별시 강남구 도산대로75길 15|서울특별시 강남구 청담동 96-22|||||||리스토란테 에오||||
