##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@신한카드
신한카드|광화문지점|309998|552234|신한카드||서울특별시 중구 무교로 21|서울특별시 중구 무교동 45|||||||신한카드 광화문지점||||40402
신한카드||310165|551690|신한카드||서울특별시 중구 소공로 88|서울특별시 중구 소공동 51|||||||신한카드||||40402
신한카드|본사|310808|552003|신한카드|1544-7000|서울특별시 중구 을지로 100|서울특별시 중구 을지로2가 203|||||||신한카드 본사||||40402
신한카드|고객센터|310810|551979|신한카드|1544-7000|서울특별시 중구 을지로 100|서울특별시 중구 을지로2가 203|||||||신한카드 고객센터|파인에비뉴|||40402
신한카드|오토다이렉트|310810|551979|신한카드|1688-7474|서울특별시 중구 을지로 100|서울특별시 중구 을지로2가 203|||||||신한카드 오토다이렉트||||40402
신한카드|여의도지점|305175|547999|신한카드|02-1544-7000|서울특별시 영등포구 여의공원로 101|서울특별시 영등포구 여의도동 12|||||||신한카드 여의도지점|CCMM빌딩 4층|||40402
신한카드|동대문지점|316855|551770|신한카드||서울특별시 동대문구 천호대로 329|서울특별시 동대문구 답십리동 530-19|||||||신한카드 동대문지점||||40402
신한카드|센터/신세계백화점/강남점|312139|545222|신한카드|15447000|서울특별시 서초구 신반포로 176|서울특별시 서초구 반포동 19-3|||||||신한카드 센터/신세계백화점/강남점|신세계백화점 8층|||40402
신한카드|강남지점|315174|544130|신한카드|1544-7000|서울특별시 강남구 역삼로 176|서울특별시 강남구 역삼동 790-5|||||||신한카드 강남지점|신한카드;신한카드역삼사옥 8층|||40402
신한카드|일산지점|292224|561940|신한카드||경기도 고양시 일산동구 중앙로 1197|경기도 고양시 일산동구 장항동 890-2|||||||신한카드 일산지점||||40402
신한카드|인천지점|285632|539461|신한카드||인천광역시 남동구 인주대로 611|인천광역시 남동구 구월동 1146-10|||||||신한카드 인천지점||||40402
신한카드|분당지점|322370|531779|신한카드||경기도 성남시 분당구 황새울로 318|경기도 성남시 분당구 서현동 271-1|||||||신한카드 분당지점||||40402
신한카드|센터/신세계백화점/의정부점|316161|571053|신한카드||경기도 의정부시 평화로 525|경기도 의정부시 의정부동 168-54|||||||신한카드 센터/신세계백화점/의정부점|신세계백화점 9층|||40402
신한카드|센터/신세계백화점/경기점|321054|525137|신한카드||경기도 용인시 수지구 포은대로 536|경기도 용인시 수지구 죽전동 1289|||||||신한카드 센터/신세계백화점/경기점|신세계백화점 주차동 8층|||40402
신한카드|오토리스|305069|547471|신한카드|02-522-5122|서울특별시 영등포구 여의대로 66|서울특별시 영등포구 여의도동 23-3|||||||신한카드 오토리스|KTB A동;KTB빌딩 2층|||40402
신한카드|원주지점|395793|525221|신한카드|1544-7000|강원도 원주시 서원대로 412|강원도 원주시 단구동 1513|||||||신한카드 원주지점|원주우체국 별관2층|||40402
신한카드|대구지점|454048|362981|신한카드||대구광역시 중구 달구벌대로 2125|대구광역시 중구 봉산동 34-16|||||||신한카드 대구지점||||40402
신한카드|대전지점|344791|417235|신한카드||대전광역시 서구 둔산서로 81|대전광역시 서구 둔산동 1305|||||||신한카드 대전지점||||40402
신한카드|부산지점|496812|284975|신한카드|02-1544-7000|부산광역시 부산진구 중앙대로 748|부산광역시 부산진구 부전동 130-3|||||||신한카드 부산지점|신한은행부전동지점|||40402
