##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@세븐일레븐
세븐일레븐|강릉5주공점|128.91519608|37.760113214|세븐일레븐||강원도 강릉시 월대산로 43||||||||세븐일레븐 강릉5주공점|1층 102호|||90701
세븐일레븐|강릉강문점|128.91970091425162|37.79232227004757|세븐일레븐||강원도 강릉시 해안로 298-7||스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉강문점|B블록 101호,102호 (강문동)|||90701
세븐일레븐|강릉경강로점|128.90919396|37.764981483|세븐일레븐||강원도 강릉시 경강로 2258||ATM||||||세븐일레븐 강릉경강로점|(포남동)|||90701
세븐일레븐|강릉곶감점|128.89720154|37.752358048|세븐일레븐||강원도 강릉시 곶감전길 9||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉곶감점|(성남동)|||90701
세븐일레븐|강릉교동센트럴점|128.87661562|37.766535516|세븐일레븐||강원도 강릉시 교동광장로100번길 20||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉교동센트럴점|(교동)|||90701
세븐일레븐|강릉교동점|128.87767287|37.767956416|세븐일레븐||강원도 강릉시 하슬라로 206번길 17||스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉교동점|(교동)|||90701
세븐일레븐|강릉교동하슬라점|128.87357044|37.762422087|세븐일레븐||강원도 강릉시 하슬라로 139||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉교동하슬라점||||90701
세븐일레븐|강릉금진항점|129.05028987|37.652637247|세븐일레븐||강원도 강릉시 옥계면 헌화로 443||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉금진항점||||90701
세븐일레븐|강릉노암점|128.90612966|37.751349135|세븐일레븐||강원도 강릉시 율곡로 2738번길 1||||||||세븐일레븐 강릉노암점||||90701
세븐일레븐|강릉단경골점|128.96275695972284|37.722479052677755|세븐일레븐||강원도 강릉시 강동면 단경로 41||||||||세븐일레븐 강릉단경골점||||90701
세븐일레븐|강릉대림점|128.89551002|37.744403801|세븐일레븐||강원도 강릉시 남부로137번길 26||카페;스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉대림점||||90701
세븐일레븐|강릉대원룸점|128.87281922|37.776364675|세븐일레븐||강원도 강릉시 지변길 175||||||||세븐일레븐 강릉대원룸점|1층 (지변동)|||90701
세븐일레븐|강릉대자연관점|128.86992758|37.765741021|세븐일레븐||강원도 강릉시 지변동 죽헌길 7||||||||세븐일레븐 강릉대자연관점||||90701
세븐일레븐|강릉대학생복지관점|128.86992758|37.765741021|세븐일레븐||강원도 강릉시 지변동 죽헌길 7||카페;스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉대학생복지관점||||90701
세븐일레븐|강릉더샵점|128.90920038|37.748813094|세븐일레븐||강원도 강릉시 입암동 입암로29번길 11||스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉더샵점|101호|||90701
세븐일레븐|강릉동명점|128.91495795269196|37.77709968536863|세븐일레븐||강원도 강릉시 산양길 9||카페||||||세븐일레븐 강릉동명점|1층 (포남동)|||90701
세븐일레븐|강릉동부시장점|128.90056464|37.760879858|세븐일레븐||강원도 강릉시 옥천동 (옥가르50번길 3) ||카페;스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉동부시장점||||90701
세븐일레븐|강릉동인병원점|128.90820743|37.772867196|세븐일레븐||강원도 강릉시 강릉대로419번길 23||스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉동인병원점|1층|||90701
세븐일레븐|강릉명륜점|128.89242297|37.762697297|세븐일레븐||강원도 강릉시 임영로 242||||||||세븐일레븐 강릉명륜점|1층|||90701
세븐일레븐|강릉문화점|128.89336629|37.756080769|세븐일레븐||강원 강릉시 강릉대로 210번길 24||카페;스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉문화점|(임당동)|||90701
세븐일레븐|강릉상아점|128.89893566|37.759832323|세븐일레븐||강원도 강릉시 옥천로 62번길 1||ATM||||||세븐일레븐 강릉상아점|(옥천동)|||90701
세븐일레븐|강릉성산점|128.82652481|37.71480305|세븐일레븐||강원도 강릉시 성산면 구산길 98||카페;스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉성산점||||90701
세븐일레븐|강릉세인트존스점|128.92093186|37.791277641|세븐일레븐||강원도 강릉시 창해로 307||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉세인트존스점|111호|||90701
세븐일레븐|강릉소금강점|128.70498128|37.847011177|세븐일레븐||강원도 강릉시 연곡면 진고개로 1507||카페;ATM||||||세븐일레븐 강릉소금강점||||90701
세븐일레븐|강릉송정점|128.93483496|37.776475789|세븐일레븐||강원도 강릉시 팔송길 27||카페;ATM||||||세븐일레븐 강릉송정점|1층 (송정동)|||90701
세븐일레븐|강릉심곡점|129.05458697|37.673703203|세븐일레븐||강원도 강릉시 헌화로 670||스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉심곡점||||90701
세븐일레븐|강릉씨네몰점|128.89865272|37.755689408|세븐일레븐||강원도 강릉시 옥천동 경강로 2120||||||||세븐일레븐 강릉씨네몰점|630호|||90701
세븐일레븐|강릉아들바위점|128.82898993495803|37.905030187870985|세븐일레븐||강원도 강릉시 해안로 1965||||||||세븐일레븐 강릉아들바위점||||90701
세븐일레븐|강릉아산병원점|128.85577408|37.81581026|세븐일레븐||강원도 강릉시 방동길 19||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉아산병원점||||90701
세븐일레븐|강릉안목항점|128.94974022|37.770825017|세븐일레븐||강원 강릉시 경강로 2663||카페;ATM||||||세븐일레븐 강릉안목항점|(견소동)|||90701
세븐일레븐|강릉여고점|128.90199138|37.75863716|세븐일레븐||강원도 강릉시 옥천로 34||스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉여고점|(옥천동)|||90701
세븐일레븐|강릉연곡캠핑장점|128.85302074|37.858084849|세븐일레븐||강원도 강릉시 연곡면 해안로 1282-2||카페;스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉연곡캠핑장점||||90701
세븐일레븐|강릉영진점|128.8445181049786|37.869413958712634|세븐일레븐||강원도 강릉시 해안로 1459||||||||세븐일레븐 강릉영진점||||90701
세븐일레븐|강릉올림픽점|128.86906855865925|37.75415536934287|세븐일레븐||강원도 강릉시 선수촌로 32||카페||||||세븐일레븐 강릉올림픽점|상가 101호 (홍제동,LH미디어촌7단지아파트)|||90701
세븐일레븐|강릉용지점|128.90543329679832|37.7588770181812|세븐일레븐||강원도 강릉시 용지로 103||||||||세븐일레븐 강릉용지점|(옥천동)|||90701
세븐일레븐|강릉원주대점|128.87207855|37.773637887|세븐일레븐||강원도 강릉시 지변길18번길 11||카페;베이커리;치킨;ATM||||||세븐일레븐 강릉원주대점||||90701
세븐일레븐|강릉일송점|128.91714442|37.770531249|세븐일레븐||강원 강릉시 하평3길 12-1||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉일송점|(포남동)|||90701
세븐일레븐|강릉임당중앙점|128.89537844|37.756498836|세븐일레븐||강원도 강릉시 토성로 176||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉임당중앙점||||90701
세븐일레븐|강릉입암주공점|128.92119273|37.757168926|세븐일레븐||강원도 강릉시 성덕포남로 21-7||카페;스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉입암주공점|(입암동)|||90701
세븐일레븐|강릉입암중앙점|128.90752708005812|37.75345610773989|세븐일레븐|||강원도 강릉시 입암동 662-25|카페;스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉입암중앙점||||90701
세븐일레븐|강릉제일점|128.89791095|37.758097599|세븐일레븐|||강원 강릉시 옥천동 147-4|카페;ATM||||||세븐일레븐 강릉제일점||||90701
세븐일레븐|강릉초당점|128.91398575|37.785168965|세븐일레븐||강원 강릉시 연당길 87||카페;치킨;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉초당점|(초당동)|||90701
세븐일레븐|강릉포남주공점|128.91703992|37.780193525|세븐일레븐||강원도 강릉시 산양큰길 38||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉포남주공점|(포남동)|||90701
세븐일레븐|강릉하슬라점|128.87841901|37.770535345|세븐일레븐||강원도 강릉시 하슬라로232번길 21||카페;베이커리;치킨;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉하슬라점|(교동)|||90701
세븐일레븐|강릉하평길점|128.90905871|37.769430216|세븐일레븐||강원도 강릉시 하평길 2||카페;스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉하평길점||||90701
세븐일레븐|강릉한라점|128.90206984|37.745573683|세븐일레븐||강원도 강릉시 노암동 노암길42번길 24||스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉한라점|102호|||90701
세븐일레븐|강릉호텔탑스텐점|129.05292443|37.654663329|세븐일레븐||강원도 강릉시 헌화로 455-34||스마트픽;반품접수;국제 특송 서비스||||||세븐일레븐 강릉호텔탑스텐점|1층|||90701
세븐일레븐|강릉홍제점|128.88291678|37.753859197|세븐일레븐||강원도 강릉시 홍제로71번길 12||카페;스마트픽;반품접수;ATM;국제 특송 서비스||||||세븐일레븐 강릉홍제점||||90701
세븐일레븐|강릉홍제한신점|128.88422002|37.750667389|세븐일레븐||강원도 강릉시 토성로 56-1||카페;ATM||||||세븐일레븐 강릉홍제한신점|3호|||90701
세븐일레븐|강릉회산원룸점|128.86913418|37.740169579|세븐일레븐||강원도 강릉시 관솔길 14||카페;ATM||||||세븐일레븐 강릉회산원룸점||||90701
세븐일레븐|강릉희망점|128.89824343|37.761338875|세븐일레븐||강원도 강릉시 강릉대로 265||ATM||||||세븐일레븐 강릉희망점||||90701
