##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@도서관
강북문화정보도서관||||도서관||서울특별시 강북구 오현로 145||||||||강북문화정보도서관||||200101
강서구립/가양도서관||||도서관||서울특별시 강서구 양천로61길 101||||||||강서구립 가양도서관|(가양동)|||200101
강서구립/곰달래도서관||||도서관||서울특별시 강서구 강서로5길 50||||||||강서구립 곰달래도서관||||200101
강서구립꿈꾸는어린이도서관||||도서관||서울특별시 강서구 공항대로 615||||||||강서구립꿈꾸는어린이도서관||||200101
강서구립등빛도서관||||도서관||서울특별시 강서구 강서로 62길 48||||||||강서구립등빛도서관||||200101
강서구립우장산숲속도서관||||도서관||서울특별시 강서구 우현로 34||||||||강서구립우장산숲속도서관||||200101
강서구립푸른들청소년도서관||||도서관||서울특별시 강서구 강서로 45||||||||강서구립푸른들청소년도서관|다길 71 (화곡3동)|||200101
강서영어도서관||||도서관|||서울특별시 강서구 곰달래로57가 길26 |||||||강서영어도서관||||200101
관악문화관도서관||||도서관||서울특별시 관악구 신림로3길 35||||||||관악문화관도서관|(대학동 209-1)|||200101
광진정보도서관||||도서관||서울특별시 광진구 아차산로 78길 90||||||||광진정보도서관|(광장동)|||200101
구립구산동도서관마을||||도서관||서울시 은평구 연서로 13길 29-23||||||||구립구산동도서관마을|(구산동)|||200101
금천구립/금나래도서관||||도서관||서울특별시 금천구 시흥대로 73길 70||||||||금천구립 금나래도서관|(시흥동 1020)|||200101
금천구립가산정보도서관||||도서관||서울특별시 금천구 가산로 5길 43||||||||금천구립가산정보도서관|(가산동 235-3)|||200101
금천구립독산도서관||||도서관||서울특별시 금천구 독산로54길 114||||||||금천구립독산도서관||||200101
금천구립시흥도서관||||도서관||서울특별시 금천구 금하로 764||||||||금천구립시흥도서관|(시흥동)|||200101
내를건너서숲으로도서관||||도서관||서울특별시 은평구 증산로 17길 50||||||||내를건너서숲으로도서관||||200101
노원어린이도서관||||도서관||서울특별시 노원구 동일로 204길 13||||||||노원어린이도서관||||200101
노원정보도서관||||도서관||서울특별시 노원구 노원로34길 43||||||||노원정보도서관|(상계동)|||200101
대림정보문화도서관||||도서관||서울특별시 영등포구 도신로 27||||||||대림정보문화도서관|(대림동 608-2)|||200101
도곡정보문화도서관||||도서관||서울특별시 강남구 도곡로 18길 57||||||||도곡정보문화도서관|(도곡동)|||200101
도봉문화정보도서관||||도서관||서울특별시 도봉구 덕릉로 315||||||||도봉문화정보도서관||||200101
도봉어린이문화정보도서관||||도서관||서울특별시 도봉구 노해로 69길 151||||||||도봉어린이문화정보도서관|(창동)|||200101
동대문구답십리도서관||||도서관||서울특별시 동대문구 서울시립대로4길 75||||||||동대문구답십리도서관||||200101
동대문구정보화도서관||||도서관||서울특별시 동대문구 회기로10길 60||||||||동대문구정보화도서관|(청량리동)|||200101
동대문구휘경어린이도서관||||도서관||서울특별시 동대문구 망우로18가길 38||||||||동대문구휘경어린이도서관|(휘경동)|||200101
마포구립서강도서관||||도서관||서울특별시 마포구 독막로 165||||||||마포구립서강도서관|(서강동주민센터)|||200101
