##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@식신맛집
원조태성실비식당||||식신맛집||강원도 태백시 감천로 4|강원도 태백시 황지동 201-3|||||||원조태성실비식당||||
봉포머구리집||||식신맛집||강원도 속초시 영랑해안길 223|강원도 속초시 영랑동 148-30|||||||봉포머구리집||||
강릉감자옹심본점||||식신맛집||강원 강릉시 토성로 171|강원도 강릉시 임당동 19-22|||||||강릉감자옹심본점||||
만석닭강정본점||||식신맛집||강원 속초시 청초호반로 72|강원도 속초시 조양동 1549-2|||||||만석닭강정본점||||
서지초가뜰||||식신맛집||강원도 강릉시 난곡길76번길 43-9|강원도 강릉시 난곡동 264|||||||서지초가뜰||||
88생선구이||||식신맛집||강원도 속초시 중앙부두길 71|강원도 속초시 중앙동 468-55|||||||88생선구이||||
엄지네포장마차||||식신맛집||강원 강릉시 경강로2255번길 21|강원도 강릉시 포남동 1155|||||||엄지네포장마차||||
원조강릉교동반점|본점|||식신맛집||강원도 강릉시 강릉대로 205|강원도 강릉시 교동 162-126|||||||원조강릉교동반점 본점||||
빵공장라뜰리에김가||||식신맛집||강원 원주시 행구로 314|강원도 원주시 행구동 1347-17|||||||빵공장라뜰리에김가||||
속초생대구||||식신맛집||강원 속초시 영랑해안3길 14|강원도 속초시 영랑동 131-19|||||||속초생대구||||
송곡가든농장||||식신맛집||강원 홍천군 서면 굴업솔골길 41|강원도 홍천군 서면 굴업리 317|||||||송곡가든농장||||
장안횟집||||식신맛집|||강원도 강릉시 사천면 사천진리 86-64|||||||장안횟집||||
칡산에||||식신맛집|||강원도 원주시 단계동 825-2|||||||칡산에||||
초당할머니순두부||||식신맛집||강원도 강릉시 초당순두부길 77|강원도 강릉시 초당동 307-4|||||||초당할머니순두부||||
양지말/화로구이||||식신맛집||강원 홍천군 홍천읍 양지말길 17-4|강원도 홍천군 홍천읍 하오안리 756|||||||양지말 화로구이||||
바다횟집||||식신맛집||강원도 삼척시 새천년도로 89-1|강원도 삼척시 정하동 41|||||||바다횟집||||
감나무집감자옹심이||||식신맛집||강원 속초시 중앙시장로 110-8|강원도 속초시 중앙동 472-23|||||||감나무집감자옹심이||||
황태회관||||식신맛집||강원도 평창군 눈마을길 19|강원도 평창군 대관령면 횡계리 348-5|||||||황태회관||||
김영애할머니순두부||||식신맛집||강원 속초시 원암학사평길 183|강원도 속초시 노학동 1011-39|||||||김영애할머니순두부||||
테라로사/커피공장||||식신맛집||강원도 강릉시 현천길 7|강원도 강릉시 구정면 어단리 산314|||||||테라로사 커피공장||||
