##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@교촌치킨
교촌치킨|봉천4호점|||교촌치킨|02-884-9991,882-8991|서울 관악구 봉천로 374|서울 관악구 봉천동 931-12|||||||교촌치킨 봉천4호점||||80607
교촌치킨|봉천5호점|||교촌치킨|02-889-2299,6699|서울 관악구 관악로 274-1|서울 관악구 봉천3동 7-291|||||||교촌치킨 봉천5호점||||80607
교촌치킨|신림1호점|||교촌치킨|02-830-6668|서울 관악구 남부순환로161가길 42|서울 관악구 신림4동 504-22|||||||교촌치킨 신림1호점||||80607
교촌치킨|신림2호점|||교촌치킨|02-857-9992,857-9799|서울 관악구 문성로 82|서울 관악구 신림동 762-7|||||||교촌치킨 신림2호점||||80607
교촌치킨|신림3호점|||교촌치킨|02-877-3688|서울 관악구 대학길 47|서울 관악구 신림9동 246-49|||||||교촌치킨 신림3호점||||80607
교촌치킨|건대점|||교촌치킨|02-462-1991|서울 광진구 아차산로 31길 13|서울 광진구 화양동 9-18|||||||교촌치킨 건대점||||80607
교촌치킨|광장점|||교촌치킨|02-453-9292|서울 광진구 광나루로 607|서울 광진구 광장동 530-13|||||||교촌치킨 광장점|(광장동)|||80607
교촌치킨|구의2호점|||교촌치킨|02-453-9995|서울 광진구 광나루로 544|서울 광진구 구의동 229-43|||||||교촌치킨 구의2호점||||80607
교촌치킨|자양1호점|||교촌치킨|02-452-8593~4|서울 광진구 자양번영로 15|서울 광진구 자양3동 584-28|||||||교촌치킨 자양1호점||||80607
교촌치킨|자양2호점|||교촌치킨|02-458-1991|서울 광진구 자양로13길 40|서울 광진구 자양동 624-42|||||||교촌치킨 자양2호점|(자양동)|||80607
교촌치킨|중곡1호점|||교촌치킨|02-446-9908|서울 광진구 긴고랑로 40|서울 광진구 중곡동 243-1|||||||교촌치킨 중곡1호점||||80607
교촌치킨|중곡2호점|||교촌치킨|02-453-9288|서울시 광진구 용마산로 109|서울 광진구 중곡동 24-2|||||||교촌치킨 중곡2호점||||80607
교촌치킨|개봉1호점|||교촌치킨|02-2066-9244~5|서울 구로구 개봉로 30-1|서울 구로구 개봉동 403-159|||||||교촌치킨 개봉1호점||||80607
교촌치킨|고척1호점|||교촌치킨|02-2060-4940|서울 구로구 고척로 129|서울 구로구 개봉1동 126-4|||||||교촌치킨 고척1호점||||80607
교촌치킨|구로2호점|||교촌치킨|02-854-1004|서울 구로구 구로중앙로 18길 68|서울 구로구 구로동 74-30|||||||교촌치킨 구로2호점||||80607
교촌치킨|구로디지털점|||교촌치킨|02-856-5542|서울 구로구 디지털로 26길 110|서울 구로구 구로동 826-1|||||||교촌치킨 구로디지털점||||80607
